feature,importance
w60_price_trend,103
w300_price_trend,96
w900_price_trend,89
w60_price_std,89
w60_spread_std,87
w300_trade_imbalance,82
w900_trade_imbalance,82
w60_ob_depth_imbalance_L1,81
w60_trade_volume,71
w300_spread_std,70
w900_ob_depth_imbalance_L1,69
w60_avg_tick_interval,67
w900_spread_std,65
w900_price_range,64
w300_ob_microprice_std,64
w30_price_std,64
w30_price_mean,64
w900_tick_interval_std,63
w900_avg_trade_size,62
w900_price_std,62
w60_trade_imbalance,62
w60_return_std,62
w300_price_std,62
w30_price_momentum,62
w900_ob_ask_depth_L1_mean,61
w60_spread_mean,60
w60_price_range,60
w900_price_momentum,60
w300_spread_mean,59
w30_ob_microprice_std,58
w900_ob_microprice_std,58
w30_price_trend,57
w900_spread_mean,55
w900_trade_volume,55
w60_ob_microprice_std,55
w300_ob_bid_depth_L1_mean,54
w300_avg_tick_interval,54
w60_price_momentum,52
w300_price_momentum,51
w30_price_min,51
w300_ob_depth_imbalance_L1,50
w60_ob_ask_depth_L1_mean,50
w30_spread_std,50
w300_ob_ask_depth_L1_mean,49
w300_trade_volume,48
w30_ob_ask_depth_L1_mean,48
w900_return_mean,48
w30_return_mean,48
w30_ob_depth_imbalance_L1,47
w300_avg_trade_size,46
w900_trade_count,45
w900_avg_tick_interval,45
w300_price_range,44
w300_return_mean,42
w30_ob_bid_depth_L1_mean,41
hour_sin,40
w60_avg_trade_size,39
w30_avg_tick_interval,39
w300_price_mean,39
w60_tick_rate,38
w60_price_max,38
w60_ob_bid_depth_L1_mean,38
w300_tick_interval_std,38
w900_return_std,37
w30_return_std,36
w30_spread_mean,36
w60_volatility_lag1,35
w300_trade_count,34
w60_tick_interval_std,34
w30_trade_imbalance,33
w900_tick_rate,33
w60_trade_count,33
w300_tick_rate,32
w300_return_std,31
w300_price_max,30
w30_tick_interval_std,30
w900_price_max,29
w30_avg_trade_size,29
w30_ob_microprice_mean,29
w60_return_mean,28
w900_volatility_lag1,28
w900_ob_bid_depth_L1_mean,28
w30_trade_volume,27
w900_price_min,25
w60_price_min,25
w30_price_range,24
w30_trade_count,24
w900_ob_microprice_mean,23
w30_volatility_lag1,23
w30_price_max,22
w300_volatility_lag1,22
w60_price_mean,21
w30_tick_rate,21
w300_ob_microprice_mean,20
w300_price_min,16
w900_price_mean,16
w60_ob_microprice_mean,13
w60_n_observations,8
w300_n_observations,8
w30_n_observations,8
w900_n_observations,7
hour_cos,7
day_of_week,4
w900_return_skew,0
w30_return_kurt,0
w30_return_skew,0
w60_return_skew,0
w60_return_kurt,0
w300_return_skew,0
w300_return_kurt,0
w900_return_kurt,0
