feature,importance
w900_volatility_lag1,0.027743755
hour_sin,0.024872705
w60_n_observations,0.023057826
w30_return_mean,0.02192824
w300_trade_count,0.021788545
w900_ob_ask_depth_L1_mean,0.020631943
w300_tick_rate,0.020091726
w900_price_range,0.020014774
w60_price_trend,0.019316757
w900_return_kurt,0.018051263
w900_ob_microprice_mean,0.017458338
w60_price_min,0.016275123
w900_price_max,0.016219588
w900_price_mean,0.016179357
w60_tick_rate,0.015938953
w300_avg_tick_interval,0.015937423
w900_n_observations,0.015553132
w30_spread_std,0.015331187
w300_ob_microprice_std,0.015219511
hour_cos,0.015114309
w300_ob_microprice_mean,0.014561499
w900_return_std,0.014153716
w300_price_max,0.013957757
day_of_week,0.0136304535
w300_ob_depth_imbalance_L1,0.013592416
w900_price_min,0.0134135615
w300_ob_bid_depth_L1_mean,0.012984035
w900_avg_tick_interval,0.012534186
w900_spread_mean,0.012509727
w900_trade_count,0.012254286
w900_tick_rate,0.012079482
w60_price_max,0.011893393
w900_ob_bid_depth_L1_mean,0.01153669
w300_return_skew,0.011412739
w900_avg_trade_size,0.011272481
w60_price_range,0.011260873
w60_avg_trade_size,0.010934243
w900_price_momentum,0.010625376
w60_return_std,0.01058593
w300_return_std,0.010362547
w300_price_range,0.010322038
w900_trade_volume,0.010249239
w300_volatility_lag1,0.0100571625
w60_spread_std,0.00991025
w300_avg_trade_size,0.009893087
w30_price_momentum,0.009864445
w60_avg_tick_interval,0.00963034
w300_ob_ask_depth_L1_mean,0.009400661
w30_price_range,0.0086216405
w300_return_mean,0.008592932
w300_trade_volume,0.00835937
w900_ob_microprice_std,0.008331849
w900_trade_imbalance,0.008290315
w900_spread_std,0.008243223
w300_spread_std,0.008088883
w900_price_std,0.00802929
w300_return_kurt,0.007962213
w900_tick_interval_std,0.007786194
w300_tick_interval_std,0.0077220984
w900_price_trend,0.007557395
w60_spread_mean,0.007490273
w900_ob_depth_imbalance_L1,0.007329423
w60_return_kurt,0.007310807
w900_return_skew,0.0072742333
w300_spread_mean,0.0072174575
w300_price_trend,0.007077046
w60_price_std,0.006817301
w60_return_skew,0.0065344214
w60_ob_bid_depth_L1_mean,0.005899222
w300_trade_imbalance,0.0056177317
w30_price_min,0.005235363
w60_price_momentum,0.00517893
w60_return_mean,0.0049130362
w300_price_min,0.004830558
w60_trade_volume,0.0047994126
w60_ob_depth_imbalance_L1,0.004774213
w300_price_std,0.004589764
w30_volatility_lag1,0.0045373766
w60_tick_interval_std,0.0045100376
w300_price_momentum,0.0044330163
w60_volatility_lag1,0.004199324
w30_avg_trade_size,0.004195332
w60_ob_microprice_std,0.0039847144
w60_trade_imbalance,0.0039806683
w30_return_kurt,0.003929217
w30_ob_ask_depth_L1_mean,0.0038991186
w900_return_mean,0.0036418363
w30_price_mean,0.0035341454
w30_price_std,0.0033279606
w300_price_mean,0.0033190248
w300_n_observations,0.003281791
w60_ob_ask_depth_L1_mean,0.003271212
w60_ob_microprice_mean,0.0032303005
w30_tick_rate,0.0031927673
w30_price_trend,0.0031797807
w30_price_max,0.0027668474
w60_price_mean,0.0027376388
w30_return_skew,0.002683446
w60_trade_count,0.0025988133
w30_ob_microprice_std,0.0022296633
w30_ob_bid_depth_L1_mean,0.0021612484
w30_trade_count,0.002085262
w30_ob_microprice_mean,0.0018928483
w30_ob_depth_imbalance_L1,0.0018350255
w30_avg_tick_interval,0.0017617808
w30_spread_mean,0.0016968962
w30_trade_imbalance,0.0016063482
w30_tick_interval_std,0.0015153509
w30_return_std,0.0012731501
w30_trade_volume,0.0011129614
w30_n_observations,0.0003134932
