feature,importance
w900_price_mean,0.03241405
hour_sin,0.027362961
w30_return_mean,0.024584979
w900_tick_rate,0.021943986
w60_price_trend,0.021870421
w900_volatility_lag1,0.021868952
w900_price_momentum,0.021637166
w900_price_min,0.021394737
w300_ob_bid_depth_L1_mean,0.019503009
w900_price_range,0.018773211
w900_ob_microprice_std,0.01871219
w900_n_observations,0.018064907
w60_price_range,0.01669926
w60_n_observations,0.016545113
w300_avg_trade_size,0.016100742
w900_price_std,0.015796868
w300_tick_interval_std,0.015778424
w900_spread_mean,0.014926962
w60_price_max,0.014414443
w900_ob_ask_depth_L1_mean,0.014290817
w300_trade_volume,0.013898284
w900_trade_volume,0.0136093665
w300_ob_depth_imbalance_L1,0.013374934
w60_tick_rate,0.013201711
w30_price_momentum,0.0131930895
w300_spread_std,0.013105815
w30_spread_std,0.013098461
w900_trade_imbalance,0.012721964
w900_ob_bid_depth_L1_mean,0.0120735485
w300_return_std,0.011906974
w60_avg_tick_interval,0.011875827
w300_trade_count,0.011715625
w900_trade_count,0.011337005
w900_tick_interval_std,0.011183414
w300_return_mean,0.011144016
w900_spread_std,0.011107349
w900_ob_depth_imbalance_L1,0.011062189
w60_price_min,0.010757833
w900_return_std,0.010590238
w300_tick_rate,0.010536133
w900_avg_trade_size,0.010412362
w900_price_max,0.010274615
w60_spread_std,0.010132281
w60_return_std,0.010098135
w300_price_trend,0.0100542
w300_price_range,0.009954612
w300_ob_microprice_std,0.009921437
w60_price_momentum,0.009380513
w60_ob_microprice_std,0.009119959
w300_spread_mean,0.008987691
w300_price_max,0.00898116
w60_ob_ask_depth_L1_mean,0.008768995
w60_trade_volume,0.008496214
w60_price_std,0.008385926
w900_ob_microprice_mean,0.008158396
w900_price_trend,0.0081352135
w300_ob_ask_depth_L1_mean,0.008131548
w300_ob_microprice_mean,0.008049832
w60_price_mean,0.007925343
w300_price_min,0.0077947737
w900_avg_tick_interval,0.0077788914
w30_tick_interval_std,0.007735009
w60_tick_interval_std,0.007572911
day_of_week,0.0075520966
w30_price_range,0.0073093483
w60_volatility_lag1,0.0069951224
w300_volatility_lag1,0.006544679
w300_avg_tick_interval,0.006532195
w60_ob_depth_imbalance_L1,0.006501602
w300_trade_imbalance,0.0060076476
w60_spread_mean,0.005980093
w60_ob_microprice_mean,0.0059706396
w30_ob_microprice_mean,0.0058012977
w60_avg_trade_size,0.005523869
w60_return_mean,0.0051437314
w60_ob_bid_depth_L1_mean,0.0050024637
w300_price_momentum,0.004681058
w300_price_mean,0.0045434423
w300_price_std,0.0042567058
w30_price_trend,0.004107812
w60_trade_count,0.0040371423
w30_price_min,0.0039123506
w30_ob_microprice_std,0.0038802717
w300_n_observations,0.0037649777
w30_price_max,0.0036039758
w900_return_mean,0.0033137554
w30_ob_depth_imbalance_L1,0.0031360472
w60_trade_imbalance,0.003134796
w30_avg_trade_size,0.003077299
w30_return_std,0.0030309893
w30_price_std,0.0030039889
w30_avg_tick_interval,0.0029518406
w30_tick_rate,0.002760239
w30_spread_mean,0.0026031132
w30_volatility_lag1,0.002584345
hour_cos,0.0023923477
w30_trade_imbalance,0.0022355472
w30_trade_count,0.002006854
w30_ob_ask_depth_L1_mean,0.0018185403
w30_trade_volume,0.0017436392
w30_ob_bid_depth_L1_mean,0.0015622415
w30_price_mean,0.0015309892
w30_n_observations,0.0010338528
w900_return_kurt,0.0
w30_return_kurt,0.0
w30_return_skew,0.0
w900_return_skew,0.0
w60_return_skew,0.0
w60_return_kurt,0.0
w300_return_skew,0.0
w300_return_kurt,0.0
