feature,importance
w900_n_observations,0.1613546
w300_price_max,0.13718894
w900_price_std,0.0659533
w900_price_mean,0.050678067
w900_ob_microprice_std,0.04459903
w60_price_range,0.041179955
w60_ob_microprice_std,0.03416246
w300_price_mean,0.030711193
w300_ob_microprice_std,0.027118847
w900_trade_count,0.026646506
w900_trade_volume,0.017469212
w60_trade_volume,0.015859596
w300_trade_volume,0.01532841
hour_sin,0.014012028
w900_ob_microprice_mean,0.011284893
w60_price_std,0.01119093
w30_price_momentum,0.010730037
w60_n_observations,0.010313404
w300_return_std,0.010222376
w300_price_range,0.010080514
w60_avg_trade_size,0.009879127
w900_avg_trade_size,0.009472184
w30_spread_std,0.008196152
w60_price_min,0.007927993
w60_avg_tick_interval,0.006812933
w300_ob_microprice_mean,0.0067485687
w60_price_max,0.006560305
w300_spread_std,0.0064294254
w60_ob_depth_imbalance_L1,0.0062920484
w30_price_max,0.005946366
w300_ob_depth_imbalance_L1,0.0058875843
w30_price_min,0.005779841
w300_tick_rate,0.0056301267
w900_return_kurt,0.0054045296
w300_return_kurt,0.005339839
w900_price_max,0.005282561
w300_ob_bid_depth_L1_mean,0.0051787985
w60_price_mean,0.0051379455
w300_trade_count,0.0048423368
w60_price_momentum,0.0047861733
w900_tick_rate,0.004409611
w900_ob_depth_imbalance_L1,0.0043898076
w300_avg_tick_interval,0.004357648
w60_tick_rate,0.0042544436
w900_return_skew,0.0041155727
w300_price_std,0.0035602588
w900_volatility_lag1,0.0034689733
w300_spread_mean,0.0034400758
w900_tick_interval_std,0.0031663931
w300_volatility_lag1,0.0031265952
w60_ob_microprice_mean,0.0031218114
w30_price_range,0.0030332797
w900_return_std,0.0029330342
w300_tick_interval_std,0.0028864362
w30_price_std,0.002844378
w900_ob_bid_depth_L1_mean,0.002836236
w300_return_skew,0.00282443
w60_ob_bid_depth_L1_mean,0.0027804174
w900_price_trend,0.0027396316
w300_avg_trade_size,0.00255842
w300_price_min,0.0024009626
w30_avg_trade_size,0.002398486
w300_price_momentum,0.0023823418
w30_return_skew,0.0023146875
w900_price_momentum,0.0022867066
w900_spread_mean,0.0022737393
w30_price_mean,0.0022626657
w60_return_kurt,0.0021120098
w30_ob_ask_depth_L1_mean,0.0021006938
w900_spread_std,0.0020192002
w60_spread_mean,0.0019796262
w60_return_skew,0.0019035254
w300_ob_ask_depth_L1_mean,0.0018246461
w30_return_std,0.0017363447
w300_price_trend,0.0016916756
w60_spread_std,0.0016216623
w900_price_range,0.0015930311
w60_trade_imbalance,0.0015195244
w30_ob_bid_depth_L1_mean,0.001450386
w30_trade_count,0.0013987839
w60_price_trend,0.0013949738
w30_ob_microprice_std,0.001335635
w60_ob_ask_depth_L1_mean,0.001304106
w60_volatility_lag1,0.001301491
w30_trade_volume,0.0012374669
w30_return_mean,0.0011801925
w900_avg_tick_interval,0.001092121
w30_spread_mean,0.0010115061
w30_ob_microprice_mean,0.0009923052
w300_n_observations,0.00092198484
w900_trade_imbalance,0.00077061023
w300_trade_imbalance,0.0007447276
w300_return_mean,0.0007229812
w60_trade_count,0.00061612314
w60_tick_interval_std,0.0006148268
w900_ob_ask_depth_L1_mean,0.00059893687
w30_avg_tick_interval,0.0005884358
w30_price_trend,0.00052886276
w30_ob_depth_imbalance_L1,0.00051291107
w30_trade_imbalance,0.00045790288
w30_tick_interval_std,0.00044393755
w30_return_kurt,0.0004354004
w60_return_std,0.000354878
w30_tick_rate,0.000353345
w60_return_mean,0.0003148971
w30_volatility_lag1,0.00021476972
w900_return_mean,0.000120994286
w30_n_observations,9.6465345e-05
w900_price_min,0.0
hour_cos,0.0
day_of_week,0.0
