feature,importance
w60_ob_microprice_std,97
w60_trade_imbalance,86
w60_price_trend,80
w300_ob_depth_imbalance_L1,75
w30_price_trend,69
w30_price_std,62
w900_price_std,58
w30_price_max,58
w60_price_momentum,56
w30_ob_ask_depth_L1_mean,55
w60_trade_volume,55
w900_avg_tick_interval,54
w60_spread_mean,53
w30_spread_std,52
w60_return_skew,52
w300_ob_microprice_std,52
w30_price_momentum,52
w60_price_std,51
w60_avg_tick_interval,49
w60_avg_trade_size,46
w900_return_kurt,45
w900_trade_count,43
w300_price_std,43
w900_avg_trade_size,40
w60_return_kurt,38
w900_price_mean,38
w900_tick_rate,38
w30_tick_interval_std,38
w60_price_range,38
w60_ob_bid_depth_L1_mean,37
w300_price_momentum,37
w30_return_mean,37
w900_tick_interval_std,36
w30_ob_depth_imbalance_L1,35
w300_tick_rate,35
w30_spread_mean,35
w900_trade_volume,34
w300_spread_std,33
w30_trade_volume,33
w300_price_trend,31
w60_trade_count,31
w30_price_mean,31
w30_trade_count,31
w60_ob_depth_imbalance_L1,30
w30_return_kurt,30
w900_ob_microprice_std,28
w900_ob_microprice_mean,28
w900_ob_bid_depth_L1_mean,28
w300_tick_interval_std,27
w300_ob_bid_depth_L1_mean,27
w900_spread_std,26
w60_volatility_lag1,26
w300_return_kurt,26
w900_return_std,26
w30_avg_trade_size,25
w300_spread_mean,25
w300_trade_imbalance,25
w900_ob_depth_imbalance_L1,25
w30_return_skew,25
w60_return_std,23
w30_trade_imbalance,23
w30_ob_bid_depth_L1_mean,23
w60_price_max,22
w30_avg_tick_interval,22
w300_trade_count,22
w60_price_mean,21
w900_price_trend,21
w300_volatility_lag1,21
w900_trade_imbalance,21
w900_return_skew,20
w30_tick_rate,19
w30_volatility_lag1,18
w60_spread_std,18
w60_tick_interval_std,18
w60_ob_ask_depth_L1_mean,18
w900_volatility_lag1,17
w30_return_std,17
w300_price_max,17
w300_price_range,17
w900_price_momentum,16
w30_ob_microprice_std,16
w300_avg_tick_interval,16
w300_trade_volume,16
w60_return_mean,15
w60_tick_rate,15
w300_ob_microprice_mean,15
w900_spread_mean,15
w30_ob_microprice_mean,14
w30_price_range,14
w300_return_mean,13
w300_price_mean,13
w300_avg_trade_size,13
w900_price_max,12
w900_ob_ask_depth_L1_mean,12
w60_ob_microprice_mean,11
w300_ob_ask_depth_L1_mean,10
w300_return_skew,10
w300_price_min,9
w60_price_min,8
w30_price_min,7
w300_return_std,5
w900_return_mean,4
w30_n_observations,3
w60_n_observations,3
w300_n_observations,3
hour_cos,3
w900_n_observations,2
w900_price_range,2
w900_price_min,0
hour_sin,0
day_of_week,0
