feature,importance
w900_price_mean,0.27041745
w300_price_trend,0.2646175
w60_price_min,0.13473475
w30_price_min,0.07964199
w60_avg_trade_size,0.054552253
w300_spread_mean,0.050679754
w900_avg_trade_size,0.028991828
w900_spread_std,0.02726959
w900_trade_imbalance,0.014246826
w60_return_std,0.010031677
w300_price_std,0.007923076
w300_price_mean,0.0070481147
w30_price_range,0.006855174
w60_price_mean,0.0065987622
w900_tick_rate,0.0061663575
w30_avg_trade_size,0.005680074
w300_avg_trade_size,0.004709738
w900_trade_count,0.0032855726
w30_price_trend,0.0026496632
w30_price_momentum,0.0023982485
w900_price_momentum,0.0015248765
w900_price_trend,0.0013213429
w60_price_std,0.0013093716
w60_spread_std,0.0009380642
w60_price_range,0.00067944627
w60_trade_imbalance,0.00059171394
w60_price_momentum,0.00042134835
w300_spread_std,0.00041935415
w30_trade_volume,0.00039224618
w30_trade_count,0.00033546754
w30_price_mean,0.00032390392
w60_volatility_lag1,0.00031289927
w30_price_std,0.00028039774
w900_return_mean,0.00020058139
w30_spread_std,0.00019428205
w60_avg_tick_interval,0.00018936118
w900_price_std,0.00017427978
w900_trade_volume,0.0001380048
w300_price_momentum,0.00013539096
w300_volatility_lag1,0.000118960874
w300_trade_imbalance,0.000118668715
w300_return_mean,0.00011797114
w60_trade_volume,0.00010343917
w300_avg_tick_interval,0.000102940015
w30_return_mean,9.672818e-05
w60_spread_mean,9.423064e-05
w60_trade_count,9.144624e-05
w30_price_max,9.017353e-05
w30_return_std,8.556327e-05
w60_return_mean,8.1679216e-05
w60_price_trend,8.042636e-05
w300_trade_volume,6.0920906e-05
w30_spread_mean,5.8922e-05
w300_return_std,5.675803e-05
w60_price_max,5.147181e-05
w30_volatility_lag1,5.094358e-05
w300_price_range,3.4570938e-05
w900_return_std,3.3721495e-05
w900_volatility_lag1,2.2891201e-05
w60_tick_rate,2.146174e-05
w900_spread_mean,1.6316977e-05
w30_trade_imbalance,1.578523e-05
w30_tick_rate,9.965542e-06
w300_price_max,3.257027e-06
w900_ob_microprice_mean,0.0
w30_ob_depth_imbalance_L1,0.0
w30_ob_ask_depth_L1_mean,0.0
hour_cos,0.0
w900_return_skew,0.0
w900_return_kurt,0.0
hour_sin,0.0
w900_ob_microprice_std,0.0
w30_return_kurt,0.0
w30_return_skew,0.0
w60_return_kurt,0.0
w900_ob_depth_imbalance_L1,0.0
w60_return_skew,0.0
w30_ob_microprice_mean,0.0
w30_ob_bid_depth_L1_mean,0.0
w900_avg_tick_interval,0.0
w900_tick_interval_std,0.0
w900_n_observations,0.0
w900_ob_bid_depth_L1_mean,0.0
w900_ob_ask_depth_L1_mean,0.0
w30_n_observations,0.0
w900_price_min,0.0
w900_price_range,0.0
w30_ob_microprice_std,0.0
w60_ob_microprice_std,0.0
w30_tick_interval_std,0.0
w60_ob_microprice_mean,0.0
w60_ob_depth_imbalance_L1,0.0
w300_return_skew,0.0
w300_return_kurt,0.0
w60_ob_ask_depth_L1_mean,0.0
w30_avg_tick_interval,0.0
w300_trade_count,0.0
w60_ob_bid_depth_L1_mean,0.0
w300_tick_rate,0.0
w900_price_max,0.0
w60_n_observations,0.0
w300_tick_interval_std,0.0
w300_n_observations,0.0
w300_ob_bid_depth_L1_mean,0.0
w300_ob_ask_depth_L1_mean,0.0
w300_ob_depth_imbalance_L1,0.0
w300_ob_microprice_mean,0.0
w300_ob_microprice_std,0.0
w60_tick_interval_std,0.0
w300_price_min,0.0
day_of_week,0.0
