feature,importance
w60_spread_std,0.20480956
w60_spread_mean,0.09051621
w900_trade_count,0.06581672
w60_price_std,0.05807255
w900_price_momentum,0.053116363
w60_tick_rate,0.048681285
w900_tick_rate,0.047345325
w60_trade_count,0.04591965
w300_price_momentum,0.038952768
w300_trade_imbalance,0.035870187
w300_trade_count,0.033838406
w300_spread_mean,0.032099254
w30_price_range,0.030181604
w300_spread_std,0.027501713
w300_ob_microprice_mean,0.026462607
w900_spread_std,0.025727767
w60_volatility_lag1,0.022512663
w60_trade_imbalance,0.020392917
w60_return_std,0.016543746
w30_price_std,0.014953722
w30_spread_mean,0.014194357
w30_volatility_lag1,0.012107192
w30_return_std,0.011833555
w30_spread_std,0.011274132
w60_ob_microprice_mean,0.008173871
w60_ob_depth_imbalance_L1,0.0031019
w30_ob_microprice_mean,0.0
w30_ob_depth_imbalance_L1,0.0
w900_n_observations,0.0
w60_n_observations,0.0
