feature,importance
w60_spread_std,382
w900_price_momentum,357
w300_spread_std,357
w60_trade_count,339
w300_trade_imbalance,329
w300_price_momentum,321
w60_spread_mean,307
w900_spread_std,293
w300_trade_count,286
w60_trade_imbalance,268
w60_price_std,262
w30_price_std,262
w300_spread_mean,260
w900_trade_count,206
w60_tick_rate,190
w30_spread_std,182
w60_volatility_lag1,136
w900_tick_rate,133
w30_price_range,124
w30_return_std,118
w60_return_std,114
w30_spread_mean,103
w30_volatility_lag1,99
w60_ob_microprice_mean,32
w60_ob_depth_imbalance_L1,10
w300_ob_microprice_mean,8
w900_n_observations,0
w30_ob_depth_imbalance_L1,0
w30_ob_microprice_mean,0
w60_n_observations,0
