feature,importance
w300_n_observations,0.042226054
w900_price_range,0.026762478
w30_return_mean,0.02534554
w900_n_observations,0.02401341
hour_sin,0.023101617
w300_spread_std,0.021726526
w900_price_min,0.021012029
w60_price_trend,0.020234827
w300_price_max,0.017711844
w900_volatility_lag1,0.01734729
w900_trade_count,0.01720495
w300_tick_rate,0.016837733
hour_cos,0.016643072
w900_tick_rate,0.016334794
w60_price_range,0.01615575
w900_ob_bid_depth_L1_mean,0.016039183
w900_ob_ask_depth_L1_mean,0.015500082
w900_price_std,0.015439188
w300_return_std,0.014398326
w300_ob_microprice_std,0.014253293
w30_price_momentum,0.013940959
w900_ob_microprice_mean,0.013433352
w900_trade_volume,0.01293922
w300_price_mean,0.01288803
w60_price_std,0.012549364
w900_return_std,0.012358512
w60_price_max,0.0121802045
w300_trade_count,0.012049071
w300_tick_interval_std,0.011998242
w60_trade_volume,0.011975039
w900_ob_microprice_std,0.0118403565
w900_price_mean,0.011575186
w900_price_max,0.010923839
w900_spread_mean,0.010902386
w900_ob_depth_imbalance_L1,0.010780059
w300_avg_tick_interval,0.010339159
w300_ob_depth_imbalance_L1,0.00958725
w60_spread_std,0.009561268
w300_ob_bid_depth_L1_mean,0.009439827
w300_price_trend,0.009324024
w60_price_min,0.009216937
w300_spread_mean,0.0090712905
w300_ob_microprice_mean,0.009042176
w900_avg_tick_interval,0.008958327
w60_price_mean,0.008904641
w60_return_std,0.008851794
w900_spread_std,0.00860888
w900_price_momentum,0.008389457
w30_price_max,0.008349359
w30_spread_std,0.008247765
w300_avg_trade_size,0.0080647655
w900_tick_interval_std,0.008027231
w60_trade_count,0.007898918
w60_ob_microprice_std,0.00789848
w300_price_min,0.007880421
w900_avg_trade_size,0.007826462
w60_return_mean,0.0075045256
w60_ob_ask_depth_L1_mean,0.0073402184
w900_price_trend,0.007313159
w60_avg_trade_size,0.007264496
w60_avg_tick_interval,0.0071295057
w900_trade_imbalance,0.0070974985
w300_trade_volume,0.0070601706
w300_ob_ask_depth_L1_mean,0.0070325434
w60_volatility_lag1,0.006948756
w30_volatility_lag1,0.0067331814
w300_trade_imbalance,0.0066098333
w60_ob_microprice_mean,0.0065682954
w300_volatility_lag1,0.006559211
w60_tick_interval_std,0.0064539653
w60_ob_depth_imbalance_L1,0.006234864
w300_price_momentum,0.0060764905
w30_price_range,0.0058254
w300_price_range,0.0057520764
w900_return_mean,0.0057383333
w60_tick_rate,0.0057184454
w300_return_mean,0.0056375414
w30_tick_interval_std,0.005415011
w60_n_observations,0.0053532547
w30_tick_rate,0.0053430665
day_of_week,0.0053065573
w300_price_std,0.005131066
w60_spread_mean,0.004979509
w30_price_trend,0.004860997
w30_ob_microprice_std,0.00466032
w60_trade_imbalance,0.004604487
w60_ob_bid_depth_L1_mean,0.004533351
w30_price_min,0.0043979143
w30_ob_bid_depth_L1_mean,0.0041059214
w30_spread_mean,0.0039701867
w30_ob_depth_imbalance_L1,0.0036331292
w30_trade_volume,0.0034951486
w30_avg_trade_size,0.0033371476
w60_price_momentum,0.002997714
w30_ob_ask_depth_L1_mean,0.0028886807
w30_avg_tick_interval,0.002848462
w30_trade_imbalance,0.0027375156
w30_price_std,0.002656587
w30_trade_count,0.002611994
w30_return_std,0.0025356277
w30_price_mean,0.0018297124
w30_ob_microprice_mean,0.0017964132
w30_n_observations,0.0012615272
w300_return_skew,0.0
w900_return_kurt,0.0
w30_return_kurt,0.0
w30_return_skew,0.0
w900_return_skew,0.0
w60_return_skew,0.0
w60_return_kurt,0.0
w300_return_kurt,0.0
