feature,importance
w60_price_range,0.13685064
w900_ob_microprice_std,0.114473596
w900_price_mean,0.1067479
w900_price_std,0.07466309
w60_price_max,0.04671014
w900_n_observations,0.033441875
w60_ob_microprice_std,0.031479504
w300_price_mean,0.030625489
w300_ob_depth_imbalance_L1,0.029459901
w300_spread_std,0.029345674
w900_volatility_lag1,0.026390156
w900_trade_volume,0.0248462
w300_ob_microprice_std,0.019313324
w300_return_kurt,0.017501522
w900_return_skew,0.017357675
w900_return_std,0.0147778075
w900_spread_std,0.013206651
w60_price_mean,0.013082771
w30_price_momentum,0.012618647
w60_price_trend,0.012122264
w900_trade_imbalance,0.010358465
w60_ob_microprice_mean,0.010284177
w900_price_range,0.00926035
w300_volatility_lag1,0.009112181
w30_price_mean,0.00880461
w300_price_range,0.007924055
w60_spread_std,0.0072078807
w60_ob_bid_depth_L1_mean,0.006556625
w60_return_skew,0.006130605
w300_ob_ask_depth_L1_mean,0.00542468
w300_avg_tick_interval,0.0052418644
w900_price_min,0.0044238935
w300_price_std,0.0043442403
w300_return_skew,0.0037225713
w300_tick_rate,0.0036762948
w900_ob_depth_imbalance_L1,0.003606939
w60_trade_volume,0.0036001862
w300_tick_interval_std,0.0035661787
w300_n_observations,0.0034128455
w60_ob_depth_imbalance_L1,0.0033883352
w300_ob_bid_depth_L1_mean,0.003148938
w900_ob_microprice_mean,0.0031201106
w900_trade_count,0.0031034008
w300_return_std,0.0030801543
w60_price_std,0.0030592766
w60_return_kurt,0.002843381
w300_avg_trade_size,0.002760434
w900_avg_trade_size,0.0027204426
w60_avg_trade_size,0.0026950827
w30_avg_trade_size,0.0026199429
w300_price_momentum,0.0025855182
w900_tick_interval_std,0.002302855
w30_price_range,0.002222775
w30_price_trend,0.0021636065
w300_trade_volume,0.002009869
w900_spread_mean,0.0019559395
w60_price_min,0.0018951584
w900_return_kurt,0.0017859554
w900_price_momentum,0.0013994933
w900_price_max,0.0013921193
w900_price_trend,0.0012626135
w30_return_kurt,0.0012262276
w60_trade_imbalance,0.0011949877
w30_price_std,0.0011553341
w900_ob_bid_depth_L1_mean,0.001121345
w900_tick_rate,0.0010936009
w60_avg_tick_interval,0.0010141467
w300_ob_microprice_mean,0.0009931491
w60_tick_interval_std,0.00098844
w30_price_max,0.00093704107
w300_trade_imbalance,0.00092766207
w60_price_momentum,0.0008848049
w300_price_trend,0.0008675306
w900_avg_tick_interval,0.00085805956
w30_ob_bid_depth_L1_mean,0.0008533511
w30_n_observations,0.0008490066
w30_return_std,0.0008352671
w30_return_skew,0.0007955802
w300_spread_mean,0.00065892976
w30_ob_microprice_mean,0.0005810684
w900_return_mean,0.0005585411
w60_ob_ask_depth_L1_mean,0.0005085992
w300_trade_count,0.00048111368
w30_ob_depth_imbalance_L1,0.00042774202
w60_trade_count,0.00042525266
w300_price_max,0.00040815448
w30_ob_microprice_std,0.0004072469
w30_trade_imbalance,0.0003992622
w60_spread_mean,0.000386091
w30_trade_volume,0.0002584742
w300_price_min,0.00024375427
w30_price_min,0.00023230462
w900_ob_ask_depth_L1_mean,0.00022456645
w30_ob_ask_depth_L1_mean,0.00021617989
w60_return_std,0.00020467104
w30_avg_tick_interval,0.00019812405
w30_spread_std,0.00019487884
w30_return_mean,0.00017808376
w30_volatility_lag1,0.00017241841
w30_spread_mean,0.00017017515
w30_tick_interval_std,0.00014438623
w60_volatility_lag1,0.00011733288
w300_return_mean,0.00011066999
w30_trade_count,9.3509014e-05
w30_tick_rate,8.11538e-05
w60_return_mean,6.410117e-05
w60_tick_rate,4.4944532e-05
w60_n_observations,2.3860597e-05
hour_sin,0.0
hour_cos,0.0
day_of_week,0.0
