feature,importance
w60_ob_microprice_std,80
w30_price_trend,79
w60_price_trend,77
w60_trade_imbalance,71
w300_price_std,68
w300_ob_depth_imbalance_L1,66
w30_price_momentum,57
w900_return_kurt,56
w900_trade_count,54
w60_price_std,54
w60_avg_tick_interval,54
w900_tick_interval_std,52
w30_spread_std,52
w60_return_skew,52
w900_avg_tick_interval,51
w60_return_kurt,50
w900_price_std,49
w30_spread_mean,49
w30_ob_depth_imbalance_L1,48
w60_price_momentum,48
w30_price_max,47
w60_price_range,45
w300_price_range,45
w30_avg_trade_size,45
w900_trade_volume,45
w900_ob_microprice_std,42
w300_ob_microprice_std,42
w300_trade_imbalance,41
w30_price_mean,41
w900_price_trend,40
w30_ob_ask_depth_L1_mean,40
w60_spread_mean,40
w60_ob_depth_imbalance_L1,40
w30_tick_interval_std,39
w300_return_kurt,39
w300_ob_bid_depth_L1_mean,37
w60_trade_volume,37
w60_avg_trade_size,37
w30_ob_bid_depth_L1_mean,36
w300_price_trend,36
w900_price_mean,36
w30_price_std,33
w900_tick_rate,31
w300_ob_ask_depth_L1_mean,31
w60_price_mean,30
w900_return_skew,30
w300_price_min,30
w30_trade_imbalance,29
w900_price_momentum,29
w300_tick_rate,28
w30_return_mean,28
w30_return_std,28
w60_spread_std,27
w300_trade_volume,27
w300_tick_interval_std,27
w30_ob_microprice_mean,27
w900_ob_depth_imbalance_L1,27
w30_return_skew,25
w300_spread_mean,25
w60_tick_interval_std,24
w300_trade_count,24
w300_return_std,24
w300_spread_std,23
w60_tick_rate,23
w60_ob_bid_depth_L1_mean,23
w60_trade_count,23
w900_ob_microprice_mean,23
w900_trade_imbalance,22
w900_spread_std,21
w60_return_std,21
w60_ob_ask_depth_L1_mean,21
w60_return_mean,20
w30_return_kurt,19
w300_return_skew,19
w300_volatility_lag1,19
w30_avg_tick_interval,19
w30_trade_volume,18
w300_price_momentum,18
w30_trade_count,18
w30_price_range,18
w900_price_max,18
w300_price_mean,17
w300_avg_tick_interval,16
w900_volatility_lag1,16
w30_tick_rate,16
w30_price_min,16
w900_spread_mean,15
w900_return_mean,15
w300_avg_trade_size,15
w300_ob_microprice_mean,13
w300_return_mean,13
w900_ob_ask_depth_L1_mean,13
w60_price_max,12
w900_return_std,11
w60_volatility_lag1,11
w900_ob_bid_depth_L1_mean,10
w30_ob_microprice_std,10
w900_avg_trade_size,10
w60_price_min,7
w30_volatility_lag1,7
w300_price_max,5
w900_n_observations,4
w60_ob_microprice_mean,4
w30_n_observations,4
w60_n_observations,3
w900_price_range,2
w300_n_observations,2
w900_price_min,1
hour_sin,0
hour_cos,0
day_of_week,0
