feature,importance
w900_price_max,0.08637606
w900_ob_microprice_std,0.053265177
w60_price_range,0.049828123
w60_spread_std,0.034908578
w900_price_min,0.03419096
w300_ob_ask_depth_L1_mean,0.032583423
w300_price_min,0.026281705
w60_price_std,0.025376312
w900_return_kurt,0.023933562
w900_spread_mean,0.022117613
w900_price_mean,0.019647688
w60_trade_volume,0.01806968
w900_spread_std,0.017556623
w300_spread_std,0.017508348
w900_price_std,0.016771564
w300_return_skew,0.014599729
w300_avg_trade_size,0.013746794
w900_ob_ask_depth_L1_mean,0.013227998
w30_price_min,0.012849145
w300_price_range,0.012842316
w60_n_observations,0.012739971
w900_tick_interval_std,0.011674131
w300_trade_volume,0.010627546
w300_n_observations,0.010579728
w300_ob_bid_depth_L1_mean,0.0105000455
w900_avg_tick_interval,0.010439414
w900_trade_imbalance,0.010418362
w300_ob_microprice_std,0.01021264
w300_spread_mean,0.009901218
w300_price_max,0.0098655885
w900_ob_microprice_mean,0.009293939
w60_ob_microprice_std,0.008935838
w60_tick_rate,0.008477529
w300_price_trend,0.00818796
w300_trade_imbalance,0.008103258
w300_return_mean,0.008018427
w60_trade_count,0.00757349
w300_return_kurt,0.0073444233
w60_spread_mean,0.007247592
w900_price_trend,0.0072211595
w300_price_std,0.007164672
w30_ob_microprice_mean,0.00707261
w60_price_min,0.0070184483
w300_price_mean,0.0069766985
w60_ob_bid_depth_L1_mean,0.006933818
w900_avg_trade_size,0.0068282825
w60_price_max,0.006567628
w60_avg_tick_interval,0.0065672863
w300_trade_count,0.006524553
w300_price_momentum,0.006244598
w60_ob_depth_imbalance_L1,0.005921192
w60_avg_trade_size,0.0058446554
w900_ob_depth_imbalance_L1,0.0058272644
w60_price_momentum,0.005766427
w300_return_std,0.0057550673
w60_tick_interval_std,0.005694103
w60_return_skew,0.0054485337
w900_return_skew,0.0053598774
w60_ob_ask_depth_L1_mean,0.00527234
w900_return_std,0.005075709
w300_tick_rate,0.004993388
w300_avg_tick_interval,0.004896172
w900_trade_volume,0.0048182895
w60_return_kurt,0.0048164804
w900_ob_bid_depth_L1_mean,0.004655342
w900_price_range,0.0046040863
w60_price_mean,0.004578797
w300_ob_depth_imbalance_L1,0.004430577
w60_volatility_lag1,0.004424541
w30_price_range,0.004317679
w60_ob_microprice_mean,0.0042967605
w300_ob_microprice_mean,0.0041914238
w30_avg_trade_size,0.004154202
w900_tick_rate,0.004086645
w60_return_std,0.004068463
w900_volatility_lag1,0.004047175
w30_spread_mean,0.0040405104
w300_tick_interval_std,0.0040001525
w30_volatility_lag1,0.0036298507
w30_spread_std,0.0034052276
w30_price_std,0.0032055024
w900_price_momentum,0.003156398
w900_n_observations,0.0031044057
w30_ob_ask_depth_L1_mean,0.0028168259
w60_trade_imbalance,0.0027150393
w30_ob_depth_imbalance_L1,0.0026514358
w30_trade_volume,0.0026472572
w30_price_trend,0.0025428154
w30_ob_microprice_std,0.0023608538
w30_tick_interval_std,0.002320945
w900_return_mean,0.0023114434
w30_price_mean,0.002292578
w60_price_trend,0.0022863315
w900_trade_count,0.002272579
w30_return_std,0.001954228
w30_avg_tick_interval,0.0019414123
w30_price_momentum,0.0018843057
w30_return_mean,0.0018719174
w30_return_skew,0.0017923111
w30_price_max,0.0017777127
w30_trade_count,0.00173806
w30_ob_bid_depth_L1_mean,0.0013119082
w30_trade_imbalance,0.0012861707
w300_volatility_lag1,0.0010923152
w30_return_kurt,0.001070377
w30_tick_rate,0.0009164213
w60_return_mean,0.00078076747
w30_n_observations,0.0005345649
hour_sin,0.0
hour_cos,0.0
day_of_week,0.0
