feature,importance
w300_return_skew,102
w300_spread_std,98
w60_price_std,96
w900_ob_depth_imbalance_L1,92
w300_price_trend,89
w300_price_std,85
w900_price_trend,81
w60_price_range,77
w60_price_trend,76
w900_price_std,75
w900_return_skew,74
w900_trade_imbalance,74
w900_ob_ask_depth_L1_mean,73
w900_return_kurt,68
w30_price_trend,68
w300_ob_microprice_std,65
w60_spread_mean,65
w60_spread_std,64
w300_ob_depth_imbalance_L1,64
w60_return_skew,62
w60_ob_ask_depth_L1_mean,60
w300_trade_imbalance,59
w30_price_std,58
w300_spread_mean,58
w60_ob_depth_imbalance_L1,58
w60_return_kurt,57
w60_ob_microprice_std,56
w300_return_kurt,55
w900_spread_mean,55
w300_ob_ask_depth_L1_mean,55
w30_trade_count,54
w30_price_momentum,52
w60_trade_imbalance,51
w30_price_range,51
w30_return_skew,50
w900_price_momentum,49
w30_price_mean,49
w60_price_min,49
w900_ob_bid_depth_L1_mean,47
w30_ob_ask_depth_L1_mean,47
w30_return_mean,46
w60_price_momentum,45
w900_price_range,45
w300_price_range,44
w60_trade_volume,44
w900_trade_volume,44
w300_tick_interval_std,44
w30_trade_volume,44
w30_trade_imbalance,44
w30_return_kurt,43
w30_ob_microprice_std,43
w900_tick_interval_std,42
w60_return_std,42
w60_trade_count,42
w60_ob_bid_depth_L1_mean,41
w60_tick_interval_std,39
w300_price_momentum,39
w30_price_min,38
w30_spread_std,38
w60_avg_tick_interval,37
w300_ob_bid_depth_L1_mean,36
w30_ob_bid_depth_L1_mean,36
w30_return_std,36
w60_avg_trade_size,36
w60_tick_rate,35
w900_ob_microprice_std,33
w300_return_mean,33
w900_avg_trade_size,32
w30_ob_depth_imbalance_L1,32
w900_return_mean,31
w30_spread_mean,31
w300_trade_count,31
w60_volatility_lag1,31
w60_price_max,30
w300_avg_tick_interval,30
w30_tick_interval_std,30
w300_ob_microprice_mean,30
w60_price_mean,30
w30_price_max,29
w300_return_std,28
w300_price_max,28
w900_price_mean,27
w30_ob_microprice_mean,27
w30_avg_tick_interval,26
w900_spread_std,25
w60_ob_microprice_mean,25
w30_avg_trade_size,24
w300_volatility_lag1,24
w300_avg_trade_size,23
w300_trade_volume,23
w30_tick_rate,22
w300_tick_rate,20
w60_return_mean,20
w300_price_mean,20
w900_ob_microprice_mean,19
w30_volatility_lag1,17
w900_trade_count,17
w900_volatility_lag1,16
w900_price_max,15
w900_avg_tick_interval,15
w900_return_std,14
w900_tick_rate,10
w300_price_min,7
hour_sin,7
w900_price_min,5
w900_n_observations,4
w30_n_observations,3
w300_n_observations,3
hour_cos,1
w60_n_observations,0
day_of_week,0
