feature,importance
hour_sin,0.094220646
w900_ob_ask_depth_L1_mean,0.05481892
w900_avg_tick_interval,0.04125602
w60_price_momentum,0.035295445
w300_spread_std,0.025778536
w900_price_max,0.024345499
w900_spread_std,0.023192441
w300_return_skew,0.022633499
hour_cos,0.021053711
w60_price_mean,0.020606017
w900_spread_mean,0.019263364
w30_price_momentum,0.01652082
w300_spread_mean,0.016055021
w300_ob_bid_depth_L1_mean,0.015601142
w900_price_range,0.015586063
w900_price_trend,0.014922855
w300_ob_microprice_mean,0.014638416
w60_price_max,0.0142347105
w60_price_std,0.014183451
w30_price_range,0.013616677
w900_return_skew,0.013016307
w900_trade_count,0.012496517
w60_price_range,0.01244853
w300_ob_microprice_std,0.012364236
w900_volatility_lag1,0.012116151
w300_price_max,0.012046993
w300_avg_tick_interval,0.011254282
w300_avg_trade_size,0.010861336
w900_avg_trade_size,0.01082695
w900_price_mean,0.010695579
w30_price_max,0.010519041
w900_ob_depth_imbalance_L1,0.01042686
w300_price_range,0.010287919
w60_ob_microprice_mean,0.0098176105
w900_trade_volume,0.009649793
w900_return_kurt,0.0094854655
w60_spread_std,0.009121663
w900_ob_microprice_std,0.009021047
w300_tick_interval_std,0.0090030525
w900_price_std,0.008967353
w300_price_trend,0.008499881
w300_tick_rate,0.008170838
w300_price_mean,0.00768532
w900_tick_interval_std,0.007552473
w60_price_trend,0.0074970415
w300_return_kurt,0.0074937623
w900_n_observations,0.00722007
w300_trade_count,0.0071580643
w60_avg_tick_interval,0.007011734
w900_tick_rate,0.0067297784
w60_price_min,0.0063886303
w900_ob_bid_depth_L1_mean,0.0063610906
w900_trade_imbalance,0.006238322
w300_ob_ask_depth_L1_mean,0.0061197435
w900_return_mean,0.0059843683
w300_trade_volume,0.0056959363
w60_spread_mean,0.0056807557
w300_return_mean,0.0055406652
w300_price_min,0.005533105
w900_price_momentum,0.0054722815
w60_ob_microprice_std,0.005128118
w30_return_mean,0.00472689
w300_trade_imbalance,0.0046530687
w60_ob_depth_imbalance_L1,0.004618039
w300_return_std,0.0045934864
w60_volatility_lag1,0.0045897537
w30_price_min,0.0044401097
w60_trade_volume,0.0044041956
w60_return_skew,0.00433424
w300_n_observations,0.004308075
w300_price_std,0.00428669
w60_tick_interval_std,0.004252621
w60_ob_ask_depth_L1_mean,0.003814251
w900_return_std,0.0034370031
w300_volatility_lag1,0.0034215075
w60_ob_bid_depth_L1_mean,0.0033275865
w900_ob_microprice_mean,0.003319273
w30_price_mean,0.0032979215
w60_trade_imbalance,0.0032353837
w900_price_min,0.0030991854
w300_price_momentum,0.002858867
w60_return_kurt,0.0026750565
w300_ob_depth_imbalance_L1,0.0025776033
w60_return_std,0.0025026875
w30_spread_std,0.0024892422
w30_volatility_lag1,0.00239166
w30_ob_bid_depth_L1_mean,0.0023574957
w60_avg_trade_size,0.0022693158
w60_trade_count,0.002134322
w30_ob_microprice_mean,0.0021212508
w30_return_skew,0.0020946227
w30_trade_imbalance,0.0020820813
w60_tick_rate,0.0020633454
w30_spread_mean,0.001999051
w30_ob_microprice_std,0.0018627068
w30_price_trend,0.0018031517
w30_tick_interval_std,0.0016567814
w30_ob_depth_imbalance_L1,0.0014495355
w30_tick_rate,0.0014435487
w30_price_std,0.0013922896
w30_trade_volume,0.0013806383
w30_avg_trade_size,0.0013585496
w30_avg_tick_interval,0.0012730621
w30_ob_ask_depth_L1_mean,0.0011674553
w30_trade_count,0.0010593884
w30_return_std,0.0010070774
w30_return_kurt,0.000897866
w60_n_observations,0.00085055066
w60_return_mean,0.00073877204
w30_n_observations,0.0004707821
day_of_week,0.0
