feature,importance
w900_n_observations,0.027951999
w30_return_mean,0.025050355
hour_sin,0.024251208
w60_price_trend,0.022069795
w900_price_range,0.02164327
w300_tick_interval_std,0.020377994
w900_ob_ask_depth_L1_mean,0.019321434
w900_tick_interval_std,0.018893594
w300_tick_rate,0.0173474
w900_price_max,0.016586531
w900_volatility_lag1,0.015756115
w300_price_mean,0.015287726
w300_price_min,0.014816029
w60_price_range,0.014382547
w300_spread_std,0.013625518
w30_spread_std,0.013484297
w900_return_std,0.01334275
w900_trade_count,0.013176956
w900_price_std,0.012878977
w900_spread_std,0.012773331
w900_price_min,0.012645808
w900_avg_tick_interval,0.012620984
w900_ob_microprice_mean,0.012613573
w300_ob_ask_depth_L1_mean,0.012515298
w900_trade_volume,0.0121993115
w30_price_momentum,0.011955402
w300_return_std,0.0119133955
w900_price_mean,0.011686372
w900_ob_microprice_std,0.011549393
w300_n_observations,0.011419426
w900_ob_bid_depth_L1_mean,0.011308336
w900_ob_depth_imbalance_L1,0.011306134
w60_spread_std,0.0111030685
w900_tick_rate,0.010807063
w60_return_mean,0.010712478
w300_avg_tick_interval,0.0106015075
w60_price_std,0.010305714
w300_return_skew,0.010163415
w300_trade_count,0.010155649
w300_return_kurt,0.010124053
hour_cos,0.009988026
w900_return_kurt,0.0098855775
day_of_week,0.009760307
w60_trade_volume,0.009600861
w300_spread_mean,0.0094958
w900_spread_mean,0.009350232
w300_ob_microprice_std,0.009231347
w60_price_max,0.009095921
w300_ob_microprice_mean,0.008838904
w300_ob_bid_depth_L1_mean,0.00850669
w60_ob_ask_depth_L1_mean,0.008429791
w60_avg_trade_size,0.008344391
w30_price_max,0.008214019
w300_price_trend,0.0081079565
w900_return_skew,0.00803323
w60_price_momentum,0.00800901
w60_volatility_lag1,0.007942181
w900_price_trend,0.007833594
w60_ob_microprice_std,0.007539583
w300_price_max,0.0075018345
w60_price_mean,0.0074650384
w300_ob_depth_imbalance_L1,0.0072339345
w900_price_momentum,0.0071713803
w900_trade_imbalance,0.007157257
w60_tick_rate,0.0070951744
w60_ob_bid_depth_L1_mean,0.006974187
w60_price_min,0.0069007548
w300_price_std,0.006874184
w300_avg_trade_size,0.0067666187
w60_trade_imbalance,0.0066750976
w60_avg_tick_interval,0.006674381
w300_volatility_lag1,0.0064480337
w300_trade_volume,0.0063464525
w900_return_mean,0.006320036
w60_return_kurt,0.006211369
w900_avg_trade_size,0.0061228657
w60_return_std,0.0061084367
w60_spread_mean,0.0059766104
w300_price_range,0.0057579307
w30_avg_tick_interval,0.0056683896
w60_tick_interval_std,0.0055753263
w300_trade_imbalance,0.005507594
w30_price_trend,0.005237675
w60_ob_depth_imbalance_L1,0.0048989686
w300_price_momentum,0.004890245
w30_price_min,0.0048122974
w60_return_skew,0.0046752994
w30_ob_microprice_std,0.004542866
w60_n_observations,0.004384186
w30_ob_depth_imbalance_L1,0.004229568
w30_volatility_lag1,0.0039537125
w30_return_skew,0.0038948422
w30_price_range,0.0038240242
w30_ob_bid_depth_L1_mean,0.0036607534
w30_tick_rate,0.0036118603
w300_return_mean,0.0034583185
w30_trade_count,0.0034461909
w30_ob_microprice_mean,0.003373191
w60_trade_count,0.0033654224
w30_ob_ask_depth_L1_mean,0.0032440978
w30_trade_volume,0.0032314237
w30_avg_trade_size,0.0028597075
w30_return_kurt,0.0028535489
w60_ob_microprice_mean,0.0028202082
w30_trade_imbalance,0.002711376
w30_return_std,0.002631681
w30_price_std,0.0024730607
w30_price_mean,0.002433401
w30_n_observations,0.0024217695
w30_spread_mean,0.0023769722
w30_tick_interval_std,0.0022188816
