feature,importance
w300_return_skew,117
w300_price_trend,111
w60_price_trend,102
w60_price_range,101
w900_price_std,91
w60_price_std,86
w900_price_trend,84
w900_return_kurt,83
w300_spread_std,83
w900_ob_ask_depth_L1_mean,76
w900_trade_imbalance,75
w300_return_kurt,74
w300_tick_interval_std,72
w900_trade_volume,71
w900_ob_depth_imbalance_L1,69
w300_ob_microprice_std,67
w60_ob_depth_imbalance_L1,66
w60_trade_volume,66
w60_return_skew,65
w60_spread_mean,64
w300_trade_volume,64
w900_return_skew,64
w30_price_std,63
w30_price_mean,63
w300_ob_bid_depth_L1_mean,63
w300_trade_imbalance,63
w60_ob_microprice_std,62
w300_ob_ask_depth_L1_mean,62
w300_ob_depth_imbalance_L1,61
w60_trade_imbalance,61
w900_price_range,61
w60_avg_trade_size,61
w60_spread_std,60
w60_ob_ask_depth_L1_mean,59
w60_tick_interval_std,58
w900_spread_std,54
w30_price_trend,54
w300_price_std,53
w60_price_momentum,52
w300_price_momentum,52
w30_trade_volume,52
w30_ob_depth_imbalance_L1,51
w30_return_skew,50
w900_price_momentum,48
w900_ob_bid_depth_L1_mean,48
w30_spread_std,47
w900_avg_trade_size,47
w60_return_kurt,47
w300_spread_mean,46
w300_avg_tick_interval,46
hour_sin,45
w900_ob_microprice_std,45
w900_trade_count,45
w900_spread_mean,44
w300_avg_trade_size,44
w300_return_std,44
w60_ob_bid_depth_L1_mean,44
w30_price_momentum,44
w900_tick_interval_std,43
w30_ob_microprice_std,43
w60_return_std,41
w30_trade_count,40
w30_return_kurt,40
w60_avg_tick_interval,39
w300_price_range,38
w30_return_mean,38
w60_trade_count,38
w30_tick_interval_std,38
w900_avg_tick_interval,37
w300_volatility_lag1,36
w300_trade_count,36
w60_tick_rate,35
w30_ob_bid_depth_L1_mean,34
w30_price_range,34
w30_ob_ask_depth_L1_mean,34
w60_price_max,34
w30_trade_imbalance,33
w30_price_min,33
w300_tick_rate,33
w900_tick_rate,31
w300_price_mean,31
w30_spread_mean,31
w60_price_min,31
w30_avg_tick_interval,30
w900_price_mean,30
hour_cos,30
w60_price_mean,29
w30_return_std,29
w60_volatility_lag1,26
w900_price_max,25
w30_price_max,23
w900_return_mean,22
w300_return_mean,21
w300_ob_microprice_mean,21
w30_avg_trade_size,21
w900_volatility_lag1,20
w900_ob_microprice_mean,20
w900_price_min,19
w30_volatility_lag1,18
w60_ob_microprice_mean,18
w300_price_min,16
w60_return_mean,16
w30_ob_microprice_mean,16
w900_return_std,16
w30_tick_rate,13
w300_price_max,11
w300_n_observations,5
w900_n_observations,4
w60_n_observations,4
w30_n_observations,1
day_of_week,0
