feature,importance
w900_price_std,102
w60_price_trend,84
w300_ob_depth_imbalance_L1,80
w60_price_std,77
w900_avg_tick_interval,77
w30_price_mean,71
w900_trade_imbalance,65
w300_price_std,60
w60_ob_microprice_std,58
w30_spread_std,57
w60_tick_interval_std,56
w60_avg_tick_interval,54
w300_ob_microprice_std,54
w60_avg_trade_size,53
w30_return_kurt,50
w900_return_kurt,50
w60_return_kurt,50
w60_price_momentum,48
w30_price_momentum,48
w60_trade_volume,44
w30_tick_interval_std,43
w30_spread_mean,43
w300_ob_bid_depth_L1_mean,40
w60_return_skew,39
w300_trade_volume,39
w30_price_std,39
w900_ob_microprice_std,39
w900_price_mean,38
w300_tick_interval_std,38
w300_spread_mean,38
w30_trade_imbalance,38
w900_trade_count,37
w900_tick_interval_std,37
w300_tick_rate,36
w900_price_trend,36
w60_ob_depth_imbalance_L1,36
w30_price_max,35
w30_avg_tick_interval,34
w60_price_range,34
w30_trade_count,33
w60_ob_ask_depth_L1_mean,32
w60_spread_mean,32
w60_tick_rate,32
w300_return_kurt,32
w60_trade_imbalance,30
w900_spread_std,30
w30_price_trend,30
w30_return_mean,30
w30_price_range,28
w60_trade_count,28
w30_ob_bid_depth_L1_mean,28
w30_avg_trade_size,28
w900_return_skew,28
w30_ob_depth_imbalance_L1,28
w60_spread_std,28
w30_ob_ask_depth_L1_mean,27
w30_return_skew,27
w300_price_trend,27
w30_trade_volume,26
w900_price_momentum,25
w60_return_mean,24
w300_trade_imbalance,23
w60_volatility_lag1,23
w300_spread_std,22
w30_return_std,22
w300_avg_trade_size,21
w900_trade_volume,21
w300_volatility_lag1,20
w900_ob_bid_depth_L1_mean,20
w300_return_skew,19
w60_return_std,19
w60_price_mean,19
w900_avg_trade_size,19
w900_ob_depth_imbalance_L1,19
w300_ob_ask_depth_L1_mean,19
w300_avg_tick_interval,18
w900_ob_microprice_mean,18
w300_return_mean,17
w300_trade_count,15
w300_price_momentum,14
w300_ob_microprice_mean,14
w60_price_max,14
w900_tick_rate,13
w30_ob_microprice_std,13
w900_spread_mean,12
w300_return_std,12
w900_price_max,12
w30_volatility_lag1,11
w30_tick_rate,11
w900_return_mean,11
w900_return_std,11
w60_ob_bid_depth_L1_mean,10
w900_volatility_lag1,9
w30_price_min,9
w30_ob_microprice_mean,8
w300_price_mean,8
w300_price_max,8
w60_price_min,7
w900_ob_ask_depth_L1_mean,6
w300_price_range,6
w300_n_observations,6
w900_n_observations,4
w60_ob_microprice_mean,4
w900_price_range,3
w60_n_observations,2
w30_n_observations,1
w900_price_min,1
hour_cos,1
w300_price_min,0
hour_sin,0
day_of_week,0
