feature,importance
hour_sin,0.06864309
w300_n_observations,0.04640772
w300_trade_count,0.035099227
w300_avg_tick_interval,0.027175672
w900_n_observations,0.026604533
w900_spread_mean,0.023893336
w900_price_min,0.023267085
w900_price_range,0.022722332
w900_volatility_lag1,0.021868613
w300_price_max,0.021764325
w900_tick_interval_std,0.02015338
w30_return_mean,0.01991311
w300_avg_trade_size,0.019685784
w300_price_range,0.018911866
w60_price_min,0.017137753
w900_price_mean,0.01710068
w300_tick_rate,0.016826121
w900_trade_count,0.016609432
w900_ob_ask_depth_L1_mean,0.015839862
w900_ob_microprice_mean,0.015258344
w900_avg_tick_interval,0.014521488
w60_price_trend,0.0143837845
w900_price_max,0.013234556
w300_ob_microprice_std,0.013103116
w300_ob_bid_depth_L1_mean,0.01301595
w30_spread_std,0.012804602
w900_ob_bid_depth_L1_mean,0.011966971
w300_trade_volume,0.011773735
w60_avg_tick_interval,0.01138878
w60_return_std,0.010457672
w900_avg_trade_size,0.010409675
w60_n_observations,0.010187056
w30_trade_volume,0.009832412
w300_ob_ask_depth_L1_mean,0.009764701
w900_trade_volume,0.009639902
w900_spread_std,0.009515118
w900_ob_microprice_std,0.009485995
w60_price_max,0.009301696
w60_price_range,0.009237207
w900_price_std,0.009044456
w300_return_std,0.008730282
day_of_week,0.008148002
w60_spread_mean,0.007964489
w60_price_std,0.007845963
w900_return_std,0.0075367717
w300_volatility_lag1,0.0073421025
w60_ob_depth_imbalance_L1,0.0072180503
w300_spread_std,0.0071727363
w300_return_mean,0.007033499
w900_price_momentum,0.006921044
w300_price_trend,0.0068997084
w300_ob_microprice_mean,0.0066751814
w60_spread_std,0.006662474
w60_avg_trade_size,0.006507514
w30_price_min,0.0063022343
w30_ob_microprice_mean,0.006045613
w60_trade_volume,0.005964549
w900_price_trend,0.005890783
w900_tick_rate,0.00581822
w300_trade_imbalance,0.0057959002
w60_volatility_lag1,0.005561783
w300_price_std,0.00530568
w300_spread_mean,0.005287097
w30_ob_ask_depth_L1_mean,0.0052738874
w300_tick_interval_std,0.0052405605
w30_price_momentum,0.005177216
w900_trade_imbalance,0.0051096757
w60_trade_count,0.004959297
w30_price_range,0.004772626
w60_tick_rate,0.0047552073
w300_ob_depth_imbalance_L1,0.004639496
w60_ob_microprice_std,0.004636915
w60_return_mean,0.0045538507
w60_trade_imbalance,0.0045480016
w30_price_max,0.004506162
w30_spread_mean,0.0043873717
w900_ob_depth_imbalance_L1,0.0041106637
w30_trade_imbalance,0.004093607
w300_price_mean,0.0040278677
w60_price_mean,0.0038500598
hour_cos,0.0038134642
w60_tick_interval_std,0.0035575423
w60_ob_microprice_mean,0.0034344967
w30_price_std,0.003170811
w60_price_momentum,0.0031520843
w900_return_mean,0.0026791557
w300_price_momentum,0.0026671225
w30_tick_rate,0.0026227944
w30_price_trend,0.0025498318
w30_avg_tick_interval,0.0022212157
w30_trade_count,0.0022076932
w300_price_min,0.001948016
w30_avg_trade_size,0.0018075082
w60_ob_ask_depth_L1_mean,0.001679242
w60_ob_bid_depth_L1_mean,0.0015159834
w30_ob_microprice_std,0.0014770406
w30_volatility_lag1,0.0014583808
w30_tick_interval_std,0.001437821
w30_return_std,0.001414403
w30_ob_depth_imbalance_L1,0.0013445676
w30_price_mean,0.0009675736
w30_n_observations,0.0009463248
w30_ob_bid_depth_L1_mean,0.00070361287
w30_return_skew,0.0
w30_return_kurt,0.0
w60_return_kurt,0.0
w300_return_skew,0.0
w900_return_kurt,0.0
w900_return_skew,0.0
w300_return_kurt,0.0
w60_return_skew,0.0
