feature,importance
w300_price_mean,75
w30_price_trend,73
w900_trade_imbalance,66
w60_price_std,66
w900_price_trend,63
w30_ob_ask_depth_L1_mean,60
w60_trade_imbalance,60
w60_spread_std,59
w300_return_skew,58
w60_price_momentum,54
w900_spread_std,54
w60_price_trend,53
w60_ob_ask_depth_L1_mean,50
w900_price_mean,50
w300_price_std,46
w900_return_kurt,46
w900_trade_count,45
w30_ob_depth_imbalance_L1,42
w30_ob_bid_depth_L1_mean,41
w300_price_trend,41
w60_price_range,40
w60_price_min,39
w60_ob_bid_depth_L1_mean,39
w30_trade_imbalance,38
w60_trade_volume,37
w300_trade_imbalance,36
w900_price_std,36
w60_return_skew,35
w300_trade_volume,34
w900_ob_depth_imbalance_L1,34
w30_ob_microprice_std,33
w300_ob_microprice_std,33
w900_ob_ask_depth_L1_mean,32
w900_return_skew,32
w300_ob_bid_depth_L1_mean,32
w30_volatility_lag1,31
w30_return_skew,30
w300_spread_std,30
w30_return_mean,30
w30_price_std,30
w300_ob_ask_depth_L1_mean,30
w900_avg_trade_size,29
w30_ob_microprice_mean,29
w900_tick_interval_std,28
w900_price_momentum,27
w900_avg_tick_interval,27
w60_tick_rate,27
w30_price_mean,27
w60_return_kurt,27
w300_return_kurt,26
w900_spread_mean,26
w30_return_kurt,25
w30_spread_std,25
w60_spread_mean,24
w300_price_momentum,24
w900_trade_volume,23
w300_trade_count,23
w60_ob_microprice_std,22
w30_price_max,22
w30_return_std,21
w30_price_range,21
w900_ob_microprice_std,21
w60_ob_depth_imbalance_L1,21
w30_avg_tick_interval,21
w60_avg_tick_interval,21
w60_return_std,20
w300_avg_trade_size,20
w900_tick_rate,19
w30_tick_interval_std,18
w300_ob_microprice_mean,18
w300_return_mean,18
w60_tick_interval_std,18
w900_return_std,17
w30_price_min,17
w60_volatility_lag1,17
w30_price_momentum,16
w300_avg_tick_interval,16
w30_tick_rate,16
w30_trade_count,16
w900_ob_bid_depth_L1_mean,16
w30_avg_trade_size,15
w900_return_mean,15
w300_volatility_lag1,15
w60_avg_trade_size,14
w60_return_mean,14
w300_spread_mean,14
w900_volatility_lag1,13
w300_return_std,13
w300_ob_depth_imbalance_L1,12
w60_trade_count,12
w300_price_min,12
w30_trade_volume,12
w60_price_mean,11
w300_tick_interval_std,10
w300_price_range,10
w30_spread_mean,8
w900_price_min,8
w900_ob_microprice_mean,8
w300_tick_rate,8
w300_price_max,7
w900_n_observations,7
w60_ob_microprice_mean,7
w900_price_max,5
w30_n_observations,4
w60_price_max,4
w900_price_range,3
w60_n_observations,2
w300_n_observations,2
hour_sin,0
hour_cos,0
day_of_week,0
