feature,importance
w300_price_min,0.06857556
w300_avg_trade_size,0.063973084
w300_price_max,0.06307481
w300_ob_microprice_std,0.046092015
w900_price_mean,0.040187135
w300_return_std,0.032755114
w300_return_skew,0.030277304
w900_trade_volume,0.027801542
w300_tick_interval_std,0.027105618
w900_ob_microprice_std,0.026738752
w900_return_kurt,0.024681957
w900_trade_imbalance,0.024645254
w900_ob_microprice_mean,0.022262553
w900_price_trend,0.021233475
w900_n_observations,0.020385738
w300_return_kurt,0.020129066
w300_spread_std,0.017096298
w60_trade_volume,0.015988499
w900_tick_rate,0.014931662
w300_trade_volume,0.014573499
w900_avg_trade_size,0.013472615
w60_price_range,0.013377133
w300_spread_mean,0.011487891
w900_price_min,0.010292839
w900_spread_mean,0.0099637015
w300_price_mean,0.009949084
w900_price_std,0.009929283
w900_trade_count,0.009678379
w900_tick_interval_std,0.009486031
w300_price_trend,0.009472201
w300_price_range,0.009455522
w60_price_std,0.009404704
w900_avg_tick_interval,0.009393011
w60_spread_std,0.009216839
w300_ob_microprice_mean,0.008896286
w60_price_max,0.008466536
w60_price_momentum,0.008212379
w900_ob_bid_depth_L1_mean,0.008198691
w300_volatility_lag1,0.008141859
w900_ob_ask_depth_L1_mean,0.008078018
w300_avg_tick_interval,0.007767659
w900_price_range,0.007271702
w900_return_skew,0.0069991914
w300_price_momentum,0.0068569947
w30_ob_depth_imbalance_L1,0.006020244
w30_price_trend,0.0055886833
w300_trade_imbalance,0.0051470594
w60_ob_microprice_std,0.0050417054
w300_price_std,0.005009281
w30_price_range,0.0046913503
w30_ob_ask_depth_L1_mean,0.0045506554
w60_ob_depth_imbalance_L1,0.004374801
w900_ob_depth_imbalance_L1,0.004221679
w300_trade_count,0.0041011237
w30_price_max,0.003910783
w300_ob_bid_depth_L1_mean,0.003683143
w300_return_mean,0.0036695588
w900_spread_std,0.0036388878
w900_return_std,0.0036162836
w60_price_mean,0.0035259628
w300_ob_depth_imbalance_L1,0.0034372052
w300_ob_ask_depth_L1_mean,0.0034208274
w30_return_std,0.003267669
w60_return_kurt,0.0031252985
w60_return_skew,0.0029929508
w30_spread_std,0.0029651318
w900_price_momentum,0.0029498439
w60_price_trend,0.0028997166
w60_trade_imbalance,0.0028695036
w30_ob_microprice_mean,0.0028515
w60_price_min,0.002744116
w30_volatility_lag1,0.0026533396
w60_n_observations,0.0025001452
w60_return_std,0.0024573002
w30_price_mean,0.002384579
w30_return_mean,0.0021666654
w60_return_mean,0.0020864103
w30_avg_trade_size,0.0020418684
w30_ob_bid_depth_L1_mean,0.0020157306
w60_ob_ask_depth_L1_mean,0.0019510995
w900_volatility_lag1,0.0018856865
w60_volatility_lag1,0.0016596564
w30_price_std,0.001634574
w60_spread_mean,0.0016262544
w30_trade_imbalance,0.001524705
w30_avg_tick_interval,0.0014684162
w900_return_mean,0.0014663078
w60_tick_interval_std,0.001454911
w60_avg_trade_size,0.0012724892
w60_ob_bid_depth_L1_mean,0.0011716011
w60_avg_tick_interval,0.001147882
w300_tick_rate,0.001104529
w30_spread_mean,0.0010844627
w30_return_kurt,0.0010333392
w60_trade_count,0.0009975564
w30_ob_microprice_std,0.0009407306
w60_ob_microprice_mean,0.00093388074
w30_tick_interval_std,0.00093345664
w60_tick_rate,0.0009110129
w30_price_momentum,0.00090721546
w30_price_min,0.0008906452
w30_return_skew,0.0008157143
w30_trade_count,0.00080676767
w300_n_observations,0.0007151609
w900_price_max,0.00035503844
w30_trade_volume,0.00032241418
w30_tick_rate,0.0003215222
w30_n_observations,6.441415e-05
hour_sin,0.0
hour_cos,0.0
day_of_week,0.0
