feature,importance
w60_price_trend,136
w300_ob_depth_imbalance_L1,102
w900_price_trend,101
w300_price_trend,98
w900_price_std,93
w900_trade_imbalance,89
w300_spread_std,87
w60_price_std,86
w300_return_skew,84
w900_ob_depth_imbalance_L1,81
w300_trade_imbalance,79
w60_return_kurt,76
w30_price_trend,74
w300_ob_bid_depth_L1_mean,71
w900_spread_mean,69
w60_avg_tick_interval,69
w60_price_range,69
w300_ob_ask_depth_L1_mean,68
w60_ob_depth_imbalance_L1,68
w60_return_skew,67
w60_return_std,65
w900_return_kurt,62
w900_ob_microprice_std,60
w60_trade_volume,60
w60_trade_imbalance,59
w60_price_momentum,59
w900_avg_trade_size,58
hour_sin,57
w300_tick_interval_std,57
w900_spread_std,56
w900_price_momentum,55
w300_avg_trade_size,55
w300_return_kurt,55
w300_trade_count,54
w900_trade_volume,53
w60_ob_microprice_std,52
w300_trade_volume,52
w60_avg_trade_size,51
w60_spread_std,51
w300_ob_microprice_std,51
w30_price_mean,50
w300_price_std,50
w30_ob_ask_depth_L1_mean,50
w30_price_std,49
w60_tick_interval_std,49
w900_ob_ask_depth_L1_mean,49
w300_price_range,48
w60_price_max,47
w30_tick_interval_std,46
w900_return_skew,46
w300_tick_rate,46
w900_ob_bid_depth_L1_mean,45
w900_trade_count,45
w900_volatility_lag1,45
w300_volatility_lag1,44
w900_price_range,43
w60_spread_mean,42
w300_spread_mean,42
w30_return_skew,40
w30_ob_microprice_std,40
w30_price_momentum,40
w30_spread_std,39
w60_ob_ask_depth_L1_mean,39
w30_return_mean,38
w60_tick_rate,38
w30_return_kurt,37
w300_return_std,37
w300_price_momentum,37
w30_trade_imbalance,36
w30_ob_depth_imbalance_L1,35
w900_avg_tick_interval,34
w300_avg_tick_interval,34
w900_tick_rate,34
w900_return_mean,32
w900_tick_interval_std,31
w30_ob_bid_depth_L1_mean,31
w30_trade_count,31
w900_return_std,31
w30_spread_mean,31
w60_trade_count,30
w300_return_mean,29
w30_return_std,29
w30_trade_volume,28
w900_price_mean,28
w60_ob_bid_depth_L1_mean,28
w30_price_range,28
w30_price_min,28
w30_avg_tick_interval,27
w60_volatility_lag1,27
w60_ob_microprice_mean,26
w60_price_mean,26
w300_price_mean,26
w900_ob_microprice_mean,24
w60_return_mean,24
hour_cos,22
w30_avg_trade_size,22
w900_price_min,22
w30_price_max,21
w30_tick_rate,18
w30_volatility_lag1,15
w300_price_max,15
w60_price_min,15
w900_price_max,14
w300_n_observations,13
w30_ob_microprice_mean,13
w300_price_min,12
w300_ob_microprice_mean,10
w900_n_observations,9
day_of_week,7
w30_n_observations,6
w60_n_observations,4
