feature,importance
w30_spread_std,0.029628327
hour_cos,0.028858554
w900_return_kurt,0.028553559
w300_avg_tick_interval,0.02552391
w900_price_mean,0.024795234
w300_tick_rate,0.024279894
w900_avg_tick_interval,0.023650274
w300_ob_microprice_std,0.02249784
w30_return_mean,0.020138655
w300_volatility_lag1,0.018647881
w300_ob_depth_imbalance_L1,0.018081727
hour_sin,0.017733505
w900_volatility_lag1,0.017685618
w300_trade_count,0.017037716
w900_spread_std,0.015749449
w60_spread_std,0.015500391
w900_ob_ask_depth_L1_mean,0.015365236
w60_price_min,0.015080991
w900_price_std,0.014248987
w300_tick_interval_std,0.013563252
w900_tick_interval_std,0.01340816
w900_return_std,0.013280076
w300_ob_microprice_mean,0.013275728
w900_spread_mean,0.01326753
w300_price_range,0.012407043
w900_price_min,0.012256895
w60_price_trend,0.012246837
w900_ob_microprice_std,0.012208892
w900_price_momentum,0.011871219
w300_ob_ask_depth_L1_mean,0.011624597
w900_avg_trade_size,0.011353144
w900_ob_microprice_mean,0.01125557
w300_n_observations,0.010924597
w60_ob_depth_imbalance_L1,0.010650043
w60_price_range,0.01059822
w300_spread_std,0.010511276
w300_price_trend,0.010383934
w300_return_kurt,0.010076435
w900_ob_bid_depth_L1_mean,0.010067726
w300_return_skew,0.01002979
w60_return_kurt,0.009602504
w60_tick_interval_std,0.009530189
w900_price_range,0.009437009
w900_trade_count,0.009374058
w300_return_std,0.009072856
w300_spread_mean,0.008973507
w60_price_std,0.008896637
w900_price_trend,0.00881921
w900_ob_depth_imbalance_L1,0.008810046
w300_price_max,0.00879924
w300_avg_trade_size,0.008690096
day_of_week,0.008665242
w60_return_std,0.008564757
w900_trade_imbalance,0.008400611
w900_price_max,0.007833129
w900_return_skew,0.007557982
w900_trade_volume,0.007168252
w60_price_max,0.0071220496
w60_tick_rate,0.0070176185
w300_price_momentum,0.0069975257
w60_spread_mean,0.006919431
w300_ob_bid_depth_L1_mean,0.006897685
w30_price_momentum,0.0067710956
w60_return_skew,0.006594141
w60_ob_ask_depth_L1_mean,0.0060266783
w60_return_mean,0.0060097766
w300_price_mean,0.0057677217
w60_ob_bid_depth_L1_mean,0.0057116076
w300_trade_imbalance,0.005704027
w60_price_mean,0.0056440453
w300_trade_volume,0.0056332913
w30_price_mean,0.00563132
w30_price_range,0.00504256
w900_tick_rate,0.0048446404
w900_n_observations,0.0047702356
w300_return_mean,0.0046092025
w60_price_momentum,0.004535432
w30_n_observations,0.004524306
w60_trade_volume,0.0043837777
w60_volatility_lag1,0.004215773
w30_avg_trade_size,0.0041673463
w300_price_std,0.0038712798
w30_return_kurt,0.0035811628
w60_ob_microprice_std,0.0035770887
w30_price_trend,0.0034134483
w900_return_mean,0.0032812476
w60_avg_tick_interval,0.0032611152
w30_tick_rate,0.0032035443
w30_price_min,0.0030539532
w300_price_min,0.0029970994
w30_return_skew,0.0029410047
w30_price_max,0.002910862
w30_ob_microprice_std,0.0029047383
w30_tick_interval_std,0.002876545
w30_trade_count,0.0027550764
w30_ob_microprice_mean,0.0027118227
w30_volatility_lag1,0.0026044203
w30_ob_ask_depth_L1_mean,0.0025109828
w60_ob_microprice_mean,0.0024437476
w30_price_std,0.0024228515
w60_trade_imbalance,0.0023837448
w30_ob_depth_imbalance_L1,0.0023256766
w60_avg_trade_size,0.0022310412
w30_avg_tick_interval,0.0021312158
w30_spread_mean,0.0020808554
w30_ob_bid_depth_L1_mean,0.0019766851
w60_trade_count,0.001737466
w60_n_observations,0.0016913845
w30_return_std,0.0016459854
w30_trade_volume,0.001221104
w30_trade_imbalance,0.0011975045
