feature,importance
hour_sin,0.14203705
w900_ob_microprice_mean,0.08272812
w60_spread_std,0.036532573
w300_trade_volume,0.035352353
w300_price_min,0.03487959
w300_spread_mean,0.03272143
w900_tick_rate,0.023797698
w300_price_range,0.023738109
w60_ob_bid_depth_L1_mean,0.02307197
w300_price_momentum,0.02138335
w30_avg_tick_interval,0.018527268
w30_price_max,0.01843422
w60_price_max,0.01758637
w900_trade_volume,0.017271997
w300_price_max,0.017215196
w30_price_min,0.01694646
w300_volatility_lag1,0.016184503
w900_price_mean,0.016178451
w60_trade_imbalance,0.014578757
w300_price_trend,0.013833232
w30_trade_count,0.013021552
w60_trade_count,0.012790807
w900_price_std,0.012626843
w900_volatility_lag1,0.01254121
w300_price_mean,0.012478095
w900_avg_tick_interval,0.012364653
w60_spread_mean,0.012108476
w300_tick_rate,0.011662542
w900_trade_count,0.011426927
w300_avg_tick_interval,0.011317876
w900_price_trend,0.011067816
w60_price_range,0.010974277
w60_trade_volume,0.010839143
w60_price_min,0.010609484
w300_trade_imbalance,0.010054654
w60_price_std,0.009791337
w300_spread_std,0.009386278
w900_spread_mean,0.00873321
w300_price_std,0.008622035
w60_price_mean,0.008353371
w60_avg_tick_interval,0.008203786
w300_avg_trade_size,0.00812686
w300_trade_count,0.0079691745
w60_tick_rate,0.007698295
w300_return_std,0.0076730596
w30_return_mean,0.006798736
w900_price_min,0.0065320516
w900_avg_trade_size,0.0063887173
w60_price_momentum,0.0063377605
w900_trade_imbalance,0.0062211864
w60_avg_trade_size,0.005749458
w60_volatility_lag1,0.0051940954
w300_ob_microprice_mean,0.004940224
w60_price_trend,0.0044756928
w30_trade_imbalance,0.004381289
w60_return_std,0.0042042737
w900_price_max,0.003558312
w900_price_momentum,0.003535525
w30_trade_volume,0.0034766255
w60_ob_microprice_mean,0.003377726
w900_spread_std,0.0031646213
w30_price_range,0.003162042
w900_price_range,0.0029959143
w30_tick_rate,0.002995573
w30_spread_mean,0.0028985124
w30_price_mean,0.0026759342
w900_return_std,0.0025181067
w30_return_std,0.0024276262
w30_ob_bid_depth_L1_mean,0.0023176798
w30_avg_trade_size,0.0023064404
w30_price_trend,0.0018257942
w30_volatility_lag1,0.0018254387
w30_spread_std,0.0015035465
w300_return_mean,0.0014928648
w900_return_mean,0.0013633415
w30_price_std,0.0013167514
w30_price_momentum,0.0011980924
w300_ob_bid_depth_L1_mean,0.001024666
day_of_week,0.00087594346
w60_return_mean,0.0008048055
hour_cos,0.0006743672
w30_ob_depth_imbalance_L1,1.978028e-05
w60_tick_interval_std,0.0
w900_ob_bid_depth_L1_mean,0.0
w30_return_kurt,0.0
w30_return_skew,0.0
w60_ob_ask_depth_L1_mean,0.0
w900_tick_interval_std,0.0
w900_n_observations,0.0
w900_ob_depth_imbalance_L1,0.0
w900_ob_ask_depth_L1_mean,0.0
w300_tick_interval_std,0.0
w60_ob_depth_imbalance_L1,0.0
w900_ob_microprice_std,0.0
w60_ob_microprice_std,0.0
w60_n_observations,0.0
w300_n_observations,0.0
w300_ob_microprice_std,0.0
w30_tick_interval_std,0.0
w30_n_observations,0.0
w300_ob_ask_depth_L1_mean,0.0
w900_return_kurt,0.0
w900_return_skew,0.0
w300_ob_depth_imbalance_L1,0.0
w300_return_skew,0.0
w30_ob_ask_depth_L1_mean,0.0
w30_ob_microprice_mean,0.0
w30_ob_microprice_std,0.0
w60_return_skew,0.0
w60_return_kurt,0.0
w300_return_kurt,0.0
