feature,importance
day_of_week,0.19724785
hour_sin,0.07883328
w900_return_std,0.024586216
w900_tick_interval_std,0.023864865
w60_price_trend,0.020151973
w900_price_range,0.01929249
w300_trade_count,0.019136611
w900_spread_std,0.019035572
w900_avg_tick_interval,0.016994033
w60_tick_rate,0.015930494
w900_spread_mean,0.0142290685
w900_ob_ask_depth_L1_mean,0.013973025
w300_tick_interval_std,0.013813379
w30_ob_microprice_mean,0.013620325
w30_price_momentum,0.013584146
w300_price_range,0.0134943575
w60_trade_count,0.0132443635
w900_tick_rate,0.012541625
w900_price_max,0.01247728
w900_ob_microprice_mean,0.012025173
w900_ob_microprice_std,0.011678913
w900_volatility_lag1,0.011634559
w300_ob_bid_depth_L1_mean,0.0108801555
w900_price_min,0.010637255
w60_price_max,0.010522758
w900_return_kurt,0.010165706
w900_ob_bid_depth_L1_mean,0.010148571
w300_spread_std,0.010053289
w300_avg_tick_interval,0.009986763
w60_return_std,0.009895044
w30_return_mean,0.009814812
w900_price_std,0.009653027
w300_avg_trade_size,0.00929963
w300_price_mean,0.00896624
w30_price_min,0.008875515
w300_return_std,0.008358417
w300_tick_rate,0.008119151
w300_return_kurt,0.00787696
w60_trade_volume,0.0077724913
w300_trade_volume,0.0076634055
w300_spread_mean,0.0076194783
w900_trade_imbalance,0.0075691654
w300_trade_imbalance,0.0075135557
w60_spread_std,0.0074645616
w60_volatility_lag1,0.007458182
w900_trade_count,0.0070626806
w300_price_trend,0.007011321
w900_price_mean,0.00696099
w60_spread_mean,0.006608819
w300_price_std,0.0065466985
w300_ob_microprice_std,0.006344764
w60_avg_tick_interval,0.0061183227
w60_price_momentum,0.005945092
w60_trade_imbalance,0.0059419107
w60_return_mean,0.00578946
w900_price_momentum,0.005701058
w300_ob_ask_depth_L1_mean,0.0056760767
w60_ob_microprice_std,0.0054023275
w300_ob_depth_imbalance_L1,0.00535794
w30_price_trend,0.0052457876
w300_return_skew,0.005104848
w900_avg_trade_size,0.0048569627
w60_ob_microprice_mean,0.0045865034
w60_price_range,0.004535709
w900_ob_depth_imbalance_L1,0.0045321216
w60_price_std,0.0042155175
w60_price_mean,0.0042036674
w900_return_skew,0.0036155507
w60_return_kurt,0.0031297712
w30_ob_ask_depth_L1_mean,0.0030413084
w900_trade_volume,0.0029063155
w60_return_skew,0.002896463
w900_price_trend,0.0028284236
w60_ob_depth_imbalance_L1,0.0028153672
w300_n_observations,0.0027974625
w30_price_mean,0.0027754665
w30_tick_rate,0.0026913811
w300_volatility_lag1,0.0026739663
w30_trade_volume,0.0025984608
w300_return_mean,0.0025045287
w60_tick_interval_std,0.0023443033
w300_ob_microprice_mean,0.0021930342
w60_avg_trade_size,0.0021625352
w300_price_max,0.0021551386
w60_price_min,0.0021070873
w300_price_momentum,0.00201996
w300_price_min,0.0019104423
w30_avg_tick_interval,0.0018010741
w60_ob_ask_depth_L1_mean,0.001795746
w30_price_range,0.0017909667
w900_return_mean,0.0016952151
w30_volatility_lag1,0.0015387349
w30_ob_bid_depth_L1_mean,0.001424654
w30_return_skew,0.0014020357
w30_spread_std,0.001350582
w30_price_max,0.0012140626
w900_n_observations,0.0011930056
w30_ob_depth_imbalance_L1,0.0011667433
w30_ob_microprice_std,0.0011527635
hour_cos,0.0010987293
w60_ob_bid_depth_L1_mean,0.0010923013
w30_trade_imbalance,0.0010537065
w30_price_std,0.0010133683
w30_spread_mean,0.00083298044
w30_return_std,0.00080482446
w30_return_kurt,0.0007111226
w30_avg_trade_size,0.00069302984
w30_trade_count,0.0004900593
w60_n_observations,0.0004815657
w30_n_observations,0.0003299007
w30_tick_interval_std,0.00025359678
