feature,importance
w300_n_observations,0.083983704
hour_sin,0.07061129
w300_trade_count,0.040957764
w900_n_observations,0.029099617
w300_avg_tick_interval,0.028732387
w300_price_range,0.01921272
w900_price_min,0.019208627
w900_ob_ask_depth_L1_mean,0.018927768
w30_return_mean,0.017737148
w60_price_trend,0.01671247
w900_return_kurt,0.016707385
w30_spread_std,0.016325561
day_of_week,0.016072726
w900_avg_trade_size,0.015986733
w900_price_range,0.01591358
w300_ob_microprice_std,0.015525986
w900_spread_mean,0.015473738
w900_tick_rate,0.015100179
w900_price_mean,0.01382202
w60_price_max,0.01325597
w300_avg_trade_size,0.013120454
w300_return_std,0.012949657
w900_ob_bid_depth_L1_mean,0.012877089
w900_avg_tick_interval,0.01264608
w300_tick_rate,0.012145369
w300_ob_bid_depth_L1_mean,0.011127104
w300_ob_ask_depth_L1_mean,0.011020618
w900_price_max,0.010921207
hour_cos,0.010672436
w900_volatility_lag1,0.010553889
w300_return_skew,0.010135222
w60_avg_trade_size,0.010076854
w900_tick_interval_std,0.009791627
w300_return_kurt,0.009513499
w300_tick_interval_std,0.008865151
w60_avg_tick_interval,0.008722026
w900_trade_volume,0.0086336555
w300_price_max,0.0085013965
w900_ob_microprice_std,0.008240236
w900_spread_std,0.00823484
w60_spread_std,0.007919995
w60_tick_rate,0.007373447
w60_spread_mean,0.00723229
w900_return_skew,0.0071292906
w300_spread_std,0.007093556
w30_ob_ask_depth_L1_mean,0.0069135474
w30_trade_volume,0.0066984
w60_return_std,0.006575147
w60_return_skew,0.0064643486
w300_trade_imbalance,0.0063872454
w300_price_mean,0.006383913
w900_return_std,0.0061854464
w60_volatility_lag1,0.006127247
w30_price_momentum,0.0061126673
w300_price_trend,0.006055602
w60_price_min,0.005962479
w60_return_kurt,0.0058053015
w900_ob_microprice_mean,0.005647417
w60_trade_imbalance,0.0055145575
w300_price_min,0.0055126627
w300_spread_mean,0.005476323
w60_ob_microprice_std,0.005393595
w30_price_min,0.0053350483
w300_volatility_lag1,0.0052825757
w900_price_trend,0.0052043702
w900_price_std,0.0051111276
w30_avg_tick_interval,0.005019815
w60_tick_interval_std,0.0049563865
w60_ob_depth_imbalance_L1,0.004938963
w30_price_range,0.0049060215
w300_ob_microprice_mean,0.0047647064
w60_price_std,0.0046298704
w300_price_momentum,0.0046016946
w60_trade_count,0.0045989347
w900_price_momentum,0.004580601
w60_price_momentum,0.004489868
w60_ob_ask_depth_L1_mean,0.0044331397
w900_ob_depth_imbalance_L1,0.0042574788
w60_price_range,0.0042512314
w900_trade_imbalance,0.004220256
w300_ob_depth_imbalance_L1,0.004187436
w30_tick_interval_std,0.003671273
w60_price_mean,0.0036582397
w60_return_mean,0.0036371348
w30_price_trend,0.00358154
w300_trade_volume,0.0034872652
w300_price_std,0.0034146572
w900_trade_count,0.0034096544
w60_trade_volume,0.0033499317
w30_price_std,0.0027340301
w30_return_skew,0.0026244519
w30_ob_microprice_std,0.0025304446
w30_trade_imbalance,0.002165181
w300_return_mean,0.002063798
w60_ob_bid_depth_L1_mean,0.0020072018
w60_ob_microprice_mean,0.0018009312
w900_return_mean,0.0017047653
w30_tick_rate,0.001673534
w30_return_std,0.0016578148
w30_volatility_lag1,0.0016538163
w30_trade_count,0.0015093798
w30_price_mean,0.0014903034
w30_price_max,0.0014847697
w30_ob_depth_imbalance_L1,0.0013744065
w30_return_kurt,0.0012617486
w30_n_observations,0.001109639
w30_ob_bid_depth_L1_mean,0.0007801537
w30_avg_trade_size,0.0007565629
w30_spread_mean,0.00063955813
w30_ob_microprice_mean,0.0005636934
w60_n_observations,0.00035434915
