feature,importance
hour_sin,0.023478897
w30_return_mean,0.023448497
w900_ob_ask_depth_L1_mean,0.021638388
w900_tick_rate,0.021470705
w900_return_std,0.02062189
w900_price_range,0.019859672
w60_price_trend,0.019763637
w300_spread_std,0.019193485
w900_volatility_lag1,0.01767381
w900_ob_microprice_std,0.017545015
w300_tick_interval_std,0.0174843
w300_n_observations,0.01738622
w300_avg_tick_interval,0.017274994
w60_spread_std,0.016340263
w300_price_mean,0.016317619
w300_return_std,0.015555977
w900_ob_depth_imbalance_L1,0.015200631
w900_spread_std,0.014598367
w900_ob_bid_depth_L1_mean,0.014589185
w900_price_std,0.014198215
w900_trade_count,0.013902651
w300_price_max,0.01354629
w30_price_momentum,0.013518128
w300_return_skew,0.013145914
w30_price_max,0.0129963
w300_ob_bid_depth_L1_mean,0.01251406
w60_price_range,0.012151376
w60_trade_volume,0.01175774
w300_avg_trade_size,0.011342571
w60_return_mean,0.011081082
w300_tick_rate,0.011079334
w900_price_max,0.011012526
w60_price_mean,0.010949893
w300_ob_microprice_std,0.010872872
w300_price_trend,0.010847536
w60_volatility_lag1,0.010768248
w300_price_momentum,0.010356318
w300_spread_mean,0.010197573
hour_cos,0.010183634
w900_trade_volume,0.010132898
w900_tick_interval_std,0.009861517
w30_volatility_lag1,0.0095584635
w60_tick_interval_std,0.009363883
w300_trade_volume,0.009361775
w60_price_max,0.00919725
w900_price_min,0.009101852
w300_ob_ask_depth_L1_mean,0.00873045
w900_avg_tick_interval,0.008714186
w900_price_trend,0.008691787
w300_price_min,0.008050871
w900_avg_trade_size,0.007949411
w30_n_observations,0.0078011714
w900_trade_imbalance,0.0076718554
w60_price_momentum,0.0075158854
w60_avg_trade_size,0.007419802
w60_return_kurt,0.0073220492
w300_trade_count,0.0072984714
w900_ob_microprice_mean,0.007244447
w60_price_std,0.007201662
w300_volatility_lag1,0.006950864
w900_return_kurt,0.0069147195
w900_price_momentum,0.0068268985
w900_price_mean,0.0067681987
w60_ob_microprice_std,0.0067066145
w900_spread_mean,0.0066912035
w60_return_std,0.006608046
w30_price_range,0.006591509
w60_tick_rate,0.006489698
w300_ob_depth_imbalance_L1,0.0063963295
w900_return_skew,0.0063706646
w60_price_min,0.0063491273
w30_price_trend,0.0063184686
w300_price_range,0.006208803
w300_return_kurt,0.006200252
w300_ob_microprice_mean,0.006041427
w60_return_skew,0.0059088855
w60_avg_tick_interval,0.0057949377
w30_spread_std,0.0057943533
w300_trade_imbalance,0.0056687295
w300_price_std,0.005547047
w60_spread_mean,0.005483312
w900_return_mean,0.0054125227
w60_ob_depth_imbalance_L1,0.0051914426
w30_ob_bid_depth_L1_mean,0.0051652556
w30_tick_rate,0.0050431397
w60_ob_ask_depth_L1_mean,0.0048656845
w30_ob_microprice_std,0.004537931
w300_return_mean,0.00440584
w60_ob_bid_depth_L1_mean,0.0042215097
w30_tick_interval_std,0.004196754
w30_ob_microprice_mean,0.004189675
w60_trade_imbalance,0.004089555
w30_price_min,0.003944
w60_ob_microprice_mean,0.0036664002
day_of_week,0.0036149782
w60_trade_count,0.0035273898
w60_n_observations,0.0034360092
w30_return_skew,0.0033813938
w900_n_observations,0.003351971
w30_trade_count,0.0031951522
w30_return_kurt,0.0030813904
w30_avg_tick_interval,0.0030373319
w30_ob_depth_imbalance_L1,0.0029127898
w30_trade_volume,0.002811951
w30_avg_trade_size,0.0027448796
w30_price_mean,0.002645093
w30_price_std,0.002318715
w30_spread_mean,0.0021034786
w30_return_std,0.002092499
w30_ob_ask_depth_L1_mean,0.0020821826
w30_trade_imbalance,0.0020495858
