feature,importance
w60_price_trend,127
w60_price_std,96
w300_price_trend,93
w900_ob_depth_imbalance_L1,92
w300_return_skew,84
w60_ob_depth_imbalance_L1,84
w60_return_kurt,83
w900_trade_imbalance,83
w60_return_skew,82
w60_spread_std,80
w300_trade_imbalance,79
w900_return_kurt,75
w30_price_trend,75
w300_ob_depth_imbalance_L1,72
w900_return_skew,70
w60_trade_imbalance,69
w900_price_trend,66
w900_price_range,66
w60_ob_microprice_std,66
w300_spread_std,64
w900_price_std,63
w30_return_mean,62
w900_price_momentum,61
w60_price_momentum,61
w30_ob_ask_depth_L1_mean,60
w60_avg_tick_interval,59
w300_return_kurt,59
w30_spread_std,58
w300_ob_ask_depth_L1_mean,57
w60_spread_mean,57
w900_avg_trade_size,56
w30_ob_microprice_std,56
w300_avg_trade_size,56
w900_ob_microprice_std,55
w60_trade_volume,55
w900_volatility_lag1,54
w300_tick_interval_std,53
w60_return_std,53
w900_ob_ask_depth_L1_mean,53
w30_return_skew,52
w30_price_momentum,52
w300_price_std,51
w300_price_momentum,51
w300_ob_microprice_std,51
w60_volatility_lag1,50
w900_avg_tick_interval,50
w60_trade_count,49
w30_return_kurt,49
w60_avg_trade_size,48
w300_avg_tick_interval,48
w300_tick_rate,48
w300_spread_mean,47
w60_price_max,47
w900_return_std,46
w900_spread_std,46
hour_sin,45
w300_trade_volume,44
w30_price_mean,44
w900_spread_mean,43
w300_ob_bid_depth_L1_mean,43
w60_price_range,42
w900_trade_volume,42
w60_ob_ask_depth_L1_mean,42
w60_tick_interval_std,40
w30_ob_depth_imbalance_L1,38
w60_tick_rate,38
w300_trade_count,37
w30_trade_imbalance,37
w300_price_range,37
w30_tick_interval_std,37
w300_volatility_lag1,37
w30_price_min,36
w30_ob_bid_depth_L1_mean,36
w300_return_std,35
w30_price_std,34
w30_trade_count,34
w30_trade_volume,34
w300_return_mean,34
w900_return_mean,34
w900_tick_interval_std,33
w900_ob_bid_depth_L1_mean,33
w900_trade_count,33
w30_return_std,33
w30_tick_rate,33
w60_ob_bid_depth_L1_mean,33
w30_price_max,31
w900_tick_rate,28
w30_avg_trade_size,26
w30_spread_mean,25
w300_price_max,25
w900_price_max,24
w30_avg_tick_interval,24
w900_price_min,24
w300_price_mean,23
w30_volatility_lag1,22
w900_price_mean,22
w30_price_range,21
w60_return_mean,19
w60_price_mean,16
w60_ob_microprice_mean,16
w300_price_min,16
w30_ob_microprice_mean,14
w60_price_min,13
w900_ob_microprice_mean,12
hour_cos,11
w300_ob_microprice_mean,9
w300_n_observations,8
w60_n_observations,6
day_of_week,6
w30_n_observations,5
w900_n_observations,4
