feature,importance
w900_price_trend,134
w900_price_std,119
w60_price_trend,116
w60_price_std,110
w300_price_trend,105
w300_ob_depth_imbalance_L1,96
w60_price_range,96
w300_spread_std,92
w60_trade_imbalance,86
w300_tick_interval_std,82
w60_ob_depth_imbalance_L1,81
w60_ob_microprice_std,81
w30_price_trend,79
w60_avg_trade_size,77
w300_price_std,77
w60_trade_volume,76
w300_avg_trade_size,76
w900_spread_mean,72
w900_ob_ask_depth_L1_mean,71
w900_trade_imbalance,71
w300_ob_bid_depth_L1_mean,70
w900_price_range,70
w300_ob_microprice_std,69
w900_trade_volume,69
w900_price_momentum,69
w60_spread_std,68
w60_ob_ask_depth_L1_mean,66
w900_avg_trade_size,66
w300_avg_tick_interval,66
w30_ob_depth_imbalance_L1,65
w300_spread_mean,64
w900_spread_std,61
w300_ob_ask_depth_L1_mean,60
w900_trade_count,59
w300_trade_imbalance,58
w60_trade_count,58
w30_price_mean,58
w30_price_std,57
w900_avg_tick_interval,56
w900_ob_depth_imbalance_L1,56
w900_tick_interval_std,56
w60_tick_interval_std,55
w300_price_momentum,54
w60_spread_mean,53
w60_avg_tick_interval,52
w900_ob_microprice_std,52
w900_ob_bid_depth_L1_mean,51
w30_spread_std,51
w60_return_std,50
w30_price_momentum,50
w30_ob_ask_depth_L1_mean,49
w300_price_mean,49
w30_ob_microprice_std,48
w60_price_max,47
w30_tick_interval_std,46
w900_return_std,44
w300_trade_count,44
w30_return_mean,43
w30_trade_volume,42
w60_ob_bid_depth_L1_mean,41
w30_trade_imbalance,41
hour_sin,40
w60_price_momentum,40
w30_ob_bid_depth_L1_mean,40
w300_trade_volume,40
w300_price_range,39
w300_return_std,38
w60_volatility_lag1,38
w60_price_mean,37
w900_tick_rate,35
w300_volatility_lag1,34
w300_return_mean,34
w30_trade_count,34
w60_tick_rate,34
w30_return_std,33
w30_price_range,32
w900_ob_microprice_mean,32
w300_tick_rate,31
w30_avg_tick_interval,31
w30_avg_trade_size,31
w30_price_max,29
w60_price_min,29
w60_return_mean,28
w300_price_max,26
w30_tick_rate,24
w900_price_mean,24
w900_volatility_lag1,24
w30_spread_mean,23
w900_price_max,22
w300_price_min,21
hour_cos,21
w900_return_mean,20
w30_price_min,20
w30_volatility_lag1,19
w30_ob_microprice_mean,17
w60_ob_microprice_mean,13
w300_ob_microprice_mean,13
w900_n_observations,13
w900_price_min,11
w300_n_observations,9
w30_n_observations,9
w60_n_observations,6
day_of_week,5
w30_return_skew,0
w900_return_kurt,0
w900_return_skew,0
w30_return_kurt,0
w300_return_kurt,0
w300_return_skew,0
w60_return_skew,0
w60_return_kurt,0
