feature,importance
hour_sin,0.030331602
w900_price_range,0.024154086
w30_return_mean,0.022882964
hour_cos,0.0221905
w900_ob_microprice_mean,0.022142835
w300_n_observations,0.020972293
w900_volatility_lag1,0.018605614
w900_price_max,0.018029971
w300_tick_interval_std,0.017950261
w60_price_trend,0.01727276
w900_tick_interval_std,0.016927045
w300_price_max,0.016264703
w900_price_min,0.015092328
w900_price_std,0.014949742
w60_return_mean,0.014894938
w900_ob_ask_depth_L1_mean,0.014877665
day_of_week,0.014565281
w60_price_range,0.014198424
w300_trade_count,0.013643476
w900_tick_rate,0.013428207
w900_price_mean,0.013416192
w900_avg_tick_interval,0.012938108
w300_tick_rate,0.012911102
w30_price_momentum,0.012667037
w60_price_std,0.012616215
w30_spread_std,0.012499915
w300_trade_volume,0.012398839
w60_trade_volume,0.0116784265
w900_spread_std,0.011505798
w900_trade_volume,0.011438116
w300_price_mean,0.011302191
w900_spread_mean,0.011281094
w300_volatility_lag1,0.011169148
w300_return_std,0.0108758975
w900_trade_count,0.010625177
w60_spread_std,0.0103165675
w300_spread_std,0.010264103
w60_ob_microprice_mean,0.010017962
w300_ob_depth_imbalance_L1,0.009900165
w900_ob_depth_imbalance_L1,0.009873974
w300_ob_microprice_std,0.009789319
w900_return_std,0.009728132
w300_spread_mean,0.009614962
w300_price_std,0.009393989
w60_price_momentum,0.009169983
w60_price_mean,0.00915368
w300_price_range,0.009125544
w900_ob_microprice_std,0.00912052
w60_price_max,0.0090244785
w300_avg_tick_interval,0.009014701
w60_ob_ask_depth_L1_mean,0.008998266
w900_trade_imbalance,0.0088824015
w30_n_observations,0.008751832
w60_avg_trade_size,0.008657956
w300_price_momentum,0.008597224
w900_avg_trade_size,0.008492776
w300_ob_ask_depth_L1_mean,0.008477692
w300_avg_trade_size,0.008301105
w900_price_trend,0.008290016
w60_price_min,0.007954533
w60_ob_microprice_std,0.007945029
w900_ob_bid_depth_L1_mean,0.00792629
w300_price_min,0.007804243
w300_ob_bid_depth_L1_mean,0.0077180937
w30_trade_count,0.007616447
w60_spread_mean,0.0071231388
w60_return_std,0.006861276
w300_price_trend,0.006829574
w900_return_mean,0.0065356656
w60_avg_tick_interval,0.0064671
w300_ob_microprice_mean,0.0064055836
w60_volatility_lag1,0.0063636117
w300_return_mean,0.006287507
w300_trade_imbalance,0.0062589617
w30_price_max,0.006080846
w60_ob_depth_imbalance_L1,0.005961483
w900_price_momentum,0.005946272
w60_trade_imbalance,0.0058675325
w60_tick_interval_std,0.0055526956
w30_ob_microprice_std,0.005473592
w900_n_observations,0.005426429
w30_ob_bid_depth_L1_mean,0.005105774
w30_avg_tick_interval,0.005092751
w60_ob_bid_depth_L1_mean,0.004925526
w30_tick_rate,0.0049211388
w30_volatility_lag1,0.004818516
w30_ob_microprice_mean,0.0045521245
w30_tick_interval_std,0.0043577696
w30_ob_depth_imbalance_L1,0.0043127863
w30_price_trend,0.0042458633
w60_trade_count,0.004245045
w60_n_observations,0.0041897325
w30_price_min,0.004084863
w30_trade_volume,0.0039017384
w30_spread_mean,0.0038594878
w60_tick_rate,0.0038125545
w30_return_std,0.0037303437
w30_price_std,0.0036878334
w30_avg_trade_size,0.0036062542
w30_price_range,0.0034720476
w30_price_mean,0.0033618591
w30_trade_imbalance,0.0029672277
w30_ob_ask_depth_L1_mean,0.0026875124
w30_return_skew,0.0
w30_return_kurt,0.0
w300_return_kurt,0.0
w900_return_skew,0.0
w60_return_kurt,0.0
w900_return_kurt,0.0
w60_return_skew,0.0
w300_return_skew,0.0
