feature,importance
w300_return_skew,135
w60_price_trend,116
w900_price_std,101
w900_price_trend,92
w300_price_trend,88
w300_ob_depth_imbalance_L1,88
w60_price_std,83
w900_ob_ask_depth_L1_mean,80
w60_ob_microprice_std,80
w300_spread_std,78
w300_trade_imbalance,77
w60_trade_imbalance,77
w900_price_range,77
w60_trade_volume,76
w60_spread_std,73
w900_spread_std,73
w900_ob_depth_imbalance_L1,73
w900_trade_imbalance,73
w300_price_std,72
w60_price_range,72
w300_return_kurt,72
w60_return_skew,72
w30_price_trend,72
w300_ob_bid_depth_L1_mean,71
w60_return_kurt,71
w900_return_kurt,70
w900_trade_volume,70
w300_tick_interval_std,66
w60_avg_trade_size,64
w300_ob_microprice_std,61
w60_price_momentum,60
w900_price_momentum,59
w30_ob_depth_imbalance_L1,59
w60_spread_mean,59
w60_ob_ask_depth_L1_mean,59
w900_tick_interval_std,57
w60_avg_tick_interval,56
w900_avg_tick_interval,55
w30_price_std,55
w30_price_mean,55
w30_ob_microprice_std,55
w300_avg_trade_size,54
w60_tick_interval_std,54
w900_ob_microprice_std,54
w60_ob_depth_imbalance_L1,53
w300_avg_tick_interval,52
w300_ob_ask_depth_L1_mean,51
w900_spread_mean,51
w900_tick_rate,50
w900_return_skew,49
w900_avg_trade_size,47
w30_return_skew,45
w300_price_range,45
w300_price_momentum,44
w900_ob_bid_depth_L1_mean,43
w300_spread_mean,43
w60_tick_rate,42
w30_trade_imbalance,42
w60_return_std,42
w300_trade_count,42
w30_price_momentum,41
w30_trade_count,40
w30_return_kurt,40
w30_trade_volume,39
w300_return_std,39
w60_price_min,39
w60_ob_bid_depth_L1_mean,39
w300_ob_microprice_mean,38
w300_trade_volume,38
w300_price_mean,36
w60_price_mean,36
w60_volatility_lag1,35
w900_trade_count,34
w30_spread_std,34
w30_tick_interval_std,34
w30_price_max,34
w300_return_mean,33
w30_ob_bid_depth_L1_mean,32
w300_volatility_lag1,31
w30_price_range,31
w30_avg_trade_size,30
w30_return_mean,30
w30_ob_ask_depth_L1_mean,30
w900_volatility_lag1,29
w60_trade_count,29
w30_price_min,28
w60_return_mean,28
w300_tick_rate,28
w900_ob_microprice_mean,28
w30_ob_microprice_mean,27
w300_price_min,27
w30_avg_tick_interval,25
w60_price_max,25
w900_return_mean,24
w30_volatility_lag1,24
hour_sin,24
w30_tick_rate,23
w300_price_max,21
w30_return_std,21
w900_price_max,21
w900_price_mean,20
w900_return_std,19
w30_spread_mean,19
w900_price_min,17
hour_cos,15
w60_ob_microprice_mean,12
day_of_week,9
w30_n_observations,7
w900_n_observations,5
w60_n_observations,5
w300_n_observations,2
