feature,importance
w300_price_trend,112
w300_return_skew,102
w60_price_trend,98
w60_price_std,98
w300_ob_depth_imbalance_L1,91
w900_price_std,90
w300_price_std,87
w900_return_kurt,87
w60_price_range,82
w900_price_trend,81
w60_ob_depth_imbalance_L1,81
w300_ob_bid_depth_L1_mean,79
w300_trade_imbalance,78
w60_trade_imbalance,76
w300_spread_std,76
w900_trade_imbalance,71
w900_return_skew,68
w60_price_max,67
w900_ob_depth_imbalance_L1,67
w300_ob_ask_depth_L1_mean,65
w60_return_kurt,65
w900_trade_volume,63
w900_avg_trade_size,63
w30_price_trend,63
w60_trade_volume,62
w900_avg_tick_interval,61
w60_avg_tick_interval,60
w900_ob_ask_depth_L1_mean,60
w60_price_momentum,58
w60_spread_mean,58
w900_spread_mean,56
w900_spread_std,56
w30_price_momentum,56
w300_avg_trade_size,54
w900_price_range,54
w300_return_kurt,54
w30_price_mean,54
w60_return_skew,54
w900_price_momentum,53
w300_tick_interval_std,52
w900_trade_count,52
w300_tick_rate,52
w60_ob_microprice_std,50
w300_price_momentum,49
w30_tick_interval_std,48
w30_ob_microprice_std,48
w30_return_mean,48
w30_price_std,48
w60_spread_std,48
w60_tick_interval_std,48
w300_trade_volume,47
w300_spread_mean,45
w900_ob_bid_depth_L1_mean,45
w300_ob_microprice_std,45
w900_tick_interval_std,45
w60_ob_ask_depth_L1_mean,45
w900_volatility_lag1,44
w30_ob_ask_depth_L1_mean,43
w30_price_range,43
w30_spread_std,42
w300_avg_tick_interval,42
w30_return_skew,42
w60_ob_bid_depth_L1_mean,40
w900_tick_rate,40
w900_ob_microprice_std,40
w300_price_mean,39
w30_ob_depth_imbalance_L1,38
w60_return_std,38
w300_return_std,37
w60_avg_trade_size,37
w30_return_kurt,36
hour_sin,34
w900_return_mean,33
w900_price_mean,33
w30_trade_imbalance,33
w300_trade_count,33
w60_price_min,32
w30_tick_rate,30
w900_return_std,29
w30_avg_trade_size,28
w30_price_min,28
w60_volatility_lag1,27
w60_trade_count,27
w30_ob_microprice_mean,25
w300_ob_microprice_mean,25
w300_return_mean,25
w300_volatility_lag1,24
w60_return_mean,23
w30_ob_bid_depth_L1_mean,23
w30_return_std,22
w30_spread_mean,22
w300_price_range,21
w60_ob_microprice_mean,20
w30_trade_count,20
w900_price_min,20
w60_price_mean,19
w900_price_max,18
w30_trade_volume,17
w300_price_min,17
w60_tick_rate,16
w30_price_max,16
w900_ob_microprice_mean,15
w30_avg_tick_interval,13
w30_volatility_lag1,13
w300_price_max,13
hour_cos,11
w300_n_observations,9
w900_n_observations,6
w60_n_observations,4
day_of_week,4
w30_n_observations,2
