feature,importance
w60_price_trend,93
w60_trade_imbalance,69
w900_price_std,67
w300_ob_depth_imbalance_L1,66
w30_price_std,64
w30_spread_std,61
w60_return_skew,59
w30_trade_imbalance,59
w60_return_kurt,57
w900_price_mean,55
w60_price_std,54
w60_avg_tick_interval,54
w60_ob_bid_depth_L1_mean,52
w900_price_trend,51
w900_ob_microprice_std,50
w300_trade_volume,50
w30_avg_tick_interval,50
w30_return_kurt,49
w900_avg_tick_interval,46
w60_spread_mean,44
w60_ob_microprice_std,42
w300_spread_std,41
w30_price_trend,41
w30_trade_volume,40
w300_trade_imbalance,40
w60_trade_volume,40
w60_trade_count,40
w300_price_std,40
w300_ob_microprice_std,39
w900_trade_imbalance,38
w30_ob_depth_imbalance_L1,37
w900_return_skew,37
w60_avg_trade_size,36
w60_price_momentum,36
w30_price_mean,35
w30_price_momentum,35
w60_price_range,35
w30_ob_ask_depth_L1_mean,34
w60_tick_interval_std,34
w30_return_skew,33
w30_volatility_lag1,33
w30_ob_bid_depth_L1_mean,33
w60_return_mean,32
w300_return_kurt,31
w60_ob_depth_imbalance_L1,31
w60_spread_std,30
w900_return_kurt,30
w300_avg_trade_size,30
w30_avg_trade_size,29
w30_trade_count,29
w30_return_mean,28
w900_spread_std,27
w300_price_trend,27
w30_price_range,26
w300_spread_mean,26
w60_ob_ask_depth_L1_mean,26
w60_price_max,26
w300_tick_interval_std,25
w900_avg_trade_size,25
w300_avg_tick_interval,24
w60_price_mean,24
w30_tick_interval_std,24
w900_tick_interval_std,23
w30_spread_mean,23
w900_ob_microprice_mean,23
w300_ob_bid_depth_L1_mean,22
w300_return_mean,22
w900_tick_rate,21
w300_tick_rate,21
w300_ob_microprice_mean,21
w300_price_mean,21
w900_price_max,20
w900_trade_volume,20
w30_price_min,20
w900_price_momentum,20
w60_return_std,20
w30_tick_rate,20
w300_trade_count,19
w30_return_std,19
w60_volatility_lag1,19
w60_ob_microprice_mean,18
w30_price_max,17
w900_trade_count,17
w900_ob_bid_depth_L1_mean,16
w900_ob_depth_imbalance_L1,16
w300_price_momentum,16
w30_ob_microprice_std,13
w900_return_mean,12
w300_ob_ask_depth_L1_mean,12
w900_price_range,11
w900_spread_mean,10
w300_return_skew,9
w60_tick_rate,8
w30_ob_microprice_mean,8
w300_volatility_lag1,8
w900_ob_ask_depth_L1_mean,7
w900_volatility_lag1,6
w30_n_observations,6
w300_return_std,6
w900_n_observations,5
w60_price_min,5
w900_return_std,4
w300_price_range,4
hour_cos,3
w300_n_observations,1
w60_n_observations,1
w300_price_max,1
w900_price_min,1
w300_price_min,0
hour_sin,0
day_of_week,0
