feature,importance
w900_price_max,0.027204994
w30_return_mean,0.027047472
w900_price_range,0.026691275
hour_sin,0.023499953
w60_price_trend,0.02120496
w300_n_observations,0.021048756
w900_n_observations,0.020606503
w300_spread_std,0.019056665
w900_trade_count,0.018970551
w300_tick_rate,0.017623674
w900_ob_bid_depth_L1_mean,0.017545441
w60_price_range,0.017117055
w900_ob_ask_depth_L1_mean,0.016746946
w300_price_mean,0.016591225
hour_cos,0.016563894
w900_price_std,0.015540099
w900_return_std,0.015239717
w300_tick_interval_std,0.01403909
w900_trade_volume,0.01364039
w900_tick_rate,0.013388612
w900_volatility_lag1,0.012978117
w300_price_max,0.012973892
w30_price_momentum,0.012222286
w300_return_std,0.012185768
w60_trade_volume,0.0121279145
w900_return_kurt,0.011816428
w900_tick_interval_std,0.011804029
w300_return_skew,0.01163922
w60_spread_std,0.011609397
w300_spread_mean,0.011382303
w900_avg_tick_interval,0.011327506
w60_price_std,0.0104835145
w60_price_min,0.010468217
w60_return_std,0.01032269
w900_spread_std,0.0102931475
w900_ob_microprice_mean,0.010174974
w900_ob_depth_imbalance_L1,0.009945506
w60_price_max,0.00975453
w300_ob_depth_imbalance_L1,0.009738313
w900_price_momentum,0.009117558
w900_avg_trade_size,0.008965079
w60_avg_trade_size,0.008894494
w900_ob_microprice_std,0.008877831
w300_ob_microprice_std,0.008419314
w300_ob_ask_depth_L1_mean,0.008411712
w300_price_range,0.008110912
w60_return_kurt,0.007966333
w300_volatility_lag1,0.007910502
w30_spread_std,0.007709406
w300_price_min,0.0076813977
w300_trade_volume,0.0076024737
w300_ob_microprice_mean,0.0075544743
w900_spread_mean,0.007548472
w30_volatility_lag1,0.0075306925
w900_price_trend,0.0074524614
w300_price_trend,0.007439562
w900_trade_imbalance,0.0073494297
w300_return_kurt,0.007327601
w60_ob_ask_depth_L1_mean,0.0071929973
w300_avg_trade_size,0.007157683
w300_ob_bid_depth_L1_mean,0.0071407715
w60_tick_rate,0.007132102
w900_return_skew,0.00712468
w60_return_skew,0.0068617724
w60_ob_microprice_std,0.0067249564
w900_price_min,0.006648022
w300_avg_tick_interval,0.0065859454
w300_price_momentum,0.0065828296
w60_avg_tick_interval,0.0065820375
w60_volatility_lag1,0.006495982
w60_trade_count,0.006472032
w300_price_std,0.0063190204
w60_price_mean,0.0062800115
w300_trade_imbalance,0.006091419
w60_ob_bid_depth_L1_mean,0.00580847
w60_tick_interval_std,0.005719169
w300_trade_count,0.0056468616
w900_price_mean,0.005579685
w30_ob_microprice_mean,0.0055252346
w30_tick_interval_std,0.0052746874
w60_spread_mean,0.0052384622
w30_price_max,0.0051761894
w30_price_range,0.004982251
w60_ob_depth_imbalance_L1,0.004972917
w30_tick_rate,0.004799211
w60_return_mean,0.004482814
w300_return_mean,0.004410418
w30_return_skew,0.004391028
w60_trade_imbalance,0.004362826
w30_avg_tick_interval,0.0042305235
w60_ob_microprice_mean,0.004099596
w900_return_mean,0.0040411367
w60_price_momentum,0.0040299175
w60_n_observations,0.003916142
w30_price_mean,0.0037831452
w30_price_trend,0.003745419
w30_ob_bid_depth_L1_mean,0.0035468405
w30_ob_depth_imbalance_L1,0.0035176715
w30_trade_count,0.0034008436
w30_spread_mean,0.0032810974
w30_ob_ask_depth_L1_mean,0.003086477
w30_avg_trade_size,0.0030796404
w30_return_std,0.0030281867
w30_ob_microprice_std,0.0030086485
w30_return_kurt,0.0030038734
w30_price_min,0.0028769416
w30_price_std,0.0028158983
w30_trade_volume,0.0027685482
w30_trade_imbalance,0.002299132
day_of_week,0.0022657916
w30_n_observations,0.0019273862
