feature,importance
hour_cos,0.08532169
hour_sin,0.07727913
w900_spread_mean,0.03519242
w900_avg_tick_interval,0.028340299
w900_ob_ask_depth_L1_mean,0.025766687
w60_price_std,0.021599213
w300_return_skew,0.02156031
w60_price_momentum,0.020871246
w60_price_range,0.020664895
w30_price_momentum,0.019477455
w300_spread_std,0.019389208
w900_price_range,0.01914961
w900_ob_bid_depth_L1_mean,0.017885666
w60_price_mean,0.016079547
w300_price_mean,0.015595764
w900_tick_interval_std,0.013943947
w900_ob_microprice_mean,0.0137198325
w300_spread_mean,0.013432401
w900_ob_microprice_std,0.013407295
w900_price_trend,0.013240936
w300_price_max,0.012701045
w900_price_std,0.012576267
w900_price_max,0.0121520525
w900_ob_depth_imbalance_L1,0.011937757
w900_price_min,0.011768483
w300_ob_bid_depth_L1_mean,0.010936273
w300_tick_interval_std,0.0107813245
w900_trade_volume,0.010200774
w300_ob_microprice_std,0.00991431
w30_volatility_lag1,0.009782892
w900_return_skew,0.009768149
w300_trade_count,0.00958669
w300_tick_rate,0.009541937
w30_price_max,0.009499328
w300_ob_microprice_mean,0.009421511
w900_tick_rate,0.00941733
w900_avg_trade_size,0.008878367
w60_price_min,0.008852785
w900_price_mean,0.008849143
w300_trade_volume,0.008718531
w300_avg_tick_interval,0.008501407
w900_return_std,0.008464907
w30_price_range,0.008342448
w900_return_kurt,0.00825535
w60_spread_mean,0.007763668
w300_volatility_lag1,0.0074241357
w300_ob_ask_depth_L1_mean,0.007243316
w300_return_kurt,0.006652482
w900_trade_imbalance,0.006570383
w60_spread_std,0.006543018
w60_avg_tick_interval,0.006490038
w300_price_range,0.0063396706
w900_return_mean,0.0059817764
w900_volatility_lag1,0.0058674207
w60_price_trend,0.005849699
w60_price_max,0.0057528964
w300_trade_imbalance,0.0057456093
w30_price_min,0.0055512744
w900_price_momentum,0.005523288
w60_ob_depth_imbalance_L1,0.0054650605
w60_return_skew,0.005244432
w300_ob_depth_imbalance_L1,0.005242424
w300_return_std,0.0051400955
w900_spread_std,0.004914842
w60_return_kurt,0.004841795
w300_price_std,0.0047557466
w60_ob_bid_depth_L1_mean,0.004736637
w900_trade_count,0.0043076547
w60_return_mean,0.0042239767
w30_return_mean,0.0042060725
w30_price_trend,0.004128635
w300_return_mean,0.004120657
w60_ob_microprice_mean,0.0039527006
w30_trade_imbalance,0.0038206729
w300_price_trend,0.0037183824
w60_tick_rate,0.0036242667
w60_ob_microprice_std,0.0035742715
w60_ob_ask_depth_L1_mean,0.0034356907
w900_n_observations,0.0031744514
w30_tick_rate,0.003123491
w60_return_std,0.0031175076
w60_tick_interval_std,0.0031008415
w60_n_observations,0.002950821
w30_ob_ask_depth_L1_mean,0.0029201931
w30_price_std,0.0029198823
w30_price_mean,0.0028767106
w30_ob_microprice_mean,0.0028164943
w300_avg_trade_size,0.002775868
w30_ob_depth_imbalance_L1,0.002688155
w30_trade_volume,0.0025700843
w60_trade_imbalance,0.0024506294
w60_trade_volume,0.002404792
w30_spread_mean,0.002331642
w60_volatility_lag1,0.0023184984
w30_trade_count,0.0023118963
w60_trade_count,0.0022609315
w30_ob_microprice_std,0.0021452303
w60_avg_trade_size,0.0021261724
w300_price_momentum,0.0020255316
w30_spread_std,0.0019945367
w30_return_skew,0.0019474876
w30_ob_bid_depth_L1_mean,0.0017730957
w30_tick_interval_std,0.001578033
w30_avg_tick_interval,0.0015278966
w300_price_min,0.0012831242
w30_avg_trade_size,0.001230572
w30_return_std,0.0011685836
w300_n_observations,0.0011341231
w30_return_kurt,0.00093189336
w30_n_observations,0.00050156785
day_of_week,0.0
