feature,importance
w300_price_mean,129
w60_price_std,103
w60_price_trend,93
w900_trade_imbalance,93
w900_price_trend,93
w60_trade_volume,87
w60_return_kurt,86
w30_spread_std,84
w30_price_trend,83
w300_return_skew,82
w30_return_skew,82
w900_tick_rate,81
w60_return_skew,80
w60_avg_trade_size,76
w60_price_range,73
w30_spread_mean,72
w60_ob_microprice_std,71
w300_volatility_lag1,71
w900_price_std,69
w60_trade_imbalance,69
w900_ob_microprice_mean,68
w60_tick_interval_std,68
w30_return_mean,67
w300_ob_bid_depth_L1_mean,67
w300_spread_std,66
w30_ob_microprice_std,66
w900_ob_depth_imbalance_L1,66
w300_price_momentum,65
w300_ob_depth_imbalance_L1,65
w300_n_observations,64
w300_price_std,62
w300_ob_ask_depth_L1_mean,61
w60_price_max,60
w60_return_mean,59
w60_volatility_lag1,59
w900_tick_interval_std,58
w900_return_kurt,57
w300_ob_microprice_mean,55
w900_trade_volume,53
w900_price_momentum,53
w60_spread_std,52
w60_ob_ask_depth_L1_mean,50
w900_price_max,49
w30_price_std,47
w900_ob_microprice_std,44
w900_spread_mean,43
w300_trade_volume,42
w900_spread_std,41
w30_price_momentum,40
w900_ob_ask_depth_L1_mean,39
w60_price_momentum,39
w60_return_std,39
w30_volatility_lag1,39
w300_price_range,38
w300_trade_count,38
hour_sin,38
w300_tick_interval_std,37
w60_spread_mean,36
w30_return_std,35
w300_avg_trade_size,35
w900_volatility_lag1,34
w300_spread_mean,31
w900_trade_count,29
w300_return_std,27
w30_price_range,27
w900_avg_tick_interval,24
w900_return_std,22
w900_price_range,20
w900_n_observations,7
hour_cos,6
