feature,importance
w60_return_mean,0.034605034
w30_price_std,0.023294756
w60_price_trend,0.022037994
w900_ob_depth_imbalance_L1,0.021582121
w300_tick_rate,0.01831256
w30_return_mean,0.018306306
w30_price_momentum,0.018061835
w300_trade_count,0.017720418
w900_price_std,0.017298521
w900_return_std,0.017126668
hour_sin,0.017101677
w60_ob_ask_depth_L1_mean,0.015905282
w60_price_momentum,0.015578277
w300_ob_microprice_std,0.014974435
w300_n_observations,0.014873716
w30_trade_volume,0.014728137
w900_price_range,0.014546779
w900_price_trend,0.014524348
w900_price_max,0.01440975
w60_price_max,0.014225787
w300_spread_std,0.014111497
w300_price_std,0.0140890535
hour_cos,0.014023423
w30_spread_std,0.013625053
w300_ob_depth_imbalance_L1,0.013614178
w60_n_observations,0.013611757
w900_n_observations,0.013579604
w300_ob_ask_depth_L1_mean,0.013502161
w300_return_kurt,0.012841876
w300_tick_interval_std,0.012691468
w60_price_range,0.012620086
w300_ob_bid_depth_L1_mean,0.012446714
w60_price_std,0.012414147
w300_price_range,0.0123049095
w900_trade_count,0.012261526
w30_ob_microprice_mean,0.011804114
w900_volatility_lag1,0.011743682
w900_price_mean,0.011739501
w900_ob_microprice_mean,0.011488624
w900_tick_rate,0.011329513
w30_return_skew,0.011294891
w300_price_trend,0.010634736
w30_price_trend,0.0106265955
w900_ob_ask_depth_L1_mean,0.010509275
w30_tick_rate,0.010366447
w30_return_std,0.010167446
w60_trade_imbalance,0.009934956
w900_return_kurt,0.00977813
w60_spread_std,0.009712012
w60_avg_trade_size,0.009711212
w30_volatility_lag1,0.009706062
w60_ob_depth_imbalance_L1,0.009661703
w60_trade_volume,0.009524632
w300_volatility_lag1,0.009501292
w300_price_min,0.009425203
w30_price_range,0.009396093
w300_avg_tick_interval,0.0092082005
w900_tick_interval_std,0.009178665
w30_avg_tick_interval,0.009164701
w60_price_mean,0.009148579
w900_trade_volume,0.009130382
w900_avg_tick_interval,0.00908197
w300_return_skew,0.009010999
w30_ob_bid_depth_L1_mean,0.00875402
w900_spread_std,0.008483966
w300_return_std,0.008293442
w900_trade_imbalance,0.008043276
w900_ob_microprice_std,0.00796193
w300_price_momentum,0.007784911
w300_price_max,0.007619726
w900_price_momentum,0.007405764
w60_avg_tick_interval,0.0073877927
w300_avg_trade_size,0.0070509897
w900_spread_mean,0.0069590546
w30_spread_mean,0.0066710543
w60_spread_mean,0.006613799
w60_return_kurt,0.006526434
w900_avg_trade_size,0.0063372985
w30_avg_trade_size,0.006263199
w60_return_skew,0.0062522762
w900_return_skew,0.0062008137
w60_tick_interval_std,0.0058101728
w60_ob_microprice_std,0.0055663185
w900_return_mean,0.005321986
w300_spread_mean,0.004872858
w300_trade_volume,0.0046575274
w300_ob_microprice_mean,0.0022295169
w300_trade_imbalance,0.0020003773
w900_ob_bid_depth_L1_mean,0.0
w30_price_mean,0.0
w900_price_min,0.0
w30_ob_depth_imbalance_L1,0.0
w30_price_min,0.0
w30_price_max,0.0
w30_return_kurt,0.0
w30_trade_count,0.0
w30_trade_imbalance,0.0
w30_tick_interval_std,0.0
w30_n_observations,0.0
w30_ob_ask_depth_L1_mean,0.0
w30_ob_microprice_std,0.0
w300_return_mean,0.0
w60_price_min,0.0
w60_return_std,0.0
w60_volatility_lag1,0.0
w60_trade_count,0.0
w60_tick_rate,0.0
w60_ob_bid_depth_L1_mean,0.0
w60_ob_microprice_mean,0.0
w300_price_mean,0.0
day_of_week,0.0
