feature,importance
w900_price_trend,122
w300_price_trend,115
w300_return_skew,109
w60_price_std,95
w300_spread_std,94
w300_ob_depth_imbalance_L1,94
w60_trade_volume,92
w60_trade_imbalance,91
w60_price_trend,90
w900_price_std,86
w900_ob_depth_imbalance_L1,84
w900_trade_imbalance,81
w900_return_skew,79
w300_trade_imbalance,77
w900_ob_ask_depth_L1_mean,75
w900_return_kurt,74
w60_price_range,74
w900_avg_tick_interval,72
w900_spread_std,71
w300_return_kurt,71
w900_price_range,70
w60_ob_ask_depth_L1_mean,70
w60_return_kurt,69
w60_avg_trade_size,68
w900_spread_mean,65
w60_ob_microprice_std,65
w900_price_momentum,62
w60_return_skew,62
w300_tick_interval_std,62
w60_spread_std,61
w300_avg_tick_interval,61
w60_avg_tick_interval,58
w30_price_trend,57
w300_trade_volume,56
w60_ob_depth_imbalance_L1,56
w30_ob_microprice_std,55
w300_tick_rate,55
w300_volatility_lag1,54
w900_tick_interval_std,54
w300_ob_ask_depth_L1_mean,54
w900_trade_count,54
w900_ob_bid_depth_L1_mean,53
w60_ob_bid_depth_L1_mean,52
w60_tick_interval_std,52
w300_ob_microprice_std,51
w30_price_mean,50
w300_spread_mean,49
w900_trade_volume,48
w30_ob_depth_imbalance_L1,48
w60_spread_mean,47
w60_return_std,47
w30_spread_std,47
w300_price_momentum,46
w30_price_std,45
w300_price_std,45
w30_spread_mean,44
w300_ob_bid_depth_L1_mean,44
w300_trade_count,44
w30_tick_interval_std,43
w30_ob_ask_depth_L1_mean,43
w60_price_max,43
w30_return_skew,42
hour_sin,41
w300_price_range,41
w900_avg_trade_size,41
w300_avg_trade_size,40
w900_ob_microprice_std,40
w900_tick_rate,40
w900_return_std,39
w30_price_momentum,39
w30_return_kurt,38
w60_volatility_lag1,37
w60_trade_count,37
w60_price_min,36
w30_price_min,34
w30_return_mean,34
w60_price_momentum,34
w30_trade_count,34
w300_return_std,32
w30_ob_bid_depth_L1_mean,32
w900_return_mean,31
w300_return_mean,30
w30_trade_volume,30
w30_trade_imbalance,30
w30_price_range,29
w60_tick_rate,28
w30_volatility_lag1,27
w900_volatility_lag1,27
w30_return_std,27
w30_tick_rate,27
w30_avg_tick_interval,26
w900_ob_microprice_mean,26
w900_price_mean,25
w60_ob_microprice_mean,25
w60_return_mean,24
w900_price_max,23
w30_price_max,23
w300_price_mean,23
w30_avg_trade_size,21
w900_price_min,19
w60_price_mean,19
w300_price_min,18
w30_ob_microprice_mean,18
w300_price_max,18
w900_n_observations,13
hour_cos,13
w300_ob_microprice_mean,11
w300_n_observations,11
day_of_week,9
w60_n_observations,6
w30_n_observations,4
