feature,importance
w900_ob_ask_depth_L1_mean,0.11279389
w900_price_range,0.05913226
w300_spread_std,0.04620848
w900_tick_rate,0.04414602
w60_price_range,0.03248783
w60_ob_depth_imbalance_L1,0.024900943
w300_price_range,0.023164948
w60_spread_std,0.020890972
w60_tick_rate,0.018609338
w300_price_trend,0.018351287
w300_price_momentum,0.017959584
w900_price_min,0.016929545
w300_spread_mean,0.016848946
w900_trade_count,0.016676959
w30_price_min,0.016306734
w60_price_max,0.016206846
w300_price_min,0.01591189
w30_avg_tick_interval,0.015592326
w900_volatility_lag1,0.013999292
w60_ob_bid_depth_L1_mean,0.013893329
w900_spread_std,0.013467678
w900_ob_microprice_mean,0.013410754
w900_avg_tick_interval,0.013164765
w60_spread_mean,0.012882626
w900_avg_trade_size,0.01272003
w900_ob_depth_imbalance_L1,0.012602101
w900_price_std,0.012328372
w300_trade_volume,0.012144721
w30_tick_rate,0.011626191
w300_volatility_lag1,0.010933938
w60_price_momentum,0.010082099
w30_price_max,0.010079701
w30_ob_depth_imbalance_L1,0.009735159
w900_trade_imbalance,0.00961489
w60_volatility_lag1,0.009480903
w900_return_std,0.00939326
w60_price_min,0.00925067
w60_avg_tick_interval,0.008336908
w900_price_mean,0.0082926275
w300_price_std,0.008059828
w60_trade_count,0.007734208
w300_trade_count,0.007728815
w900_trade_volume,0.0075567686
w30_avg_trade_size,0.0074658655
w60_trade_imbalance,0.0073410743
w300_return_std,0.0072701112
w300_trade_imbalance,0.0070630643
w300_avg_trade_size,0.007041318
w900_price_trend,0.0069303755
w900_price_momentum,0.006497043
w60_return_std,0.006458895
w900_spread_mean,0.0062869694
w60_price_trend,0.00624307
w60_avg_trade_size,0.0062255086
w60_return_mean,0.0062253657
w900_ob_bid_depth_L1_mean,0.006122756
w60_price_mean,0.006004661
w30_trade_count,0.0056748926
w900_price_max,0.0055921017
w300_avg_tick_interval,0.00553944
w30_price_range,0.0054582176
w60_price_std,0.0051844846
w30_trade_imbalance,0.004964415
w900_return_mean,0.004947618
hour_sin,0.0047853775
w300_price_mean,0.0045952806
w300_tick_rate,0.004250363
w60_trade_volume,0.004198021
w300_return_mean,0.004057449
w30_price_mean,0.0036144827
w30_trade_volume,0.0035504086
w30_spread_std,0.0032579245
w300_ob_bid_depth_L1_mean,0.0031120877
w30_return_mean,0.002970317
w30_spread_mean,0.0029689719
w30_price_momentum,0.00295122
w30_return_std,0.0029391148
w30_volatility_lag1,0.0029348615
w300_price_max,0.0028036565
w30_price_trend,0.0025075986
w300_ob_microprice_mean,0.002464086
w300_ob_depth_imbalance_L1,0.0024119678
day_of_week,0.0019833485
w30_price_std,0.0015265818
w30_ob_bid_depth_L1_mean,0.0014929058
hour_cos,0.0013736231
w30_ob_microprice_mean,0.0006653289
w30_ob_ask_depth_L1_mean,0.0004093714
w30_return_skew,0.0
w900_n_observations,0.0
w900_tick_interval_std,0.0
w30_return_kurt,0.0
w30_tick_interval_std,0.0
w900_ob_microprice_std,0.0
w300_return_kurt,0.0
w30_n_observations,0.0
w900_return_kurt,0.0
w300_return_skew,0.0
w30_ob_microprice_std,0.0
w60_return_skew,0.0
w60_return_kurt,0.0
w60_tick_interval_std,0.0
w60_n_observations,0.0
w60_ob_ask_depth_L1_mean,0.0
w60_ob_microprice_mean,0.0
w60_ob_microprice_std,0.0
w300_ob_microprice_std,0.0
w300_ob_ask_depth_L1_mean,0.0
w300_n_observations,0.0
w300_tick_interval_std,0.0
w900_return_skew,0.0
