feature,importance
hour_cos,0.16637188
w900_avg_tick_interval,0.036341168
hour_sin,0.031943414
w900_price_range,0.031097712
w900_ob_ask_depth_L1_mean,0.028234398
w900_price_max,0.025448257
w300_spread_std,0.024815615
w300_trade_count,0.023599327
w60_price_range,0.021665987
w300_return_skew,0.020903194
w300_ob_microprice_mean,0.020264907
w900_spread_std,0.019034563
w300_avg_trade_size,0.018949036
w900_spread_mean,0.017051233
w60_price_max,0.015680704
w900_return_std,0.014836099
w60_price_momentum,0.013997395
w300_price_range,0.01371063
w900_avg_trade_size,0.013132225
w300_price_max,0.012917738
w30_price_max,0.012793699
w300_ob_bid_depth_L1_mean,0.012600399
w900_n_observations,0.0115847895
w30_price_momentum,0.011251036
w900_return_kurt,0.011244469
w900_tick_rate,0.011051262
w60_price_std,0.010521348
w900_price_trend,0.010458261
w30_price_range,0.010384921
w900_ob_depth_imbalance_L1,0.010001765
w900_ob_microprice_mean,0.00995398
w300_ob_microprice_std,0.009948136
w900_price_mean,0.009773274
w900_price_std,0.00969436
w900_volatility_lag1,0.009673239
w900_ob_bid_depth_L1_mean,0.009625528
w60_price_mean,0.009453325
w900_trade_volume,0.009245288
w900_return_mean,0.008565153
w300_spread_mean,0.008099743
w300_ob_ask_depth_L1_mean,0.007795473
w900_ob_microprice_std,0.007586724
w900_trade_count,0.0071619675
w300_price_trend,0.0068078963
w300_tick_interval_std,0.006448432
w900_tick_interval_std,0.005954676
w900_return_skew,0.005720925
w900_price_momentum,0.0056922315
w60_trade_volume,0.0055238046
w60_spread_std,0.005492156
w900_trade_imbalance,0.0053385543
w300_avg_tick_interval,0.00531684
w30_volatility_lag1,0.005185753
w300_trade_volume,0.005066668
w300_price_std,0.004981384
w30_return_mean,0.004976884
w300_return_mean,0.004863877
w300_tick_rate,0.004579014
w60_avg_tick_interval,0.0044939895
w300_return_kurt,0.0044499123
w60_price_trend,0.0042054495
w300_price_min,0.004196622
w60_price_min,0.004008085
w300_ob_depth_imbalance_L1,0.004006954
w60_trade_count,0.0038851602
w60_spread_mean,0.0038560543
w30_ob_microprice_std,0.0038248359
w60_tick_interval_std,0.0036894951
w60_return_skew,0.0036435043
w300_trade_imbalance,0.0033937579
w60_return_std,0.003208789
w60_return_kurt,0.003153762
w60_ob_depth_imbalance_L1,0.0031184969
w30_trade_imbalance,0.0030353342
w60_volatility_lag1,0.0028704214
w300_price_mean,0.0028381515
w30_price_min,0.0027139455
w30_ob_ask_depth_L1_mean,0.0027133366
w30_tick_rate,0.0027026387
w60_ob_microprice_std,0.0026106727
w60_avg_trade_size,0.0025046694
w60_ob_microprice_mean,0.0024933892
w30_avg_trade_size,0.0024534543
w60_tick_rate,0.0024446738
w30_ob_microprice_mean,0.0021980572
w30_price_mean,0.0021590926
w30_ob_bid_depth_L1_mean,0.0020698954
w30_price_trend,0.0020141823
w60_trade_imbalance,0.001972666
w30_spread_mean,0.0018298347
w300_price_momentum,0.0016890849
w60_ob_ask_depth_L1_mean,0.0016273095
w60_ob_bid_depth_L1_mean,0.0015770855
w30_spread_std,0.0015689378
w30_ob_depth_imbalance_L1,0.0015132579
w30_price_std,0.0014766487
w300_volatility_lag1,0.0014573414
w300_return_std,0.0013435979
w30_tick_interval_std,0.0013064493
w30_return_std,0.0011133458
w30_return_skew,0.0010231317
w30_avg_tick_interval,0.00089815666
w30_trade_count,0.00085894036
w30_trade_volume,0.00084895326
w30_return_kurt,0.00068880996
w60_return_mean,0.0006519453
w300_n_observations,0.00052882335
w60_n_observations,0.00030923405
w30_n_observations,0.00022695985
w900_price_min,0.00011990732
day_of_week,0.0
