feature,importance
w30_price_trend,0.058946494
w60_price_trend,0.056985598
w60_return_mean,0.05463378
w900_ob_depth_imbalance_L1,0.053185146
w30_return_mean,0.046080887
w60_price_momentum,0.04383772
w30_price_momentum,0.04326141
hour_sin,0.041114934
w300_price_trend,0.03743143
w30_spread_std,0.03589551
w60_spread_std,0.034921166
w60_price_range,0.03482023
w900_price_std,0.03477273
w300_tick_interval_std,0.0336707
w300_price_std,0.031388152
w300_ob_depth_imbalance_L1,0.030545771
w60_price_std,0.029921234
w60_ob_ask_depth_L1_mean,0.02903253
w300_spread_std,0.028455017
w900_ob_ask_depth_L1_mean,0.027548581
w60_trade_imbalance,0.025691133
w900_price_range,0.023612546
w900_n_observations,0.023511847
w30_ob_bid_depth_L1_mean,0.02300426
w300_ob_ask_depth_L1_mean,0.022552833
w30_trade_volume,0.02241002
w300_ob_microprice_std,0.021906786
w300_return_kurt,0.021268938
w900_avg_tick_interval,0.014143836
w900_trade_count,0.0046530413
w300_ob_microprice_mean,0.0037820404
w900_spread_std,0.0036786762
w300_price_max,0.003335071
w300_spread_mean,0.0
hour_cos,0.0
w300_ob_bid_depth_L1_mean,0.0
w300_avg_trade_size,0.0
w300_n_observations,0.0
w300_trade_volume,0.0
w300_tick_rate,0.0
w300_trade_count,0.0
w900_ob_microprice_std,0.0
w300_avg_tick_interval,0.0
w300_trade_imbalance,0.0
w900_price_min,0.0
w900_price_mean,0.0
w900_ob_microprice_mean,0.0
w900_trade_imbalance,0.0
w900_avg_trade_size,0.0
w900_trade_volume,0.0
w900_spread_mean,0.0
w900_volatility_lag1,0.0
w900_return_kurt,0.0
w900_return_skew,0.0
w900_return_std,0.0
w900_return_mean,0.0
w900_tick_rate,0.0
w900_ob_bid_depth_L1_mean,0.0
w900_price_trend,0.0
w900_price_momentum,0.0
w900_price_max,0.0
w900_tick_interval_std,0.0
w300_volatility_lag1,0.0
w30_price_mean,0.0
w300_return_skew,0.0
w30_trade_imbalance,0.0
w60_price_mean,0.0
w30_ob_microprice_std,0.0
w30_ob_microprice_mean,0.0
w30_ob_depth_imbalance_L1,0.0
w30_ob_ask_depth_L1_mean,0.0
w30_n_observations,0.0
w30_tick_rate,0.0
w30_tick_interval_std,0.0
w30_avg_tick_interval,0.0
w30_avg_trade_size,0.0
w60_price_max,0.0
w30_trade_count,0.0
w30_spread_mean,0.0
w30_volatility_lag1,0.0
w30_return_kurt,0.0
w30_return_skew,0.0
w30_return_std,0.0
w30_price_range,0.0
w30_price_max,0.0
w30_price_min,0.0
w60_price_min,0.0
w60_return_std,0.0
w300_return_std,0.0
w60_ob_bid_depth_L1_mean,0.0
w300_return_mean,0.0
w300_price_momentum,0.0
w300_price_range,0.0
w300_price_min,0.0
w30_price_std,0.0
w300_price_mean,0.0
w60_ob_microprice_std,0.0
w60_ob_microprice_mean,0.0
w60_ob_depth_imbalance_L1,0.0
w60_n_observations,0.0
w60_return_skew,0.0
w60_tick_rate,0.0
w60_tick_interval_std,0.0
w60_avg_tick_interval,0.0
w60_avg_trade_size,0.0
w60_trade_volume,0.0
w60_trade_count,0.0
w60_spread_mean,0.0
w60_volatility_lag1,0.0
w60_return_kurt,0.0
day_of_week,0.0
