feature,importance
hour_sin,0.18882506
w900_price_momentum,0.13217166
w900_price_range,0.09664477
w300_spread_std,0.0799114
w300_price_max,0.06732912
w900_trade_volume,0.05386868
w900_price_std,0.031123174
w900_tick_rate,0.025385674
w30_trade_imbalance,0.021173019
w300_price_mean,0.020983169
w60_avg_trade_size,0.017443933
w900_trade_imbalance,0.01718042
w60_ob_depth_imbalance_L1,0.01680162
w300_price_trend,0.016779073
w30_trade_volume,0.01588962
w30_price_max,0.015721036
w300_trade_volume,0.012044571
w60_trade_volume,0.011615831
w60_spread_std,0.010409286
w300_spread_mean,0.009254911
w900_trade_count,0.008142984
w300_return_std,0.007950876
w60_return_std,0.007654177
w60_trade_imbalance,0.0069823926
w900_avg_trade_size,0.0065830494
w900_spread_std,0.0062082997
w300_volatility_lag1,0.0056797606
w60_volatility_lag1,0.0056294613
w60_price_min,0.0051950966
w300_tick_rate,0.004928072
w60_spread_mean,0.0049269577
w300_avg_tick_interval,0.004764918
w60_price_max,0.0040993765
w300_trade_count,0.0036590807
w300_price_min,0.0036291736
w900_price_mean,0.0034169792
w300_price_range,0.0032163593
w30_price_mean,0.0031037908
w60_price_range,0.0026676445
w300_trade_imbalance,0.0023002035
w30_tick_rate,0.0022837974
w60_trade_count,0.002260635
w300_price_momentum,0.0021172182
w300_price_std,0.0019582782
w900_ob_depth_imbalance_L1,0.0017969875
w300_avg_trade_size,0.0016997273
w300_ob_bid_depth_L1_mean,0.0016427996
w30_price_momentum,0.0015860391
w30_volatility_lag1,0.0015527909
w30_price_min,0.0014950266
w30_trade_count,0.0014648909
w30_avg_trade_size,0.0013577035
w900_return_std,0.0013033783
w60_price_trend,0.001225386
w900_avg_tick_interval,0.0011882042
w900_price_trend,0.0011704379
w30_avg_tick_interval,0.0011638752
w30_price_trend,0.0010904531
w30_ob_depth_imbalance_L1,0.0010578933
w60_price_std,0.00096561055
w60_price_momentum,0.0009335326
w30_return_std,0.000930177
w900_spread_mean,0.0008714754
w30_price_range,0.0007391046
w300_return_mean,0.00069058273
w30_price_std,0.0006474801
w60_tick_rate,0.00057294057
w900_volatility_lag1,0.0004675492
w900_return_mean,0.00044553686
w30_spread_mean,0.00039145938
w60_avg_tick_interval,0.00036411005
w60_return_mean,0.00036187755
w900_price_min,0.00028880543
w30_spread_std,0.0002707272
w30_return_mean,0.00014655566
w30_ob_bid_depth_L1_mean,0.00011914322
w60_price_mean,8.316161e-05
w900_return_kurt,0.0
w900_return_skew,0.0
hour_cos,0.0
w900_ob_ask_depth_L1_mean,0.0
w900_ob_microprice_std,0.0
w30_return_skew,0.0
w900_ob_microprice_mean,0.0
w900_ob_bid_depth_L1_mean,0.0
w900_tick_interval_std,0.0
w900_n_observations,0.0
w60_return_kurt,0.0
w300_ob_ask_depth_L1_mean,0.0
w30_return_kurt,0.0
w900_price_max,0.0
w60_tick_interval_std,0.0
w60_n_observations,0.0
w60_ob_bid_depth_L1_mean,0.0
w60_ob_ask_depth_L1_mean,0.0
w60_return_skew,0.0
w60_ob_microprice_mean,0.0
w60_ob_microprice_std,0.0
w30_ob_microprice_std,0.0
w30_ob_microprice_mean,0.0
w300_return_skew,0.0
w300_return_kurt,0.0
w30_ob_ask_depth_L1_mean,0.0
w30_n_observations,0.0
w30_tick_interval_std,0.0
w300_tick_interval_std,0.0
w300_n_observations,0.0
w300_ob_depth_imbalance_L1,0.0
w300_ob_microprice_mean,0.0
w300_ob_microprice_std,0.0
day_of_week,0.0
