feature,importance
w30_trade_imbalance,212
w30_price_trend,182
w30_price_mean,161
w60_trade_volume,157
w30_price_std,155
w60_price_trend,142
w300_price_trend,139
w60_trade_imbalance,131
w30_price_momentum,122
w30_spread_std,121
w30_spread_mean,116
w300_price_momentum,113
w60_avg_trade_size,110
w60_spread_std,108
w300_trade_imbalance,102
w60_return_std,101
w900_price_momentum,98
w30_return_std,90
w60_return_mean,89
w30_avg_tick_interval,89
w900_avg_trade_size,88
w30_price_max,87
w300_avg_tick_interval,86
w900_trade_imbalance,85
w60_price_std,84
w30_volatility_lag1,84
w30_trade_volume,80
w900_trade_volume,76
w60_spread_mean,75
w60_price_momentum,75
w300_price_std,72
w300_spread_mean,71
w30_return_mean,70
w30_trade_count,69
w300_spread_std,69
w30_tick_rate,67
w900_price_std,65
w300_trade_count,63
w300_avg_trade_size,62
w900_price_trend,60
w60_volatility_lag1,55
w900_spread_std,54
w300_trade_volume,54
w60_avg_tick_interval,54
w900_price_mean,51
w900_price_range,50
w30_avg_trade_size,50
w60_price_range,50
w60_trade_count,48
w30_price_min,48
w30_price_range,46
w60_price_mean,46
w300_price_mean,45
w900_trade_count,42
w300_price_range,36
w60_price_min,32
w900_tick_rate,29
w300_volatility_lag1,26
w900_return_mean,23
w300_tick_rate,22
w60_tick_rate,20
w300_return_mean,20
w900_avg_tick_interval,18
w900_price_min,16
w900_spread_mean,14
w900_return_std,13
hour_sin,12
w300_return_std,12
w60_price_max,11
w900_volatility_lag1,11
w60_ob_depth_imbalance_L1,11
w300_ob_bid_depth_L1_mean,10
w300_price_min,8
w30_ob_depth_imbalance_L1,6
w900_price_max,4
w60_ob_bid_depth_L1_mean,3
w300_price_max,2
w30_ob_microprice_mean,2
w900_ob_bid_depth_L1_mean,1
w30_ob_bid_depth_L1_mean,1
hour_cos,0
w900_return_kurt,0
w900_n_observations,0
w900_ob_microprice_std,0
w900_ob_microprice_mean,0
w900_ob_depth_imbalance_L1,0
w900_ob_ask_depth_L1_mean,0
w900_return_skew,0
w900_tick_interval_std,0
w60_n_observations,0
w300_ob_microprice_mean,0
w30_ob_microprice_std,0
w30_return_skew,0
w60_ob_ask_depth_L1_mean,0
w60_ob_microprice_mean,0
w60_ob_microprice_std,0
w30_tick_interval_std,0
w60_tick_interval_std,0
w300_return_skew,0
w300_return_kurt,0
w30_n_observations,0
w30_ob_ask_depth_L1_mean,0
w30_return_kurt,0
w300_tick_interval_std,0
w300_n_observations,0
w300_ob_ask_depth_L1_mean,0
w300_ob_depth_imbalance_L1,0
w300_ob_microprice_std,0
w60_return_kurt,0
w60_return_skew,0
day_of_week,0
