feature,importance
w300_price_trend,103
w300_return_skew,101
w900_price_trend,99
w60_trade_imbalance,96
w900_price_std,95
w60_price_trend,91
w300_trade_imbalance,89
w60_price_std,84
w900_trade_imbalance,82
w900_spread_std,78
w900_return_kurt,75
w900_ob_ask_depth_L1_mean,74
w60_ob_depth_imbalance_L1,74
w300_spread_std,74
w900_return_skew,73
w900_trade_volume,72
w60_spread_std,71
w900_ob_depth_imbalance_L1,71
w60_trade_volume,71
w60_return_kurt,70
w60_ob_ask_depth_L1_mean,69
w300_avg_tick_interval,69
w60_ob_microprice_std,68
w60_price_range,67
w900_spread_mean,67
w300_tick_interval_std,67
w30_price_trend,63
w300_price_std,62
w900_price_momentum,62
w30_price_momentum,59
w900_tick_rate,58
w60_avg_trade_size,56
w900_tick_interval_std,56
w30_return_skew,55
w30_ob_depth_imbalance_L1,55
w900_avg_trade_size,54
w300_ob_depth_imbalance_L1,54
w60_return_skew,53
w900_avg_tick_interval,53
w300_ob_ask_depth_L1_mean,52
w300_return_kurt,50
w300_spread_mean,50
w300_trade_count,50
w30_price_std,50
w60_price_momentum,50
w300_trade_volume,49
w60_avg_tick_interval,49
w900_ob_bid_depth_L1_mean,49
w900_ob_microprice_std,49
w300_avg_trade_size,48
w900_price_range,47
w300_ob_bid_depth_L1_mean,47
w30_ob_ask_depth_L1_mean,46
w300_ob_microprice_std,46
w60_price_mean,46
w300_price_momentum,46
w30_price_mean,45
w60_tick_interval_std,45
w30_trade_count,45
w30_ob_microprice_std,45
w300_tick_rate,43
w30_trade_volume,41
hour_sin,40
w900_return_mean,40
w60_spread_mean,40
w30_spread_std,40
w300_price_range,39
w60_tick_rate,37
w30_trade_imbalance,37
w900_trade_count,36
w30_price_range,35
w30_return_kurt,34
w30_tick_interval_std,34
w30_return_mean,34
w30_avg_trade_size,34
w60_price_max,34
w60_return_mean,33
w60_ob_bid_depth_L1_mean,33
w900_volatility_lag1,33
w300_volatility_lag1,31
w300_return_std,30
w300_price_min,30
w60_price_min,29
w900_return_std,29
w30_spread_mean,28
w60_return_std,27
w300_return_mean,27
w30_return_std,25
w60_trade_count,25
w30_ob_bid_depth_L1_mean,24
w30_avg_tick_interval,24
w30_price_max,23
w300_ob_microprice_mean,23
w60_volatility_lag1,21
w900_price_max,21
w30_price_min,20
w300_price_max,19
w30_tick_rate,19
w900_ob_microprice_mean,18
w300_price_mean,18
w900_price_mean,17
w30_volatility_lag1,16
w30_ob_microprice_mean,16
w900_price_min,13
w60_ob_microprice_mean,13
w900_n_observations,12
hour_cos,11
day_of_week,8
w30_n_observations,7
w300_n_observations,7
w60_n_observations,2
