feature,importance
w300_price_trend,138
w60_price_trend,110
w900_price_trend,104
w60_price_std,104
w300_ob_depth_imbalance_L1,98
w300_spread_std,94
w900_ob_depth_imbalance_L1,93
w60_ob_depth_imbalance_L1,87
w900_trade_volume,82
w60_price_range,81
w900_price_std,81
w60_trade_imbalance,79
w300_price_std,76
w30_price_trend,74
w60_trade_volume,72
w300_ob_ask_depth_L1_mean,68
w900_avg_trade_size,68
w300_trade_imbalance,67
w60_ob_microprice_std,66
w300_avg_trade_size,65
w30_price_mean,65
w60_avg_tick_interval,64
w900_price_range,63
w60_spread_mean,63
w300_tick_interval_std,63
w900_spread_mean,62
w900_trade_imbalance,61
w900_price_momentum,61
w900_ob_ask_depth_L1_mean,59
w900_ob_bid_depth_L1_mean,59
w900_tick_interval_std,58
w300_ob_bid_depth_L1_mean,58
w300_trade_volume,58
w30_price_momentum,57
w30_ob_microprice_std,56
w300_avg_tick_interval,56
w60_spread_std,55
w60_ob_bid_depth_L1_mean,55
w300_ob_microprice_std,55
w900_return_std,54
w30_ob_ask_depth_L1_mean,54
w900_avg_tick_interval,53
w60_price_max,53
w900_spread_std,53
w300_spread_mean,52
w30_price_std,51
w900_ob_microprice_std,50
w300_price_momentum,49
w60_return_mean,49
w300_price_mean,48
w30_spread_std,48
w60_ob_ask_depth_L1_mean,48
w30_ob_depth_imbalance_L1,48
w30_tick_interval_std,48
w60_tick_interval_std,47
hour_sin,46
w30_price_min,46
w900_trade_count,42
w300_return_std,42
w900_return_mean,42
w60_price_momentum,41
w60_avg_trade_size,41
w300_trade_count,40
w60_return_std,40
w30_price_range,40
w300_price_range,40
w300_volatility_lag1,40
w60_price_min,40
w30_trade_count,40
w900_tick_rate,38
w30_ob_bid_depth_L1_mean,37
w30_trade_imbalance,36
w30_trade_volume,35
w300_tick_rate,35
w30_return_mean,34
w900_volatility_lag1,32
w60_volatility_lag1,32
w30_spread_mean,29
w300_return_mean,28
w300_ob_microprice_mean,25
w30_tick_rate,25
w60_trade_count,24
w60_tick_rate,24
w900_price_max,24
w30_avg_tick_interval,24
w30_price_max,23
w30_avg_trade_size,23
w900_ob_microprice_mean,23
w30_volatility_lag1,22
w300_price_min,21
w60_price_mean,20
w60_ob_microprice_mean,20
w900_price_min,19
w900_price_mean,18
w30_return_std,18
day_of_week,15
w300_n_observations,15
hour_cos,14
w300_price_max,13
w30_ob_microprice_mean,10
w30_n_observations,10
w900_n_observations,6
w60_n_observations,4
w900_return_kurt,0
w900_return_skew,0
w30_return_skew,0
w30_return_kurt,0
w300_return_kurt,0
w300_return_skew,0
w60_return_kurt,0
w60_return_skew,0
