feature,importance
w60_return_std,0.30802354
w900_tick_rate,0.09790266
w60_tick_rate,0.05778818
w300_trade_count,0.05077632
w60_volatility_lag1,0.048363768
w300_ob_microprice_mean,0.048084583
w60_spread_mean,0.04567524
w60_trade_count,0.045097493
w300_trade_imbalance,0.043555025
w60_spread_std,0.035706945
w300_spread_std,0.032467414
w900_trade_count,0.02903397
w60_price_std,0.026784485
w300_spread_mean,0.02568642
w900_spread_std,0.021488681
w60_ob_microprice_mean,0.019627923
w300_price_momentum,0.014425157
w900_price_momentum,0.010048701
w30_price_range,0.008193423
w30_spread_std,0.007768229
w30_spread_mean,0.0071565653
w60_trade_imbalance,0.0067144707
w30_price_std,0.004673599
w30_return_std,0.00300821
w30_volatility_lag1,0.0015821953
w60_ob_depth_imbalance_L1,0.00036694857
w900_n_observations,0.0
w30_ob_microprice_mean,0.0
w60_n_observations,0.0
w30_ob_depth_imbalance_L1,0.0
