feature,importance
w60_return_std,0.24548039
w900_price_min,0.15979165
w30_ob_bid_depth_L1_mean,0.07004557
w300_price_std,0.058762886
w900_tick_rate,0.05773832
w60_spread_std,0.051753398
w60_volatility_lag1,0.043346528
w300_avg_tick_interval,0.025818821
w60_trade_volume,0.017709155
w60_tick_rate,0.012849251
w300_trade_count,0.012517738
w60_ob_bid_depth_L1_mean,0.012490665
w60_trade_count,0.0113757895
w60_spread_mean,0.0107056005
w60_price_min,0.010336951
w300_ob_depth_imbalance_L1,0.01004431
w300_price_trend,0.0095331045
w30_return_mean,0.009241422
w900_avg_tick_interval,0.008873729
w60_price_range,0.008480839
w60_trade_imbalance,0.008228272
w300_price_range,0.007998568
w900_trade_count,0.00765778
w300_price_mean,0.006748861
w300_avg_trade_size,0.006211503
w300_spread_mean,0.0060824445
w900_price_trend,0.0059781563
w300_trade_volume,0.005966596
w30_trade_volume,0.0058471905
w300_price_max,0.005777708
w300_spread_std,0.005673024
w900_price_mean,0.0052759475
w900_avg_trade_size,0.0045367884
w900_spread_mean,0.0042573796
w900_trade_volume,0.0041603227
w900_price_momentum,0.0040293457
w30_spread_mean,0.003636063
w30_tick_rate,0.003316957
w60_avg_trade_size,0.003098212
w30_trade_imbalance,0.0030630273
w30_price_min,0.0029417924
w30_trade_count,0.00293999
w30_avg_trade_size,0.0027181555
w900_return_mean,0.0023263127
w900_spread_std,0.0022644657
w900_ob_bid_depth_L1_mean,0.002139204
w30_price_trend,0.0020641899
w900_price_range,0.0018199909
w300_trade_imbalance,0.0016981333
w300_return_std,0.0015683203
w30_price_mean,0.0015193208
w300_tick_rate,0.0015084924
w60_avg_tick_interval,0.00141448
w60_price_mean,0.0013942313
w30_volatility_lag1,0.001346352
w60_price_trend,0.0012834078
w60_return_mean,0.0012824809
w300_price_momentum,0.0011529811
w30_price_max,0.0011236396
w900_price_std,0.0010265703
w900_trade_imbalance,0.0008634333
w30_return_std,0.00085927383
w60_ob_depth_imbalance_L1,0.0008264414
w300_volatility_lag1,0.0007958224
w300_return_mean,0.0007328659
w300_price_min,0.000612653
w60_price_momentum,0.0005877994
w30_price_std,0.0005753557
w30_price_momentum,0.0005744316
hour_sin,0.0005440547
w30_spread_std,0.00052063994
w900_volatility_lag1,0.00049953954
w30_price_range,0.00049099687
w60_price_std,0.00047068123
w900_return_std,0.00046754177
w60_price_max,0.00039620124
w30_avg_tick_interval,0.00020946385
w900_return_skew,0.0
w900_return_kurt,0.0
hour_cos,0.0
w900_n_observations,0.0
w30_return_kurt,0.0
w30_return_skew,0.0
w900_ob_ask_depth_L1_mean,0.0
w900_tick_interval_std,0.0
w900_ob_microprice_mean,0.0
w900_ob_depth_imbalance_L1,0.0
w900_ob_microprice_std,0.0
w30_ob_microprice_mean,0.0
w30_tick_interval_std,0.0
w30_n_observations,0.0
w60_ob_microprice_std,0.0
w60_ob_ask_depth_L1_mean,0.0
w60_n_observations,0.0
w60_tick_interval_std,0.0
w60_return_kurt,0.0
w300_return_skew,0.0
w300_return_kurt,0.0
w60_return_skew,0.0
w300_tick_interval_std,0.0
w300_n_observations,0.0
w300_ob_bid_depth_L1_mean,0.0
w300_ob_ask_depth_L1_mean,0.0
w30_ob_microprice_std,0.0
w300_ob_microprice_mean,0.0
w300_ob_microprice_std,0.0
w60_ob_microprice_mean,0.0
w30_ob_depth_imbalance_L1,0.0
w900_price_max,0.0
w30_ob_ask_depth_L1_mean,0.0
day_of_week,0.0
