feature,importance
w900_price_range,0.19539781
w300_price_max,0.09153199
w30_price_min,0.040341303
w60_trade_volume,0.033601303
w900_price_std,0.032226246
w300_spread_mean,0.030629886
w300_price_range,0.027458925
w300_price_momentum,0.025771137
w900_trade_volume,0.025682593
w900_price_mean,0.025658762
w300_price_trend,0.025461989
w300_return_std,0.025236063
w900_avg_tick_interval,0.018837467
w900_trade_imbalance,0.0185168
w30_price_max,0.018505657
w900_tick_rate,0.016309787
w300_trade_count,0.01528628
w60_price_mean,0.014760999
w60_price_max,0.013593735
w300_spread_std,0.013577558
w60_return_std,0.012925064
w300_volatility_lag1,0.012819203
w30_price_range,0.012468866
w30_avg_trade_size,0.011346546
w900_trade_count,0.01100425
w300_price_mean,0.010037991
w900_spread_mean,0.010036778
w60_volatility_lag1,0.010032066
w300_avg_tick_interval,0.009658827
w300_avg_trade_size,0.009522264
w900_avg_trade_size,0.0093604615
w60_ob_depth_imbalance_L1,0.008975027
w300_ob_bid_depth_L1_mean,0.007703036
w300_price_std,0.0069446024
w300_trade_volume,0.0066477614
w300_trade_imbalance,0.006498084
w30_spread_std,0.0063300203
w30_price_mean,0.006287086
w30_spread_mean,0.0060376874
w300_tick_rate,0.005885024
w30_volatility_lag1,0.005773026
w60_spread_std,0.0054661236
w30_avg_tick_interval,0.005079333
w30_trade_imbalance,0.0049858005
w300_price_min,0.0048734373
w900_price_momentum,0.004740971
w60_trade_imbalance,0.0044714203
w60_price_std,0.004156967
w30_tick_rate,0.0039637377
w60_avg_trade_size,0.0038987505
w30_return_mean,0.0038348003
w900_spread_std,0.0036682058
w900_return_mean,0.0035922388
w900_price_min,0.0034694942
w60_price_range,0.0033503994
w60_price_trend,0.0033497289
w60_return_mean,0.0032448915
w900_price_trend,0.003240676
w30_trade_volume,0.0030404567
w900_ob_microprice_mean,0.0029766501
w60_spread_mean,0.0029544362
w900_volatility_lag1,0.0025326947
w60_price_momentum,0.0025063737
w30_price_momentum,0.002460705
w60_avg_tick_interval,0.0023414134
w900_price_max,0.002031348
w60_tick_rate,0.0019481712
w30_return_std,0.001897707
w30_trade_count,0.0018782397
w300_ob_depth_imbalance_L1,0.001871841
w30_price_trend,0.0015927167
w60_trade_count,0.0014142136
w300_return_mean,0.0011610603
w30_price_std,0.0011491204
w900_return_std,0.0010889444
w60_price_min,0.0010026512
w30_ob_depth_imbalance_L1,8.4356354e-05
w30_return_kurt,0.0
w30_return_skew,0.0
w900_return_skew,0.0
w900_tick_interval_std,0.0
w900_return_kurt,0.0
w900_n_observations,0.0
w900_ob_bid_depth_L1_mean,0.0
w900_ob_ask_depth_L1_mean,0.0
w900_ob_depth_imbalance_L1,0.0
w900_ob_microprice_std,0.0
hour_sin,0.0
hour_cos,0.0
w60_return_kurt,0.0
w300_tick_interval_std,0.0
w300_ob_microprice_std,0.0
w300_ob_microprice_mean,0.0
w60_return_skew,0.0
w60_tick_interval_std,0.0
w60_n_observations,0.0
w60_ob_bid_depth_L1_mean,0.0
w60_ob_ask_depth_L1_mean,0.0
w60_ob_microprice_mean,0.0
w60_ob_microprice_std,0.0
w30_ob_microprice_std,0.0
w300_return_skew,0.0
w300_return_kurt,0.0
w30_ob_microprice_mean,0.0
w30_ob_ask_depth_L1_mean,0.0
w30_ob_bid_depth_L1_mean,0.0
w30_n_observations,0.0
w30_tick_interval_std,0.0
w300_n_observations,0.0
w300_ob_ask_depth_L1_mean,0.0
day_of_week,0.0
