feature,importance
w300_price_trend,169
w60_price_trend,162
w30_price_trend,160
w30_spread_mean,155
w300_price_std,147
w30_price_momentum,135
w30_price_mean,133
w30_trade_imbalance,118
w60_trade_count,114
w60_trade_imbalance,112
w30_price_std,110
w30_spread_std,107
w30_return_mean,103
w900_price_trend,101
w300_trade_volume,98
w30_avg_trade_size,96
w60_return_std,96
w60_price_mean,92
w900_trade_imbalance,92
w60_price_momentum,91
w60_spread_mean,85
w60_price_std,83
w30_return_std,81
w30_volatility_lag1,81
w300_price_momentum,80
w300_avg_trade_size,76
w300_trade_count,73
w900_avg_tick_interval,73
w60_trade_volume,70
w300_trade_imbalance,68
w300_avg_tick_interval,65
w900_trade_count,65
w30_trade_volume,65
w30_trade_count,65
w60_volatility_lag1,64
w300_spread_std,61
w30_price_min,61
w900_avg_trade_size,61
w300_volatility_lag1,59
w900_spread_std,59
w60_spread_std,56
w900_price_mean,54
w30_tick_rate,49
w900_price_std,49
w60_return_mean,48
w30_avg_tick_interval,47
w60_avg_tick_interval,47
w60_price_range,47
w300_spread_mean,44
w300_return_std,44
w300_price_range,44
w30_price_range,43
w300_price_mean,43
w900_trade_volume,40
w60_price_max,39
w900_spread_mean,39
w300_price_max,38
w60_avg_trade_size,36
w30_price_max,33
w300_return_mean,33
w900_price_momentum,31
w900_price_range,30
w900_volatility_lag1,30
w900_return_std,28
w60_tick_rate,26
w300_tick_rate,21
w60_ob_depth_imbalance_L1,20
w60_price_min,16
w900_price_max,13
w900_return_mean,9
w30_ob_depth_imbalance_L1,8
w300_ob_bid_depth_L1_mean,7
w900_tick_rate,7
w900_price_min,6
w300_price_min,5
w300_ob_depth_imbalance_L1,1
w30_ob_microprice_mean,1
w60_ob_microprice_mean,1
w300_ob_ask_depth_L1_mean,0
w30_n_observations,0
w30_return_skew,0
w30_ob_bid_depth_L1_mean,0
w30_ob_ask_depth_L1_mean,0
w900_tick_interval_std,0
w900_n_observations,0
w900_ob_bid_depth_L1_mean,0
w60_return_kurt,0
w900_ob_ask_depth_L1_mean,0
w900_ob_depth_imbalance_L1,0
w900_ob_microprice_mean,0
w900_ob_microprice_std,0
hour_sin,0
hour_cos,0
w60_return_skew,0
w30_tick_interval_std,0
w300_n_observations,0
w60_tick_interval_std,0
w60_n_observations,0
w900_return_kurt,0
w900_return_skew,0
w60_ob_bid_depth_L1_mean,0
w60_ob_ask_depth_L1_mean,0
w30_return_kurt,0
w60_ob_microprice_std,0
w300_return_skew,0
w300_return_kurt,0
w30_ob_microprice_std,0
w300_tick_interval_std,0
w300_ob_microprice_std,0
w300_ob_microprice_mean,0
day_of_week,0
