feature,importance
w60_price_std,0.045036905
w900_volatility_lag1,0.037501995
w300_trade_volume,0.032519862
w300_price_trend,0.031612415
w900_return_std,0.031506643
w900_tick_interval_std,0.029748933
w300_return_mean,0.029260375
hour_sin,0.026114957
w900_n_observations,0.025197215
w60_price_trend,0.024832213
w900_spread_std,0.024605272
w60_ob_microprice_std,0.024468552
w60_price_range,0.024460094
w900_return_mean,0.023909587
w30_return_mean,0.023396896
w900_price_trend,0.023362514
w900_spread_mean,0.022465682
w900_tick_rate,0.02227088
w900_ob_microprice_std,0.022004692
w900_price_range,0.021794984
w900_trade_volume,0.02146975
w30_price_std,0.021277979
w900_avg_tick_interval,0.02038019
w60_return_mean,0.019918364
w300_tick_rate,0.019656908
w60_return_skew,0.019582773
w30_price_trend,0.019020084
w300_ob_bid_depth_L1_mean,0.01893832
w900_trade_count,0.018140405
w900_ob_ask_depth_L1_mean,0.016875014
w60_ob_bid_depth_L1_mean,0.015676541
w300_trade_imbalance,0.0153561495
w300_avg_trade_size,0.014293861
hour_cos,0.014164854
w900_ob_bid_depth_L1_mean,0.013551263
w300_return_skew,0.013386676
w300_price_max,0.013157559
w900_avg_trade_size,0.012980532
w900_price_min,0.01227819
w900_ob_depth_imbalance_L1,0.012236642
w900_trade_imbalance,0.012018089
w900_ob_microprice_mean,0.0119408015
w900_price_std,0.011924847
w60_ob_ask_depth_L1_mean,0.011606827
w300_spread_mean,0.00947191
w300_price_momentum,0.009460024
w300_ob_microprice_std,0.008357921
w60_ob_depth_imbalance_L1,0.007819421
w300_ob_depth_imbalance_L1,0.006850662
w60_tick_rate,0.0051915655
w60_price_max,0.0049451473
w900_price_momentum,0.004904872
w60_avg_tick_interval,0.004369508
w60_trade_count,0.004349814
w30_trade_volume,0.004262946
w60_spread_mean,0.0021762133
w30_price_max,0.0019365775
w300_avg_tick_interval,0.0
w900_return_kurt,0.0
w300_tick_interval_std,0.0
w300_n_observations,0.0
w300_ob_ask_depth_L1_mean,0.0
w900_return_skew,0.0
w300_ob_microprice_mean,0.0
w900_price_mean,0.0
w900_price_max,0.0
w300_trade_count,0.0
w30_price_mean,0.0
w300_price_std,0.0
w300_spread_std,0.0
w30_trade_count,0.0
w30_ob_ask_depth_L1_mean,0.0
w30_ob_bid_depth_L1_mean,0.0
w30_n_observations,0.0
w30_tick_rate,0.0
w30_tick_interval_std,0.0
w30_avg_tick_interval,0.0
w30_trade_imbalance,0.0
w30_avg_trade_size,0.0
w30_spread_std,0.0
w300_volatility_lag1,0.0
w30_spread_mean,0.0
w30_volatility_lag1,0.0
w30_return_kurt,0.0
w30_return_skew,0.0
w30_return_std,0.0
w30_price_momentum,0.0
w30_price_range,0.0
w30_price_min,0.0
w30_ob_depth_imbalance_L1,0.0
w30_ob_microprice_mean,0.0
w30_ob_microprice_std,0.0
w60_price_mean,0.0
w300_return_kurt,0.0
w300_return_std,0.0
w300_price_range,0.0
w300_price_min,0.0
w300_price_mean,0.0
w60_ob_microprice_mean,0.0
w60_n_observations,0.0
w60_tick_interval_std,0.0
w60_trade_imbalance,0.0
w60_avg_trade_size,0.0
w60_trade_volume,0.0
w60_spread_std,0.0
w60_volatility_lag1,0.0
w60_return_kurt,0.0
w60_return_std,0.0
w60_price_momentum,0.0
w60_price_min,0.0
day_of_week,0.0
