feature,importance
w60_price_min,182
w30_price_mean,166
w30_price_std,138
w30_price_trend,137
w60_price_momentum,130
w30_price_momentum,130
w60_price_std,124
w300_price_mean,114
w60_price_mean,104
w300_price_momentum,100
w60_trade_count,97
w60_avg_trade_size,92
w60_price_trend,89
w30_price_min,83
w60_return_mean,75
w900_spread_std,74
w60_return_std,73
w300_price_std,73
w900_price_mean,72
w300_avg_trade_size,71
w300_spread_mean,68
w60_trade_imbalance,66
w60_spread_std,66
w30_avg_trade_size,66
w900_trade_count,62
w30_avg_tick_interval,62
w30_trade_imbalance,61
w300_trade_imbalance,61
w900_avg_trade_size,60
w30_price_range,59
w300_price_trend,57
w30_trade_volume,52
w300_price_range,50
w900_price_std,50
w900_return_std,45
w30_spread_mean,38
w900_price_trend,37
w900_price_momentum,36
w30_spread_std,35
w30_price_max,34
w900_spread_mean,33
w300_return_std,31
w900_avg_tick_interval,31
w60_avg_tick_interval,28
w300_trade_volume,28
w900_trade_volume,27
w60_price_max,27
w60_trade_volume,25
w300_avg_tick_interval,25
w300_spread_std,25
w900_volatility_lag1,24
w60_tick_rate,23
w60_spread_mean,22
w30_return_mean,22
w30_return_std,21
w30_volatility_lag1,20
w60_volatility_lag1,18
w900_return_mean,16
w30_trade_count,16
w60_price_range,16
w300_trade_count,11
w300_return_mean,10
w900_tick_rate,9
w300_tick_rate,9
w300_volatility_lag1,7
w300_price_min,6
w30_tick_rate,4
w900_price_range,3
w900_trade_imbalance,3
w900_price_max,2
w30_ob_bid_depth_L1_mean,2
w900_price_min,2
w900_ob_microprice_std,0
hour_cos,0
hour_sin,0
w900_ob_bid_depth_L1_mean,0
w900_return_skew,0
w900_ob_depth_imbalance_L1,0
w900_ob_ask_depth_L1_mean,0
w900_tick_interval_std,0
w900_return_kurt,0
w900_n_observations,0
w900_ob_microprice_mean,0
w300_return_kurt,0
w300_ob_microprice_std,0
w60_n_observations,0
w30_tick_interval_std,0
w30_n_observations,0
w30_ob_ask_depth_L1_mean,0
w30_ob_depth_imbalance_L1,0
w30_ob_microprice_mean,0
w30_ob_microprice_std,0
w60_return_skew,0
w60_return_kurt,0
w30_return_kurt,0
w30_return_skew,0
w60_tick_interval_std,0
w60_ob_bid_depth_L1_mean,0
w300_ob_microprice_mean,0
w60_ob_ask_depth_L1_mean,0
w60_ob_depth_imbalance_L1,0
w60_ob_microprice_mean,0
w60_ob_microprice_std,0
w300_price_max,0
w300_return_skew,0
w300_tick_interval_std,0
w300_n_observations,0
w300_ob_bid_depth_L1_mean,0
w300_ob_ask_depth_L1_mean,0
w300_ob_depth_imbalance_L1,0
day_of_week,0
