feature,importance
w60_spread_std,0.14379121
w60_spread_mean,0.065239154
w300_price_range,0.056198377
w900_trade_imbalance,0.04123858
w900_return_mean,0.03420294
w900_trade_volume,0.032589484
w900_price_trend,0.031586904
w900_tick_rate,0.029910255
w300_price_std,0.027784633
w300_price_min,0.024215642
w900_trade_count,0.023629874
w900_price_min,0.02226245
w60_trade_count,0.020642996
hour_sin,0.020440504
w900_avg_tick_interval,0.018868148
w900_price_range,0.018155118
w60_price_min,0.016374165
w300_trade_volume,0.015260325
w900_price_momentum,0.01498193
w300_spread_std,0.014367491
w60_price_range,0.01423353
w300_price_trend,0.013939082
w60_ob_depth_imbalance_L1,0.013253202
w300_spread_mean,0.012620709
w900_price_mean,0.0122395195
w60_tick_rate,0.012171726
w30_price_momentum,0.011532815
w60_price_momentum,0.011265832
w300_price_mean,0.010623227
w60_avg_trade_size,0.010123018
w60_trade_volume,0.009771439
w300_price_max,0.009490587
w300_ob_bid_depth_L1_mean,0.008778369
w900_spread_mean,0.0085605625
w300_trade_count,0.008161266
w60_price_std,0.007927088
w30_trade_count,0.0072997576
w900_spread_std,0.007060666
w60_avg_tick_interval,0.0068492955
w60_price_max,0.006461383
w300_return_std,0.0062404405
w900_volatility_lag1,0.00599233
w60_price_trend,0.005797141
w30_price_max,0.0057854927
w60_return_mean,0.005509396
w60_volatility_lag1,0.0054239286
w300_trade_imbalance,0.0051663434
w900_price_std,0.0047633415
w60_price_mean,0.004437165
w30_spread_std,0.0044125146
w300_volatility_lag1,0.004401658
w60_trade_imbalance,0.0043677036
w300_avg_trade_size,0.0043122256
w900_price_max,0.00403127
w30_price_std,0.0038131517
w30_price_min,0.0037321686
w30_return_mean,0.003672474
w30_price_mean,0.0035380968
w30_trade_volume,0.0034190724
w300_avg_tick_interval,0.0033480425
w300_price_momentum,0.003105481
w30_return_std,0.0029688557
w30_avg_trade_size,0.0028102652
w900_avg_trade_size,0.0027741762
w900_return_std,0.0026145475
w300_return_mean,0.0025181228
w30_spread_mean,0.0022577837
w60_return_std,0.0021269945
w30_avg_tick_interval,0.002082619
w30_trade_imbalance,0.0015857834
w30_volatility_lag1,0.001585195
w30_price_range,0.0015275159
w30_price_trend,0.0011936013
w30_tick_rate,0.0011147594
w60_ob_bid_depth_L1_mean,0.0010484981
w300_tick_rate,0.0010390322
w30_ob_bid_depth_L1_mean,0.00076078466
w900_ob_bid_depth_L1_mean,0.00061876554
hour_cos,0.0
w900_ob_microprice_std,0.0
w900_return_kurt,0.0
w900_ob_microprice_mean,0.0
w900_ob_depth_imbalance_L1,0.0
w900_return_skew,0.0
w900_ob_ask_depth_L1_mean,0.0
w30_return_kurt,0.0
w900_n_observations,0.0
w30_return_skew,0.0
w900_tick_interval_std,0.0
w60_ob_microprice_std,0.0
w30_n_observations,0.0
w30_tick_interval_std,0.0
w30_ob_ask_depth_L1_mean,0.0
w60_ob_microprice_mean,0.0
w60_ob_ask_depth_L1_mean,0.0
w300_return_skew,0.0
w300_return_kurt,0.0
w60_n_observations,0.0
w60_tick_interval_std,0.0
w60_return_kurt,0.0
w60_return_skew,0.0
w30_ob_microprice_std,0.0
w300_tick_interval_std,0.0
w300_n_observations,0.0
w30_ob_microprice_mean,0.0
w300_ob_ask_depth_L1_mean,0.0
w300_ob_depth_imbalance_L1,0.0
w300_ob_microprice_mean,0.0
w300_ob_microprice_std,0.0
w30_ob_depth_imbalance_L1,0.0
day_of_week,0.0
