feature,importance
w30_price_mean,202
w300_price_trend,166
w60_spread_std,165
w60_spread_mean,164
w300_price_std,150
w30_price_std,130
w60_avg_tick_interval,128
w900_price_trend,122
w60_trade_count,121
w60_avg_trade_size,116
w30_trade_count,108
w900_trade_imbalance,107
w60_trade_imbalance,107
w30_avg_trade_size,104
w30_price_trend,96
w30_return_std,96
w60_price_momentum,94
w60_return_std,94
w60_price_std,92
w60_price_trend,91
w300_spread_mean,89
w60_price_min,88
w60_trade_volume,88
w60_tick_rate,88
w30_trade_imbalance,87
w60_price_max,87
w60_volatility_lag1,86
w60_price_range,86
w30_spread_mean,84
w60_return_mean,82
w900_trade_volume,82
w30_spread_std,80
w300_return_mean,76
w900_price_momentum,70
w900_return_mean,67
w300_spread_std,66
w900_spread_std,66
w60_price_mean,65
w900_price_std,63
w300_price_momentum,62
w300_price_mean,62
w30_price_max,61
w30_price_momentum,61
w300_trade_volume,60
w30_trade_volume,60
w30_price_min,59
w300_avg_tick_interval,59
w300_avg_trade_size,58
w300_return_std,56
w300_price_range,56
w300_trade_imbalance,54
w30_volatility_lag1,52
w900_price_range,52
w30_avg_tick_interval,49
w30_price_range,45
w300_price_min,44
w900_spread_mean,44
w30_return_mean,40
w900_price_mean,39
w900_volatility_lag1,35
w300_volatility_lag1,34
w900_price_min,33
w300_trade_count,33
w900_avg_trade_size,32
w900_price_max,31
w300_price_max,31
w900_trade_count,28
w900_return_std,25
w900_avg_tick_interval,24
w30_tick_rate,21
w900_tick_rate,12
w300_tick_rate,6
w30_ob_bid_depth_L1_mean,5
w300_ob_bid_depth_L1_mean,4
w60_ob_bid_depth_L1_mean,3
w60_ob_depth_imbalance_L1,3
w900_ob_bid_depth_L1_mean,1
w30_ob_depth_imbalance_L1,1
w900_ob_depth_imbalance_L1,0
hour_cos,0
hour_sin,0
w900_ob_microprice_std,0
w900_ob_microprice_mean,0
w900_return_kurt,0
w900_ob_ask_depth_L1_mean,0
w900_n_observations,0
w30_return_kurt,0
w900_tick_interval_std,0
w30_return_skew,0
w60_ob_ask_depth_L1_mean,0
w300_ob_microprice_std,0
w900_return_skew,0
w30_tick_interval_std,0
w60_ob_microprice_mean,0
w60_ob_microprice_std,0
w60_n_observations,0
w60_tick_interval_std,0
w60_return_kurt,0
w60_return_skew,0
w30_ob_microprice_std,0
w300_return_skew,0
w300_return_kurt,0
w30_ob_microprice_mean,0
w30_ob_ask_depth_L1_mean,0
w30_n_observations,0
w300_tick_interval_std,0
w300_n_observations,0
w300_ob_ask_depth_L1_mean,0
w300_ob_depth_imbalance_L1,0
w300_ob_microprice_mean,0
day_of_week,0
