feature,importance
w900_price_std,116
w60_price_trend,101
w60_return_kurt,99
w60_price_std,78
w900_trade_imbalance,67
w900_price_momentum,66
w30_price_trend,64
w300_ob_depth_imbalance_L1,60
w60_ob_bid_depth_L1_mean,59
w30_price_momentum,57
w60_ob_microprice_std,56
w30_price_std,55
w60_ob_depth_imbalance_L1,53
w60_price_momentum,51
w60_return_mean,50
w60_avg_tick_interval,50
w300_price_momentum,50
w60_trade_imbalance,49
w30_ob_depth_imbalance_L1,46
w30_ob_microprice_std,46
w60_return_skew,45
w30_trade_imbalance,45
w60_avg_trade_size,45
w30_spread_std,43
w300_ob_microprice_std,42
w30_return_kurt,41
w900_ob_depth_imbalance_L1,40
w900_return_kurt,40
w30_return_mean,39
w60_return_std,37
w300_price_trend,36
w900_avg_tick_interval,36
w300_trade_imbalance,35
w60_price_mean,34
w300_avg_trade_size,33
w30_return_skew,32
w300_ob_bid_depth_L1_mean,32
w30_trade_volume,32
w60_trade_volume,31
w60_tick_interval_std,31
w30_ob_ask_depth_L1_mean,31
w60_spread_std,30
w900_return_skew,30
w900_price_trend,30
w300_price_range,29
w30_tick_rate,29
w30_tick_interval_std,28
w300_return_mean,28
w300_trade_count,27
w300_spread_std,26
w30_avg_tick_interval,26
w30_ob_bid_depth_L1_mean,26
w900_return_mean,25
w60_spread_mean,25
w60_ob_microprice_mean,24
w30_avg_trade_size,24
w300_trade_volume,24
w30_return_std,24
w30_price_mean,24
w30_spread_mean,23
w60_trade_count,22
w300_ob_microprice_mean,22
w300_spread_mean,22
w900_price_mean,21
w900_price_range,21
w300_avg_tick_interval,20
w900_ob_bid_depth_L1_mean,20
w900_spread_std,20
w900_spread_mean,19
w30_volatility_lag1,19
w300_return_std,19
w300_volatility_lag1,19
w300_return_kurt,17
w300_tick_rate,17
w300_return_skew,16
w300_tick_interval_std,16
w900_ob_microprice_std,14
w300_price_std,14
w300_price_mean,14
w900_trade_count,13
w30_price_min,12
w60_tick_rate,12
w30_price_range,12
w60_price_max,11
w900_trade_volume,11
w30_trade_count,11
w60_price_range,10
w900_tick_interval_std,10
w900_ob_microprice_mean,10
w60_ob_ask_depth_L1_mean,10
w900_avg_trade_size,10
w30_price_max,9
w60_volatility_lag1,9
w300_price_min,9
w900_ob_ask_depth_L1_mean,9
w900_tick_rate,8
w60_price_min,8
hour_cos,7
w900_volatility_lag1,5
w900_return_std,4
w30_n_observations,3
w30_ob_microprice_mean,3
w300_ob_ask_depth_L1_mean,1
w900_n_observations,1
w900_price_min,1
w300_price_max,1
w300_n_observations,0
w60_n_observations,0
w900_price_max,0
hour_sin,0
day_of_week,0
