feature,importance
w900_price_std,137
w60_price_trend,129
w300_return_skew,128
w60_price_std,119
w900_ob_depth_imbalance_L1,115
w900_tick_rate,110
w900_price_trend,109
w300_price_std,109
w900_return_kurt,108
w60_ob_microprice_std,108
w60_tick_interval_std,107
w60_return_skew,104
w60_trade_imbalance,101
w900_trade_imbalance,101
w300_ob_depth_imbalance_L1,100
w60_price_range,97
w60_trade_volume,96
w60_return_mean,95
w300_spread_std,92
w60_price_max,90
w900_ob_ask_depth_L1_mean,90
w60_return_kurt,89
w300_ob_ask_depth_L1_mean,87
w30_price_trend,87
w900_trade_volume,86
w60_avg_trade_size,85
w300_price_momentum,84
w900_price_momentum,82
w300_ob_bid_depth_L1_mean,80
w60_spread_std,80
w900_ob_microprice_std,78
w300_spread_mean,74
w900_price_range,74
w60_ob_ask_depth_L1_mean,73
w300_n_observations,70
w300_avg_trade_size,70
w900_tick_interval_std,69
w60_spread_mean,68
w300_tick_interval_std,68
w30_price_momentum,65
w300_price_mean,61
w900_avg_tick_interval,61
w900_spread_std,60
w60_price_momentum,59
w300_price_range,58
w30_price_std,56
w30_return_mean,56
w30_ob_microprice_std,55
w900_price_max,55
w300_return_std,53
w300_volatility_lag1,53
w30_price_range,52
w900_trade_count,49
w60_volatility_lag1,48
w30_return_skew,48
w900_volatility_lag1,47
w900_spread_mean,46
w300_ob_microprice_mean,45
w900_return_std,45
w30_spread_std,42
w300_trade_volume,41
w900_ob_microprice_mean,38
w300_trade_count,38
w60_return_std,37
hour_cos,25
w30_volatility_lag1,25
w30_return_std,22
hour_sin,20
w30_spread_mean,15
w900_n_observations,6
