feature,importance
w300_n_observations,0.10100462
hour_sin,0.06764841
w300_avg_tick_interval,0.038804837
w900_ob_ask_depth_L1_mean,0.02949085
w900_n_observations,0.027762828
w900_price_range,0.02491035
w300_tick_rate,0.022883814
w300_price_mean,0.022114417
w30_return_mean,0.01825188
w300_price_range,0.017596474
w900_price_min,0.016267337
w300_ob_microprice_std,0.015800767
w900_tick_interval_std,0.014903203
w900_return_kurt,0.014557188
day_of_week,0.013947004
w300_trade_count,0.013467058
w60_price_trend,0.013402804
w300_avg_trade_size,0.013321035
w300_tick_interval_std,0.013146304
w30_spread_std,0.012647426
w60_price_max,0.012582318
w900_avg_tick_interval,0.012536395
w900_ob_microprice_mean,0.012475344
w300_return_kurt,0.011623605
w900_price_max,0.010961497
w900_spread_mean,0.010933069
w60_return_std,0.010766977
w300_spread_std,0.0101807155
w60_avg_trade_size,0.009912834
w900_avg_trade_size,0.009532578
w300_ob_ask_depth_L1_mean,0.009363383
w900_volatility_lag1,0.009360821
w900_ob_bid_depth_L1_mean,0.008904209
w900_spread_std,0.008194574
w60_avg_tick_interval,0.008191693
w900_price_std,0.008081084
hour_cos,0.008078296
w300_return_skew,0.008030601
w60_spread_std,0.00787656
w900_trade_count,0.007805917
w300_ob_bid_depth_L1_mean,0.00740795
w900_price_mean,0.0073261154
w300_trade_imbalance,0.0072804345
w300_volatility_lag1,0.007139948
w300_price_max,0.007002353
w300_trade_volume,0.0067327856
w900_ob_microprice_std,0.0065509076
w60_tick_rate,0.0064008418
w60_price_std,0.0063984296
w900_trade_volume,0.006380219
w60_trade_count,0.006242003
w900_return_std,0.006112389
w60_price_range,0.006034944
w900_tick_rate,0.0060322816
w60_trade_volume,0.005972831
w60_price_mean,0.005917367
w60_return_kurt,0.0058814604
w30_ob_ask_depth_L1_mean,0.005828325
w60_ob_depth_imbalance_L1,0.0053525893
w900_price_momentum,0.0053208102
w60_return_mean,0.00523993
w300_price_trend,0.0051991087
w30_price_min,0.0051861857
w60_ob_ask_depth_L1_mean,0.005141445
w900_return_skew,0.005099467
w60_return_skew,0.0050888066
w30_price_std,0.004905351
w60_tick_interval_std,0.0048430464
w30_price_momentum,0.004712197
w900_ob_depth_imbalance_L1,0.0045591895
w300_return_std,0.0044021555
w300_ob_depth_imbalance_L1,0.0043371585
w60_volatility_lag1,0.0043313573
w60_trade_imbalance,0.0042995363
w60_price_momentum,0.004172405
w300_ob_microprice_mean,0.0041336324
w30_return_skew,0.004024125
w900_trade_imbalance,0.0039897347
w300_spread_mean,0.0039046593
w60_ob_microprice_std,0.0038556159
w300_price_std,0.0036218115
w30_price_trend,0.0035749353
w900_price_trend,0.0035721487
w30_ob_microprice_mean,0.0034158432
w900_return_mean,0.003415145
w60_spread_mean,0.003397414
w300_price_min,0.0032993853
w300_price_momentum,0.0032429502
w30_n_observations,0.0032365413
w60_price_min,0.0030751857
w60_n_observations,0.0029999525
w30_price_max,0.0029669187
w60_ob_bid_depth_L1_mean,0.002492406
w30_tick_interval_std,0.0024606902
w30_trade_imbalance,0.002447601
w30_avg_tick_interval,0.0022801561
w300_return_mean,0.0021489472
w30_ob_microprice_std,0.0021298965
w60_ob_microprice_mean,0.0019992455
w30_trade_count,0.0019894547
w30_trade_volume,0.0018654857
w30_price_range,0.0018622837
w30_return_kurt,0.0018551291
w30_avg_trade_size,0.001742082
w30_tick_rate,0.0016417302
w30_volatility_lag1,0.0015273464
w30_price_mean,0.0014766087
w30_ob_bid_depth_L1_mean,0.0012781124
w30_spread_mean,0.0009827195
w30_ob_depth_imbalance_L1,0.0009813976
w30_return_std,0.00095920253
