feature,importance
w60_price_trend,119
w60_ob_microprice_std,92
w60_tick_interval_std,76
w60_return_kurt,71
w60_price_std,69
w60_ob_bid_depth_L1_mean,68
w30_trade_imbalance,62
w30_return_kurt,62
w900_price_std,57
w60_trade_volume,54
w60_avg_tick_interval,49
w300_ob_depth_imbalance_L1,48
w300_price_momentum,47
w30_price_std,45
w30_return_mean,43
w30_avg_tick_interval,42
w30_price_trend,42
w60_trade_imbalance,41
w60_ob_depth_imbalance_L1,41
w300_price_std,41
w30_ob_bid_depth_L1_mean,40
w900_return_kurt,40
w900_price_range,40
w30_return_skew,39
w30_price_momentum,37
w60_price_momentum,35
w900_price_momentum,35
w900_price_max,34
w60_spread_std,34
w900_tick_interval_std,34
w60_return_skew,34
w900_return_mean,34
w30_spread_mean,33
w300_spread_std,32
w300_price_trend,31
w300_ob_bid_depth_L1_mean,31
w60_avg_trade_size,28
w900_price_trend,28
w30_ob_microprice_mean,26
w300_trade_volume,25
w300_tick_interval_std,25
w900_trade_imbalance,24
w900_ob_depth_imbalance_L1,23
w30_price_mean,23
w60_price_mean,23
w60_trade_count,22
w900_ob_microprice_mean,22
w300_ob_microprice_std,22
w60_spread_mean,22
w300_tick_rate,22
w900_trade_volume,22
w900_return_skew,22
w900_spread_mean,21
w300_trade_count,21
w900_avg_tick_interval,21
w30_ob_microprice_std,21
w60_volatility_lag1,21
w60_tick_rate,20
w300_price_mean,19
w60_price_range,19
w30_trade_volume,18
w300_return_kurt,18
w60_return_mean,18
w60_return_std,18
w900_spread_std,18
w30_volatility_lag1,18
w300_return_std,17
w30_ob_depth_imbalance_L1,17
w900_tick_rate,17
w30_price_range,17
w60_ob_ask_depth_L1_mean,17
w30_trade_count,16
w30_tick_rate,16
w60_price_max,16
w30_ob_ask_depth_L1_mean,16
w30_price_max,16
w60_ob_microprice_mean,15
w900_volatility_lag1,15
w30_spread_std,14
w900_ob_microprice_std,13
w300_avg_trade_size,13
w300_spread_mean,13
w900_price_mean,13
w900_price_min,13
w300_ob_microprice_mean,12
w30_tick_interval_std,12
w300_volatility_lag1,12
w300_return_mean,12
w30_price_min,10
w30_return_std,9
w300_ob_ask_depth_L1_mean,9
w900_return_std,9
w30_n_observations,9
w300_avg_tick_interval,9
w300_trade_imbalance,9
w300_return_skew,9
w60_price_min,9
w30_avg_trade_size,9
w900_avg_trade_size,8
w900_ob_bid_depth_L1_mean,8
hour_cos,6
w900_ob_ask_depth_L1_mean,5
w300_n_observations,5
w900_n_observations,5
w300_price_range,4
w300_price_max,2
w300_price_min,2
w60_n_observations,2
w900_trade_count,2
hour_sin,0
day_of_week,0
