feature,importance
w900_price_std,117
w60_price_std,94
w300_return_skew,90
w900_price_trend,88
w60_price_trend,87
w300_price_trend,84
w60_spread_std,84
w300_price_std,83
w900_spread_std,82
w60_trade_volume,80
w60_return_kurt,78
w900_trade_volume,74
w300_trade_imbalance,74
w30_ob_microprice_std,73
w900_trade_imbalance,73
w30_price_mean,73
w60_ob_depth_imbalance_L1,71
w300_spread_std,67
w300_ob_depth_imbalance_L1,67
w60_trade_imbalance,65
w900_return_skew,65
w300_price_mean,64
w300_return_kurt,62
w900_ob_ask_depth_L1_mean,61
w60_avg_trade_size,60
w60_return_skew,59
w300_tick_interval_std,58
w30_price_std,58
w900_avg_trade_size,58
w60_ob_microprice_std,55
w300_price_range,55
w900_return_kurt,55
w900_ob_microprice_std,55
w300_ob_bid_depth_L1_mean,55
w60_price_range,54
w30_return_skew,54
w900_avg_tick_interval,53
w60_ob_ask_depth_L1_mean,53
w900_price_range,52
w60_tick_interval_std,52
w900_price_momentum,51
w300_avg_tick_interval,51
w300_ob_ask_depth_L1_mean,50
w30_return_kurt,50
w60_ob_bid_depth_L1_mean,50
w60_spread_mean,48
w30_ob_ask_depth_L1_mean,48
w30_price_trend,48
w300_ob_microprice_std,47
w900_ob_bid_depth_L1_mean,47
w900_ob_depth_imbalance_L1,46
w60_price_min,45
w900_tick_interval_std,45
w60_price_max,45
w30_return_mean,44
w30_tick_interval_std,44
w30_ob_depth_imbalance_L1,43
w900_tick_rate,42
w60_price_mean,42
w900_return_mean,42
w300_trade_volume,41
w300_trade_count,40
w60_avg_tick_interval,39
w300_avg_trade_size,39
w30_trade_imbalance,38
w300_spread_mean,37
w30_trade_volume,36
w30_avg_tick_interval,36
w300_return_std,35
w30_price_momentum,34
w30_price_range,34
w300_ob_microprice_mean,34
w30_avg_trade_size,34
w60_return_std,34
w30_spread_std,34
w30_ob_bid_depth_L1_mean,33
w300_price_momentum,32
w60_trade_count,32
w30_trade_count,32
w60_volatility_lag1,32
w900_spread_mean,31
w300_tick_rate,31
w900_trade_count,28
hour_sin,28
w60_price_momentum,27
w30_price_max,26
w300_volatility_lag1,26
w60_return_mean,26
w300_price_min,26
w300_return_mean,26
w900_ob_microprice_mean,23
w30_price_min,22
w30_spread_mean,21
w900_return_std,21
w300_price_max,21
w30_volatility_lag1,20
w900_price_mean,20
w30_tick_rate,19
w30_return_std,18
w30_ob_microprice_mean,18
w900_volatility_lag1,17
w60_tick_rate,17
w900_price_max,15
w900_price_min,15
w60_ob_microprice_mean,15
w900_n_observations,7
day_of_week,7
w60_n_observations,6
w30_n_observations,6
hour_cos,6
w300_n_observations,4
