feature,importance
w900_price_range,0.03434293
w60_price_trend,0.03025325
w30_spread_std,0.028989403
w900_ob_depth_imbalance_L1,0.025960242
w30_return_mean,0.0238541
w900_price_std,0.023460884
w300_n_observations,0.023415761
w60_spread_std,0.023244029
w60_price_range,0.02301416
w30_price_std,0.022895766
hour_sin,0.022253217
w900_return_std,0.022221716
w60_price_std,0.021283178
w300_trade_count,0.021161603
w300_price_std,0.021109918
w900_volatility_lag1,0.02107983
w900_spread_mean,0.02095818
w60_return_mean,0.020607473
w60_price_momentum,0.020500312
w900_trade_imbalance,0.020458167
w900_tick_interval_std,0.019914046
w900_avg_tick_interval,0.019293077
w300_ob_depth_imbalance_L1,0.018903414
w300_price_range,0.01886974
w60_volatility_lag1,0.018678183
w60_trade_imbalance,0.018352434
w900_return_kurt,0.017278763
w300_ob_ask_depth_L1_mean,0.017275073
w30_price_trend,0.017243795
w30_price_momentum,0.016986078
w300_tick_interval_std,0.016550854
w60_return_kurt,0.01625447
w900_ob_microprice_std,0.01612924
w300_return_skew,0.015963957
w300_spread_std,0.015793826
w300_ob_bid_depth_L1_mean,0.015656304
w900_trade_count,0.015283368
w30_volatility_lag1,0.014871685
w60_trade_volume,0.014674542
w30_price_range,0.014339657
w60_avg_trade_size,0.013862999
w900_trade_volume,0.01362941
w900_price_momentum,0.013449537
w30_return_std,0.013421443
w60_return_skew,0.01334406
w300_trade_volume,0.013253982
w900_price_trend,0.013141222
w900_ob_ask_depth_L1_mean,0.012173418
w900_spread_std,0.011032479
w300_price_momentum,0.010878485
w60_tick_interval_std,0.009787829
w300_spread_mean,0.009531708
w30_ob_microprice_std,0.00929784
w900_tick_rate,0.008998893
w900_ob_microprice_mean,0.008778408
w300_avg_trade_size,0.008415168
w300_ob_microprice_mean,0.003820929
w900_price_max,0.0021083483
w300_price_mean,0.0016972465
w30_spread_mean,0.0
w60_ob_ask_depth_L1_mean,0.0
w60_ob_microprice_std,0.0
hour_cos,0.0
w300_return_std,0.0
w60_return_std,0.0
w900_n_observations,0.0
w60_spread_mean,0.0
w60_price_max,0.0
w30_return_skew,0.0
w300_volatility_lag1,0.0
