feature,importance
w300_return_skew,82
w300_price_trend,80
w900_price_std,75
w60_spread_mean,69
w900_price_trend,68
w900_return_kurt,67
w60_ob_microprice_std,66
w60_spread_std,66
w30_price_trend,65
w60_price_std,64
w900_trade_imbalance,61
w300_price_momentum,58
w60_trade_volume,55
w60_ob_bid_depth_L1_mean,55
w300_return_kurt,52
w60_tick_interval_std,52
w300_tick_interval_std,51
w30_price_mean,49
w60_trade_imbalance,48
w300_ob_depth_imbalance_L1,48
w60_price_trend,48
w60_price_momentum,47
w60_price_range,47
w300_price_std,47
w300_trade_imbalance,44
w60_avg_tick_interval,44
w30_price_std,43
w300_price_mean,40
w60_ob_depth_imbalance_L1,40
w300_trade_count,38
w30_ob_depth_imbalance_L1,38
w900_spread_std,38
w300_ob_ask_depth_L1_mean,36
w30_trade_volume,36
w900_ob_ask_depth_L1_mean,35
w30_trade_imbalance,35
w30_tick_interval_std,34
w300_price_range,33
w900_price_momentum,33
w300_ob_bid_depth_L1_mean,32
w300_trade_volume,31
w60_ob_ask_depth_L1_mean,31
w60_trade_count,29
w300_avg_trade_size,29
w300_return_mean,29
w30_spread_std,29
w60_return_skew,29
w900_tick_interval_std,29
w900_spread_mean,28
w900_avg_tick_interval,28
w300_avg_tick_interval,28
w30_return_std,28
w300_tick_rate,27
w30_spread_mean,27
w300_return_std,26
w30_return_skew,26
w900_ob_microprice_std,26
w300_spread_std,26
w300_price_max,26
w30_avg_trade_size,26
w30_return_kurt,25
w300_ob_microprice_mean,25
w60_return_kurt,25
w900_price_max,25
w900_trade_volume,24
w900_return_mean,24
w900_avg_trade_size,23
w30_ob_ask_depth_L1_mean,23
w900_ob_bid_depth_L1_mean,23
w60_ob_microprice_mean,23
w30_return_mean,23
w30_ob_microprice_std,22
w900_ob_depth_imbalance_L1,22
w30_ob_bid_depth_L1_mean,22
w300_price_min,22
w30_volatility_lag1,22
w60_price_max,22
w60_avg_trade_size,22
w900_trade_count,21
w30_price_max,21
w60_tick_rate,21
w60_price_mean,20
w300_spread_mean,20
w30_avg_tick_interval,20
w300_ob_microprice_std,20
w30_price_momentum,19
w60_return_std,19
w60_volatility_lag1,18
w30_tick_rate,17
w60_price_min,17
w30_trade_count,17
w900_return_skew,17
w900_price_mean,16
w30_ob_microprice_mean,15
w900_ob_microprice_mean,14
w30_price_range,14
w900_price_min,14
w900_return_std,12
w60_return_mean,12
w30_price_min,10
w300_volatility_lag1,10
w900_tick_rate,9
w900_price_range,9
w900_volatility_lag1,6
w300_n_observations,4
w900_n_observations,2
w30_n_observations,2
hour_cos,1
w60_n_observations,1
hour_sin,0
day_of_week,0
