feature,importance
w900_price_min,0.18826298
w900_avg_tick_interval,0.08175884
w900_spread_mean,0.081633836
w900_price_range,0.060872227
w60_price_min,0.04878939
w900_return_std,0.04594919
w60_price_range,0.040221997
w900_n_observations,0.03629491
w900_ob_microprice_mean,0.0341391
w900_trade_volume,0.033191875
w60_n_observations,0.030067569
w900_volatility_lag1,0.028001914
w300_spread_std,0.024546634
hour_sin,0.017854633
w300_price_range,0.015269466
w900_price_std,0.013590449
w300_ob_microprice_mean,0.010949302
w60_tick_rate,0.010259261
w300_ob_bid_depth_L1_mean,0.009447995
w60_price_max,0.009145058
w900_price_trend,0.008377915
w60_trade_volume,0.008167669
w900_trade_count,0.007696612
w900_avg_trade_size,0.006631508
w900_tick_rate,0.006495799
w300_return_skew,0.0064011635
w900_ob_microprice_std,0.005938472
w300_price_max,0.0058864956
w900_return_kurt,0.005818595
w300_return_mean,0.0058037173
w30_price_trend,0.005708749
w60_price_std,0.0055903955
w300_trade_count,0.0054499963
w900_ob_depth_imbalance_L1,0.0052507194
w900_tick_interval_std,0.005248508
w60_return_kurt,0.0051963613
w900_spread_std,0.0046676816
w900_price_max,0.0042646057
w30_price_momentum,0.004204878
w300_tick_interval_std,0.00394336
w30_price_min,0.003562937
w900_return_mean,0.0035388893
w60_spread_mean,0.003442796
w300_ob_ask_depth_L1_mean,0.00333958
w300_price_trend,0.0032979043
w300_spread_mean,0.0026943332
w60_trade_count,0.0026198605
w60_return_std,0.0026059682
w300_return_kurt,0.0025455633
w300_trade_imbalance,0.0025178243
w60_ob_depth_imbalance_L1,0.0023632525
w300_ob_microprice_std,0.0021388403
w900_return_skew,0.0018228061
w900_price_mean,0.0016292563
w60_volatility_lag1,0.0015771618
w900_price_momentum,0.0014031498
w900_ob_ask_depth_L1_mean,0.0012162784
w60_price_mean,0.0012059982
w300_price_min,0.0011555353
w30_return_skew,0.0009935948
w300_trade_volume,0.00091865327
w300_return_std,0.0008973981
w900_ob_bid_depth_L1_mean,0.0008717591
w60_ob_microprice_std,0.0008592339
w60_ob_microprice_mean,0.00082620664
w60_tick_interval_std,0.0006862801
w30_ob_microprice_mean,0.0006345227
w60_ob_ask_depth_L1_mean,0.0006305231
w300_ob_depth_imbalance_L1,0.0006004641
w300_price_std,0.0005885127
w300_avg_trade_size,0.0005787157
w30_ob_microprice_std,0.0005664666
w900_trade_imbalance,0.00054450636
w300_tick_rate,0.000472487
w60_spread_std,0.00046442097
w30_spread_std,0.00045492806
w30_ob_ask_depth_L1_mean,0.00043407438
w60_price_momentum,0.0004330964
w30_tick_interval_std,0.00043150078
w300_avg_tick_interval,0.00033518337
w30_n_observations,0.00033029975
w30_price_mean,0.0003128884
w60_return_mean,0.00029675063
w30_return_kurt,0.00027761792
w60_trade_imbalance,0.00027750919
w30_price_range,0.00027009402
w60_price_trend,0.00026486669
w30_price_std,0.0002492269
w300_price_momentum,0.0002459881
w60_return_skew,0.00023944913
w60_avg_tick_interval,0.00023204295
w30_trade_volume,0.00023120356
w30_ob_depth_imbalance_L1,0.00021946046
w60_avg_trade_size,0.00020852052
w30_trade_count,0.00018837399
w30_trade_imbalance,0.00018535955
w30_avg_tick_interval,0.00017383763
w30_return_std,0.00012316556
w300_volatility_lag1,0.000121583864
w30_return_mean,0.00010788586
w30_tick_rate,8.518907e-05
w300_price_mean,8.1014805e-05
w30_ob_bid_depth_L1_mean,7.927602e-05
w30_avg_trade_size,7.223425e-05
w30_spread_mean,6.2899584e-05
w300_n_observations,5.397574e-05
w30_volatility_lag1,4.190913e-05
w60_ob_bid_depth_L1_mean,3.8874572e-05
w30_price_max,3.8260867e-05
hour_cos,0.0
day_of_week,0.0
