feature,importance
w60_price_trend,109
w300_price_trend,89
w30_price_trend,82
w60_ob_depth_imbalance_L1,77
w300_trade_imbalance,75
w300_return_skew,73
w30_price_min,68
w60_volatility_lag1,66
w60_price_std,66
w60_trade_count,65
w30_ob_microprice_std,60
w30_price_std,60
w60_ob_ask_depth_L1_mean,59
w900_price_momentum,58
w900_price_trend,58
w60_tick_rate,52
w900_price_std,48
w30_ob_depth_imbalance_L1,48
w300_price_std,48
w900_trade_imbalance,48
w300_ob_depth_imbalance_L1,48
w300_ob_microprice_std,47
w60_trade_imbalance,47
w900_ob_microprice_std,47
w60_price_range,47
w60_spread_mean,46
w900_spread_mean,45
w900_ob_depth_imbalance_L1,45
w60_return_kurt,45
w60_avg_tick_interval,44
w300_return_kurt,43
w60_trade_volume,42
w300_tick_interval_std,42
w30_return_kurt,42
w30_price_momentum,39
w60_ob_microprice_std,39
w30_return_mean,36
w300_spread_std,36
w30_return_skew,35
w30_volatility_lag1,35
w30_ob_microprice_mean,35
w900_tick_interval_std,35
w900_return_mean,34
w30_ob_ask_depth_L1_mean,34
w60_price_momentum,33
w60_return_skew,33
w60_ob_bid_depth_L1_mean,32
w300_avg_tick_interval,31
w60_tick_interval_std,31
w30_trade_imbalance,31
w30_ob_bid_depth_L1_mean,30
w30_spread_std,30
w300_price_momentum,30
w300_price_range,30
w60_price_max,30
w60_return_std,30
w60_spread_std,29
w900_return_kurt,28
w300_ob_microprice_mean,28
w30_return_std,28
w60_return_mean,28
w900_return_skew,27
w30_tick_rate,27
w30_tick_interval_std,25
w300_return_mean,25
w30_trade_count,24
w30_trade_volume,23
w60_ob_microprice_mean,22
w30_price_range,22
w30_price_mean,21
w900_return_std,20
w60_avg_trade_size,20
w900_volatility_lag1,20
w900_trade_volume,20
w300_ob_bid_depth_L1_mean,19
w900_spread_std,19
w900_avg_trade_size,18
w300_price_mean,18
w30_avg_tick_interval,18
w300_trade_count,17
w30_avg_trade_size,16
w900_ob_ask_depth_L1_mean,16
w300_avg_trade_size,15
w60_price_mean,15
w30_spread_mean,15
w900_price_range,13
w300_volatility_lag1,13
w300_trade_volume,13
w300_ob_ask_depth_L1_mean,12
w900_ob_bid_depth_L1_mean,11
w30_price_max,11
w60_price_min,11
w300_tick_rate,11
w300_price_min,10
w300_return_std,10
w300_price_max,9
w900_ob_microprice_mean,8
w900_avg_tick_interval,7
w60_n_observations,5
w900_trade_count,5
w900_price_mean,5
w300_spread_mean,5
w900_price_min,3
hour_sin,2
w900_tick_rate,2
w300_n_observations,2
w900_n_observations,1
w30_n_observations,1
w900_price_max,1
hour_cos,1
day_of_week,0
