feature,importance
w60_price_std,87
w30_price_mean,86
w30_return_kurt,77
w60_price_trend,76
w900_price_trend,69
w300_price_mean,67
w300_return_skew,64
w300_price_std,64
w30_price_trend,63
w60_trade_volume,62
w60_return_kurt,58
w300_spread_std,58
w300_ob_depth_imbalance_L1,56
w300_price_trend,56
w30_price_std,55
w30_return_skew,55
w30_avg_trade_size,55
w300_return_kurt,54
w300_volatility_lag1,54
w60_ob_depth_imbalance_L1,54
w30_return_std,52
w60_ob_microprice_std,52
w900_trade_volume,51
w30_trade_volume,50
w60_trade_imbalance,50
w60_avg_trade_size,50
w900_ob_bid_depth_L1_mean,49
w60_spread_std,48
w300_ob_microprice_std,48
w60_return_skew,47
w30_tick_interval_std,47
w900_spread_std,46
w60_price_range,46
w900_price_mean,42
w30_trade_count,42
w900_tick_interval_std,41
w60_spread_mean,40
w300_return_std,40
w300_tick_interval_std,40
w60_ob_ask_depth_L1_mean,39
w30_spread_mean,39
w900_return_skew,38
w900_trade_imbalance,38
w300_trade_imbalance,37
w300_return_mean,37
w900_price_momentum,37
w30_trade_imbalance,37
w30_avg_tick_interval,37
w30_price_min,36
w300_price_momentum,36
w60_price_max,36
w30_ob_bid_depth_L1_mean,35
w60_tick_rate,35
w60_price_min,35
w300_avg_trade_size,34
w300_trade_volume,34
w300_trade_count,34
w60_volatility_lag1,34
w30_spread_std,33
w30_return_mean,33
w30_ob_depth_imbalance_L1,32
w60_price_mean,32
w300_spread_mean,30
w60_return_std,30
w900_ob_microprice_mean,30
w30_ob_microprice_std,29
w60_price_momentum,29
w60_trade_count,28
w900_ob_depth_imbalance_L1,28
w300_ob_ask_depth_L1_mean,27
w900_price_std,27
w60_return_mean,27
w300_ob_microprice_mean,27
w900_ob_microprice_std,26
w900_tick_rate,26
w900_return_kurt,26
w300_ob_bid_depth_L1_mean,25
w30_tick_rate,24
w60_tick_interval_std,24
w30_volatility_lag1,23
w30_price_max,23
w900_volatility_lag1,22
w60_ob_bid_depth_L1_mean,22
w60_avg_tick_interval,22
w900_ob_ask_depth_L1_mean,21
w300_price_range,21
w30_price_momentum,21
w900_price_min,20
w300_avg_tick_interval,20
hour_sin,19
w900_spread_mean,18
w60_ob_microprice_mean,15
w300_price_max,15
w900_avg_trade_size,15
w30_ob_microprice_mean,15
w300_tick_rate,15
w900_return_mean,15
w900_avg_tick_interval,14
w900_return_std,14
w30_ob_ask_depth_L1_mean,12
w30_price_range,12
w900_price_range,10
w900_trade_count,10
w300_price_min,10
w900_n_observations,4
w900_price_max,4
hour_cos,3
w30_n_observations,3
w60_n_observations,2
w300_n_observations,2
day_of_week,0
