feature,importance
w60_spread_std,0.06658738
w300_price_range,0.056742772
w60_avg_trade_size,0.05651115
w30_spread_std,0.05567312
w300_price_std,0.052595906
w30_trade_volume,0.043646656
w60_return_std,0.03837044
w60_trade_volume,0.036429506
w60_volatility_lag1,0.03461489
w300_return_kurt,0.033084847
w300_spread_mean,0.0326964
w900_price_trend,0.031579237
w900_trade_volume,0.031536482
w300_spread_std,0.030694345
w900_price_mean,0.029467134
w60_price_std,0.028673688
w300_price_max,0.027419578
w300_n_observations,0.026569478
w300_return_skew,0.024865407
w900_trade_imbalance,0.024711616
w300_tick_rate,0.023119196
w900_ob_bid_depth_L1_mean,0.022532975
w900_volatility_lag1,0.022485998
w900_ob_microprice_std,0.022466822
w300_trade_count,0.021899182
w300_tick_interval_std,0.021575449
w900_return_kurt,0.021240035
w900_return_std,0.021212619
w300_avg_tick_interval,0.018106744
w300_ob_bid_depth_L1_mean,0.017392999
w60_return_skew,0.013663842
w900_spread_std,0.011834124
w300_ob_ask_depth_L1_mean,0.0
w300_trade_imbalance,0.0
w300_avg_trade_size,0.0
w300_trade_volume,0.0
w300_volatility_lag1,0.0
w300_ob_depth_imbalance_L1,0.0
w900_price_max,0.0
w300_ob_microprice_mean,0.0
w300_ob_microprice_std,0.0
hour_cos,0.0
hour_sin,0.0
w900_ob_microprice_mean,0.0
w900_ob_depth_imbalance_L1,0.0
w900_ob_ask_depth_L1_mean,0.0
w900_n_observations,0.0
w900_tick_rate,0.0
w900_tick_interval_std,0.0
w900_avg_tick_interval,0.0
w900_avg_trade_size,0.0
w900_trade_count,0.0
w900_spread_mean,0.0
w900_return_skew,0.0
w900_return_mean,0.0
w900_price_momentum,0.0
w900_price_range,0.0
w300_return_mean,0.0
w900_price_min,0.0
w900_price_std,0.0
w300_return_std,0.0
w30_price_mean,0.0
w300_price_trend,0.0
w30_ob_microprice_std,0.0
w30_ob_depth_imbalance_L1,0.0
w30_ob_ask_depth_L1_mean,0.0
w30_ob_bid_depth_L1_mean,0.0
w30_n_observations,0.0
w30_tick_rate,0.0
w30_tick_interval_std,0.0
w30_avg_tick_interval,0.0
w30_trade_imbalance,0.0
w30_avg_trade_size,0.0
w30_trade_count,0.0
w30_spread_mean,0.0
w30_volatility_lag1,0.0
w30_return_kurt,0.0
w30_return_skew,0.0
w30_return_std,0.0
w30_return_mean,0.0
w30_price_trend,0.0
w30_price_momentum,0.0
w30_price_range,0.0
w30_price_max,0.0
w30_price_min,0.0
w30_ob_microprice_mean,0.0
w60_price_mean,0.0
w300_price_momentum,0.0
w60_price_min,0.0
w300_price_min,0.0
w30_price_std,0.0
w300_price_mean,0.0
w60_ob_microprice_std,0.0
w60_ob_microprice_mean,0.0
w60_ob_depth_imbalance_L1,0.0
w60_ob_ask_depth_L1_mean,0.0
w60_ob_bid_depth_L1_mean,0.0
w60_n_observations,0.0
w60_tick_rate,0.0
w60_tick_interval_std,0.0
w60_avg_tick_interval,0.0
w60_trade_imbalance,0.0
w60_trade_count,0.0
w60_spread_mean,0.0
w60_return_kurt,0.0
w60_return_mean,0.0
w60_price_trend,0.0
w60_price_momentum,0.0
w60_price_range,0.0
w60_price_max,0.0
day_of_week,0.0
