feature,importance
w60_return_mean,0.036832385
w60_price_trend,0.031921927
w300_n_observations,0.03098368
w900_ob_depth_imbalance_L1,0.030813675
w900_price_trend,0.026517233
w30_return_mean,0.025866427
w300_trade_count,0.025724458
w30_price_momentum,0.025339164
w60_spread_std,0.024549652
w900_price_std,0.022966385
w60_price_momentum,0.022637712
hour_sin,0.022112712
w60_price_range,0.02198608
w60_price_std,0.021113716
w30_spread_std,0.021113297
hour_cos,0.020803675
w60_price_max,0.020361133
w60_ob_ask_depth_L1_mean,0.01973112
w900_price_range,0.019464413
w900_n_observations,0.019452063
w900_return_std,0.018907748
w300_price_range,0.018351326
w300_spread_std,0.018349594
w300_price_std,0.017748665
w900_price_max,0.01760875
w300_ob_depth_imbalance_L1,0.017244352
w900_ob_ask_depth_L1_mean,0.017178826
w300_tick_interval_std,0.0166792
w900_return_kurt,0.016658524
w900_trade_count,0.016623043
w300_ob_ask_depth_L1_mean,0.016610382
w30_price_trend,0.0153519055
w60_avg_trade_size,0.014931675
w60_trade_imbalance,0.014215586
w30_price_range,0.014016857
w60_trade_volume,0.014014853
w900_trade_volume,0.013770902
w300_price_momentum,0.0133472625
w30_return_skew,0.012615718
w900_trade_imbalance,0.012335421
w30_volatility_lag1,0.012308766
w300_return_skew,0.012117549
w900_ob_microprice_mean,0.011647661
w30_price_std,0.011607185
w900_ob_microprice_std,0.011531915
w900_tick_rate,0.011417279
w900_avg_tick_interval,0.010931345
w300_return_std,0.01092875
w900_spread_std,0.010085336
w30_return_std,0.010052322
w300_volatility_lag1,0.009234665
w900_spread_mean,0.009216672
w60_spread_mean,0.008910254
w300_avg_trade_size,0.008542447
w30_spread_mean,0.00837047
w60_return_skew,0.007621774
w300_spread_mean,0.006580711
w60_ob_microprice_std,0.0064479937
w300_trade_volume,0.006232289
w900_price_momentum,0.0059119337
w300_ob_microprice_mean,0.0022921904
w300_price_mean,0.001158975
w60_volatility_lag1,0.0
w60_return_std,0.0
w900_tick_interval_std,0.0
w60_return_kurt,0.0
w900_volatility_lag1,0.0
w30_ob_microprice_std,0.0
w300_ob_bid_depth_L1_mean,0.0
w60_tick_interval_std,0.0
